School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math,School Percentile (1-99)
Fall River: Carlton M. Viveiros Elementary School,00950009,Public School,Fall River,MA,02724,"K,01,02,03,04,05",Fall River,00950000,Public School District,       0,     157,     150,     118,     115,     110,     112,       0,       0,       0,       0,       0,       0,       0,       0,     762,     133,  17.5,      71,   9.3,     118,  15.5,     718,  94.2, , ,   8.7,   2.6,  24.7,  53.5,   0.1,   0.0,  10.4,  51.6,  48.4,     256,22.8,        759,46.9,95.7,     200,92.0,  16.3 to 1,"     $45,674,072","  $63,693",    717.1,55.0,      50,  90.9,   6.0,  70.0,  22.0,   2.0,"         $134,530,461.00","          10,269.7","              $13,099.75","         $152,190,789.00","          11,245.0","              $13,534.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0
Fall River: Early Learning Center,00950001,Public School,Fall River,MA,02721,PK,Fall River,00950000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $45,674,072","  $63,693",    717.1,,,,,,,,"         $134,530,461.00","          10,269.7","              $13,099.75","         $152,190,789.00","          11,245.0","              $13,534.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall River: Henry Lord Community School,00950017,Public School,Fall River,MA,02721,"PK,K,01,02,03,04,05,06,07,08",Fall River,00950000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $45,674,072","  $63,693",    717.1,,,,,,,,"         $134,530,461.00","          10,269.7","              $13,099.75","         $152,190,789.00","          11,245.0","              $13,534.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall River: James Tansey,00950140,Public School,Fall River,MA,02720,"K,01,02,03,04,05",Fall River,00950000,Public School District,       0,      57,      60,      51,      61,      54,      39,       0,       0,       0,       0,       0,       0,       0,       0,     322,      11,   3.4,       2,   0.6,      37,  11.5,     188,  58.4, , ,   1.6,   2.2,   7.1,  81.7,   0.0,   0.0,   7.5,  52.8,  47.2,     104,24.2,        316,18.0,100.0,      74,100.0,  17.8 to 1,"     $45,674,072","  $63,693",    717.1,25.0,      18,  72.0,   5.6,  61.1,  33.3,   0.0,"         $134,530,461.00","          10,269.7","              $13,099.75","         $152,190,789.00","          11,245.0","              $13,534.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0
Fall River: John J Doran,00950045,Public School,Fall River,MA,02721,"PK,K,01,02,03,04,05,06,07,08",Fall River,00950000,Public School District,      19,      65,      66,      60,      75,      70,      77,      49,      40,      35,       0,       0,       0,       0,       0,     556,     176,  31.7,     103,  18.5,     110,  19.8,     514,  92.4, , ,   6.3,   2.7,  31.8,  52.3,   0.5,   0.2,   6.1,  52.7,  47.3,     193,22.4,        562,37.7,100.0,     149,96.0,  14.7 to 1,"     $45,674,072","  $63,693",    717.1,46.0,      43,  93.5,   4.7,  60.5,  34.9,   0.0,"         $134,530,461.00","          10,269.7","              $13,099.75","         $152,190,789.00","          11,245.0","              $13,534.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0
Fall River: Letourneau Elementary School,00950013,Public School,Fall River,MA,02721,"PK,K,01,02,03,04,05",Fall River,00950000,Public School District,       0,     114,     122,     101,     102,      94,     104,       0,       0,       0,       0,       0,       0,       0,       0,     637,     213,  33.4,     161,  25.3,      94,  14.8,     549,  86.2, , ,   7.2,   4.4,  33.4,  48.4,   0.2,   0.0,   6.4,  52.1,  47.9,     203,22.5,        655,39.3,100.0,     174,100.0,  16.2 to 1,"     $45,674,072","  $63,693",    717.1,45.0,      42,  93.3,   0.0,  57.1,  42.9,   0.0,"         $134,530,461.00","          10,269.7","              $13,099.75","         $152,190,789.00","          11,245.0","              $13,534.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
Fall River: Mary Fonseca Elementary School,00950011,Public School,Fall River,MA,02720,"PK,K,01,02,03,04,05",Fall River,00950000,Public School District,       0,     154,     140,     133,     141,     126,     110,       0,       0,       0,       0,       0,       0,       0,       0,     804,     166,  20.6,      91,  11.3,      86,  10.7,     735,  91.4, , ,   9.3,   6.2,  24.9,  50.9,   0.5,   0.0,   8.2,  50.1,  49.9,     248,25.6,        794,43.3,97.7,     186,91.4,  18.6 to 1,"     $45,674,072","  $63,693",    717.1,53.0,      45,  84.9,   0.0,  84.4,  15.6,   0.0,"         $134,530,461.00","          10,269.7","              $13,099.75","         $152,190,789.00","          11,245.0","              $13,534.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Fall River: Matthew J Kuss Middle,00950320,Public School,Fall River,MA,02724,"06,07,08",Fall River,00950000,Public School District,       0,       0,       0,       0,       0,       0,       0,     257,     269,     267,       0,       0,       0,       0,       0,     793,     152,  19.2,      25,   3.2,     161,  20.3,     623,  78.6, , ,   6.2,   2.6,  18.7,  67.3,   0.4,   0.0,   4.8,  49.3,  50.7,     368,19.1,        807,60.4,98.3,     307,99.3,  13.1 to 1,"     $45,674,072","  $63,693",    717.1,69.0,      60,  87.0,   8.3,  81.7,  10.0,   0.0,"         $134,530,461.00","          10,269.7","              $13,099.75","         $152,190,789.00","          11,245.0","              $13,534.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0
Fall River: Morton Middle,00950315,Public School,Fall River,MA,02720,"06,07,08",Fall River,00950000,Public School District,       0,       0,       0,       0,       0,       0,       0,     245,     227,     218,       0,       0,       0,       0,       0,     690,     120,  17.4,      20,   2.9,     146,  21.2,     553,  80.1, , ,   6.2,   4.8,  19.3,  64.1,   0.1,   0.3,   5.2,  50.4,  49.6,     398,18.7,        686,53.3,96.2,     311,91.3,  12.9 to 1,"     $45,674,072","  $63,693",    717.1,62.0,      52,  83.9,   0.0,  53.8,  44.2,   1.9,"         $134,530,461.00","          10,269.7","              $13,099.75","         $152,190,789.00","          11,245.0","              $13,534.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
Fall River: North End Elementary,00950005,Public School,Fall River,MA,02720,"PK,K,01,02,03,04,05",Fall River,00950000,Public School District,      72,     125,     125,     112,     126,     125,     113,       0,       0,       0,       0,       0,       0,       0,       0,     798,      98,  12.3,      39,   4.9,     191,  23.9,     610,  76.4, , ,   5.6,   3.0,  17.7,  65.7,   0.0,   0.1,   7.9,  54.3,  45.7,     264,23.6,        819,45.9,100.0,     204,100.0,  17.4 to 1,"     $45,674,072","  $63,693",    717.1,51.0,      49,  96.1,   2.0,  71.4,  26.5,   0.0,"         $134,530,461.00","          10,269.7","              $13,099.75","         $152,190,789.00","          11,245.0","              $13,534.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0
Fall River: Resiliency Preparatory Academy,00950525,Public School,Fall River,MA,02720,"07,08,09,10,11,12",Fall River,00950000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $45,674,072","  $63,693",    717.1,,,,,,,,"         $134,530,461.00","          10,269.7","              $13,099.75","         $152,190,789.00","          11,245.0","              $13,534.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall River: Samuel Watson,00950145,Public School,Fall River,MA,02723,"K,01,02,03,04,05",Fall River,00950000,Public School District,       0,      59,      57,      54,      51,      53,      44,       0,       0,       0,       0,       0,       0,       0,       0,     318,      47,  14.8,      25,   7.9,      42,  13.2,     289,  90.9, , ,   9.4,   7.2,  22.6,  51.6,   0.3,   0.6,   8.2,  49.4,  50.6,      88,24.2,        311,17.5,94.3,      76,84.2,  18.2 to 1,"     $45,674,072","  $63,693",    717.1,23.0,      15,  65.2,   0.0,  60.0,  40.0,   0.0,"         $134,530,461.00","          10,269.7","              $13,099.75","         $152,190,789.00","          11,245.0","              $13,534.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Fall River: Spencer Borden,00950130,Public School,Fall River,MA,02720,"PK,K,01,02,03,04,05",Fall River,00950000,Public School District,      37,      88,      92,      92,      88,      85,      89,       0,       0,       0,       0,       0,       0,       0,       0,     571,      53,   9.3,      17,   3.0,     142,  24.9,     400,  70.1, , ,   3.0,   4.7,  13.1,  72.9,   0.2,   0.0,   6.1,  55.5,  44.5,     224,20.6,        582,34.8,94.3,     174,97.7,  16.4 to 1,"     $45,674,072","  $63,693",    717.1,42.0,      34,  81.0,  11.8,  76.5,  11.8,   0.0,"         $134,530,461.00","          10,269.7","              $13,099.75","         $152,190,789.00","          11,245.0","              $13,534.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0
Fall River: Stone PK-12 School,00950340,Public School,Fall River,MA,02720,"K,01,02,03,04,05,06,07,08,09,10,11,12",Fall River,00950000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $45,674,072","  $63,693",    717.1,,,,,,,,"         $134,530,461.00","          10,269.7","              $13,099.75","         $152,190,789.00","          11,245.0","              $13,534.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall River: Talbot Innovation School,00950305,Public School,Fall River,MA,02723,"06,07,08",Fall River,00950000,Public School District,       0,       0,       0,       0,       0,       0,       0,     233,     253,     269,       0,       0,       0,       0,       0,     755,     251,  33.2,     125,  16.6,     169,  22.4,     655,  86.8, , ,   6.9,   6.9,  24.0,  57.2,   0.5,   0.1,   4.4,  55.4,  44.6,     366,20.4,        775,64.0,89.5,     252,96.8,  11.8 to 1,"     $45,674,072","  $63,693",    717.1,68.0,      45,  66.2,   0.0,  82.2,  17.8,   0.0,"         $134,530,461.00","          10,269.7","              $13,099.75","         $152,190,789.00","          11,245.0","              $13,534.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
Fall River: William S Greene,00950065,Public School,Fall River,MA,02721,"PK,K,01,02,03,04,05",Fall River,00950000,Public School District,      52,     118,     130,     131,     133,     133,     135,       0,       0,       0,       0,       0,       0,       0,       0,     832,     113,  13.6,      57,   6.9,     188,  22.6,     719,  86.4, , ,   6.2,   4.9,  18.3,  64.4,   0.0,   0.0,   6.1,  48.9,  51.1,     286,23.3,        849,48.4,97.9,     216,93.5,  17.2 to 1,"     $45,674,072","  $63,693",    717.1,53.0,      46,  86.8,   4.3,  76.1,  13.0,   6.5,"         $134,530,461.00","          10,269.7","              $13,099.75","         $152,190,789.00","          11,245.0","              $13,534.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
Falmouth: East Falmouth Elementary,00960005,Public School,East Falmouth,MA,02536,"PK,K,01,02,03,04",Falmouth,00960000,Public School District,      99,      63,      48,      51,      51,      46,       0,       0,       0,       0,       0,       0,       0,       0,       0,     358,       1,   0.3,       0,   0.0,      60,  16.8,     154,  43.0, , ,   8.1,   1.7,   1.4,  83.2,   1.7,   0.0,   3.9,  56.4,  43.6,      69,16.7,        372,26.8,100.0,     110,100.0,  13.4 to 1,"     $21,386,081","  $75,757",    282.3,36.0,      36, 100.0,   5.6,  94.4,   0.0,   0.0,"          $51,656,234.00","           3,521.9","              $14,667.15","          $57,657,135.67","           3,693.5","              $15,610.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0
Falmouth: Falmouth High,00960505,Public School,Falmouth,MA,02540,"09,10,11,12",Falmouth,00960000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     244,     209,     224,     179,       1,     857,      48,   5.6,      15,   1.8,     148,  17.3,     324,  37.8, , ,   4.6,   3.4,   2.8,  85.1,   1.5,   0.2,   2.5,  53.0,  47.0,     653,14.8,        855,65.5,100.0,     481,100.0,  13.1 to 1,"     $21,386,081","  $75,757",    282.3,81.0,      81, 100.0,  14.8,  85.2,   0.0,   0.0,"          $51,656,234.00","           3,521.9","              $14,667.15","          $57,657,135.67","           3,693.5","              $15,610.43",197.0,90.4,3.6,0.0,2.0,4.1,0.0,     856,13.0,1.5,,,,,,,,,,,183.0,112.0,61.2,72.0,     144,26.0,26.0,15.0,4.0,1.0,5.0,13.0,37.0,46.0,43.0,12.5,87.5,136.0,509.0,515.0,68.0
Falmouth: Lawrence,00960405,Public School,Falmouth,MA,02540,"07,08",Falmouth,00960000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     282,     262,       0,       0,       0,       0,       0,     544,      22,   4.0,       7,   1.3,     130,  23.9,     240,  44.1, , ,   3.5,   3.1,   3.9,  83.5,   0.7,   0.0,   5.3,  49.8,  50.2,     346,15.7,        548,53.0,100.0,     234,100.0,  10.3 to 1,"     $21,386,081","  $75,757",    282.3,61.0,      61, 100.0,   9.8,  88.5,   1.6,   0.0,"          $51,656,234.00","           3,521.9","              $14,667.15","          $57,657,135.67","           3,693.5","              $15,610.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0
Falmouth: Morse Pond School,00960305,Public School,Falmouth,MA,02540,"05,06",Falmouth,00960000,Public School District,       0,       0,       0,       0,       0,       0,     290,     302,       0,       0,       0,       0,       0,       0,       0,     592,      14,   2.4,       4,   0.7,     104,  17.6,     240,  40.5, , ,   4.1,   2.2,   2.5,  84.0,   1.0,   0.0,   6.2,  50.5,  49.5,     194,31.6,        595,44.3,100.0,     122,100.0,  13.4 to 1,"     $21,386,081","  $75,757",    282.3,53.0,      53, 100.0,   1.9,  96.2,   1.9,   0.0,"          $51,656,234.00","           3,521.9","              $14,667.15","          $57,657,135.67","           3,693.5","              $15,610.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0
Falmouth: Mullen-Hall,00960020,Public School,Falmouth,MA,02540,"K,01,02,03,04",Falmouth,00960000,Public School District,       0,      85,     104,      88,     113,      96,       0,       0,       0,       0,       0,       0,       0,       0,       0,     486,      17,   3.5,      11,   2.3,      63,  13.0,     184,  37.9, , ,   2.9,   2.9,   5.1,  82.5,   0.8,   0.0,   5.8,  50.0,  50.0,     100,19.2,        481,38.1,100.0,     138,100.0,  12.8 to 1,"     $21,386,081","  $75,757",    282.3,45.0,      45, 100.0,   2.2,  95.6,   2.2,   0.0,"          $51,656,234.00","           3,521.9","              $14,667.15","          $57,657,135.67","           3,693.5","              $15,610.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0
Falmouth: North Falmouth Elementary,00960030,Public School,North Falmouth,MA,02556,"K,01,02,03,04",Falmouth,00960000,Public School District,       0,      69,      71,      63,      85,      82,       0,       0,       0,       0,       0,       0,       0,       0,       0,     370,       6,   1.6,       1,   0.3,      56,  15.1,      94,  25.4, , ,   2.7,   1.4,   5.1,  85.7,   0.5,   0.3,   4.3,  51.6,  48.4,      76,19.3,        368,27.2,100.0,     133,100.0,  13.6 to 1,"     $21,386,081","  $75,757",    282.3,35.0,      35, 100.0,-,-,-,-,"          $51,656,234.00","           3,521.9","              $14,667.15","          $57,657,135.67","           3,693.5","              $15,610.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0
Falmouth: Teaticket,00960015,Public School,East Falmouth,MA,02536,"PK,K,01,02,03,04",Falmouth,00960000,Public School District,      13,      50,      64,      69,      71,      67,       0,       0,       0,       0,       0,       0,       0,       0,       0,     334,      14,   4.2,      11,   3.3,      56,  16.8,     165,  49.4, , ,   4.5,   2.4,   4.5,  78.7,   2.4,   0.0,   7.5,  52.7,  47.3,      81,17.9,        325,27.4,100.0,     100,100.0,  12.2 to 1,"     $21,386,081","  $75,757",    282.3,35.0,      35, 100.0,-,-,-,-,"          $51,656,234.00","           3,521.9","              $14,667.15","          $57,657,135.67","           3,693.5","              $15,610.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0
Farmington River Reg: Farmington River Elementary,06620020,Public School,Otis,MA,01253,"PK,K,01,02,03,04,05,06",Farmington River Reg,06620000,Public School District,      19,      19,      14,      11,      15,      16,      19,      17,       0,       0,       0,       0,       0,       0,       0,     130,       0,   0.0,       0,   0.0,      18,  13.8,      62,  47.7, , ,   0.8,   0.0,   0.0,  95.4,   0.0,   0.0,   3.8,  50.0,  50.0,      79,15.3,        129,14.8,100.0,      56,100.0,   8.8 to 1,"        $732,270","  $49,478",     14.8,20.0,       9,  45.0,-,-,-,-,"           $3,452,837.00",             129.4,"              $26,683.44","           $4,696,431.00",             284.0,"              $16,536.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0
Fitchburg: Arthur M Longsjo Middle School,00970315,Public School,Fitchburg,MA,01420,"06,07,08",Fitchburg,00970000,Public School District,       0,       0,       0,       0,       0,       0,     117,     114,     122,     121,       0,       0,       0,       0,       0,     474,     148,  31.2,      36,   7.6,     111,  23.4,     420,  88.6, , ,   5.3,   6.1,  48.3,  34.2,   0.0,   0.0,   6.1,  53.2,  46.8,     421,15.7,        524,44.2,95.5,     284,100.0,  10.7 to 1,"     $26,231,101","  $73,415",    357.3,57.0,      55,  96.5,  10.9,  74.5,  14.5,   0.0,"          $65,841,185.54","           4,920.2","              $13,381.81","          $77,167,786.04","           5,639.6","              $13,683.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0
Fitchburg: Crocker Elementary,00970016,Public School,Fitchburg,MA,01420,"01,02,03,04,05",Fitchburg,00970000,Public School District,     103,     104,      99,      84,     101,      89,       0,       0,       0,       0,       0,       0,       0,       0,       0,     580,     195,  33.6,     127,  21.9,     135,  23.3,     493,  85.0, , ,   4.0,   3.1,  51.9,  33.1,   0.2,   0.0,   7.8,  51.9,  48.1,     194,23.6,        636,39.0,100.0,     152,100.0,  14.9 to 1,"     $26,231,101","  $73,415",    357.3,50.0,      50, 100.0,  12.0,  78.0,  10.0,   0.0,"          $65,841,185.54","           4,920.2","              $13,381.81","          $77,167,786.04","           5,639.6","              $13,683.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0
Fitchburg: Fitchburg High,00970505,Public School,Fitchburg,MA,01420,"09,10,11,12",Fitchburg,00970000,Public School District,      26,       0,       0,       0,       0,       0,       0,       0,       0,       0,     301,     322,     244,     223,       0,"   1,116",     375,  33.6,      85,   7.6,     238,  21.3,     898,  80.5, , ,   7.3,   7.0,  44.8,  36.6,   0.1,   0.0,   4.1,  50.1,  49.9,     528,15.3,"      1,162",76.8,98.7,     559,98.4,  14.5 to 1,"     $26,231,101","  $73,415",    357.3,95.0,      94,  98.9,   7.4,  85.1,   7.4,   0.0,"          $65,841,185.54","           4,920.2","              $13,381.81","          $77,167,786.04","           5,639.6","              $13,683.20",247.0,81.8,4.9,0.4,3.2,9.7,0.0,"   1,090",18.0,1.7,,,,,,,,,,,205.0,133.0,64.9,168.0,     323,79.0,53.0,18.0,7.0,11.0,134.0,101.0,54.0,31.0,3.0,72.8,27.2,137.0,431.0,447.0,13.0
Fitchburg: Goodrich Academy,00970510,Public School,Fitchburg,MA,01420,"09,10,11,12",Fitchburg,00970000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      11,      27,      55,      86,       0,     179,      44,  24.6,       2,   1.1,      24,  13.4,     119,  66.5, , ,   3.4,   1.7,  42.5,  51.4,   0.0,   0.0,   1.1,  49.7,  50.3,     128,6.0,        229,7.5,100.0,     122,100.0,  23.8 to 1,"     $26,231,101","  $73,415",    357.3,12.0,      12, 100.0,  33.3,  66.7,   0.0,   0.0,"          $65,841,185.54","           4,920.2","              $13,381.81","          $77,167,786.04","           5,639.6","              $13,683.20",147.0,55.1,21.8,4.1,2.0,15.6,1.4,     179,55.0,30.7,,,,,,,,,,,120.0,116.0,96.7,,,,,,,,,,,,,,,2.0,,,
Fitchburg: McKay Elementary School,00970340,Public School,Fitchburg,MA,01420,"01,02,03,04,05",Fitchburg,00970000,Public School District,      24,      75,      72,      65,      72,      68,      94,      74,      64,      76,       0,       0,       0,       0,       0,     684,     199,  29.1,      95,  13.9,     145,  21.2,     529,  77.3, , ,   5.0,   5.6,  42.5,  39.0,   0.0,   0.0,   7.9,  48.4,  51.6,     295,20.5,        690,52.0,100.0,     210,100.0,  13.1 to 1,"     $26,231,101","  $73,415",    357.3,62.0,      60,  96.8,  18.3,  76.7,   5.0,   0.0,"          $65,841,185.54","           4,920.2","              $13,381.81","          $77,167,786.04","           5,639.6","              $13,683.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0
Fitchburg: Memorial Middle School,00970048,Public School,Fitchburg,MA,01420,"06,07,08",Fitchburg,00970000,Public School District,       0,       0,       0,       0,       0,       0,     165,     162,     172,     157,       0,       0,       0,       0,       0,     656,     252,  38.4,     125,  19.1,     132,  20.1,     528,  80.5, , ,   7.0,   6.1,  46.0,  34.1,   0.0,   0.2,   6.6,  47.9,  52.1,     368,16.2,        674,48.8,100.0,     248,100.0,  13.4 to 1,"     $26,231,101","  $73,415",    357.3,63.0,      61,  96.8,   0.0,  98.4,   1.6,   0.0,"          $65,841,185.54","           4,920.2","              $13,381.81","          $77,167,786.04","           5,639.6","              $13,683.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0
Fitchburg: Reingold Elementary,00970043,Public School,Fitchburg,MA,01420,"01,02,03,04,05",Fitchburg,00970000,Public School District,       0,     132,     131,     142,     147,     125,       0,       0,       0,       0,       0,       0,       0,       0,       0,     677,     189,  27.9,     151,  22.3,      96,  14.2,     533,  78.7, , ,   4.7,   4.0,  45.8,  38.0,   0.1,   0.1,   7.2,  52.3,  47.7,     300,21.3,        658,43.0,100.0,     234,100.0,  15.8 to 1,"     $26,231,101","  $73,415",    357.3,56.0,      54,  96.4,   5.6,  75.9,  18.5,   0.0,"          $65,841,185.54","           4,920.2","              $13,381.81","          $77,167,786.04","           5,639.6","              $13,683.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
Fitchburg: South Street Early Learning Center,00970060,Public School,Fitchburg,MA,01420,"PK,K",Fitchburg,00970000,Public School District,      28,     138,     130,     120,     129,      99,       0,       0,       0,       0,       0,       0,       0,       0,       0,     644,     204,  31.7,     142,  22.0,     147,  22.8,     545,  84.6, , ,   4.0,   7.5,  44.4,  36.5,   0.0,   0.2,   7.5,  48.9,  51.1,     269,19.5,        634,46.0,100.0,     203,100.0,  14.0 to 1,"     $26,231,101","  $73,415",    357.3,58.0,      58, 100.0,  13.8,  81.0,   5.2,   0.0,"          $65,841,185.54","           4,920.2","              $13,381.81","          $77,167,786.04","           5,639.6","              $13,683.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
Florida: Abbott Memorial,00980005,Public School,Florida,MA,01247,"PK,K,01,02,03,04,05,06,07,08",Florida,00980000,Public School District,       8,      10,      13,      10,       4,      11,       6,      10,      11,      12,       0,       0,       0,       0,       0,      95,       0,   0.0,       0,   0.0,      25,  26.3,      59,  62.1, , ,   2.1,   0.0,   1.1,  91.6,   0.0,   1.1,   4.2,  47.4,  52.6,      56,11.2,         96,12.0,88.3,      59,79.7,   7.9 to 1,"        $477,141","  $39,762",     12.0,16.0,      12,  75.0,-,-,-,-,"           $1,658,767.00",              93.5,"              $17,740.82","           $1,880,225.00",             112.3,"              $16,742.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0
Four Rivers Charter Public (District): Four Rivers Charter Public School,04130505,Charter School,Greenfield,MA,01301,"07,08,09,10,11,12",Four Rivers Charter Public (District),04130000,Charter District,       0,       0,       0,       0,       0,       0,       0,       0,      36,      36,      38,      36,      37,      33,       0,     216,       5,   2.3,       2,   0.9,      35,  16.2,      78,  36.1, , ,   1.9,   3.2,   3.2,  86.6,   0.0,   0.0,   5.1,  51.4,  48.6,     319,14.9,        218,22.4,66.4,     139,93.5,   9.7 to 1,,,,,,,,,,,,,,,,,36.0,88.9,0.0,0.0,5.6,5.6,0.0,     144,4.0,2.8,,,,,,,,,,,32.0,23.0,71.9,4.0,,,,,,,,,,,,,,28.0,584.0,545.0,70.0
Foxborough: Charles Taylor Elementary,00990050,Public School,Foxborough,MA,02035,"K,01,02,03,04",Foxborough,00990000,Public School District,       0,      60,      52,      53,      61,      63,       0,       0,       0,       0,       0,       0,       0,       0,       0,     289,       3,   1.0,       3,   1.0,      33,  11.4,      68,  23.5, , ,   1.4,   2.8,   2.4,  91.0,   0.0,   0.3,   2.1,  51.9,  48.1,      70,19.6,        292,21.6,100.0,     112,100.0,  13.4 to 1,"     $16,375,355","  $78,314",    209.1,32.0,      32, 100.0,   3.1,  93.8,   3.1,   0.0,"          $37,201,364.22","           2,699.8","              $13,779.30","          $40,518,297.71","           2,835.9","              $14,287.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0
Foxborough: Foxborough High,00990505,Public School,Foxborough,MA,02035,"09,10,11,12",Foxborough,00990000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     218,     223,     219,     195,       0,     855,       8,   0.9,       2,   0.2,     142,  16.6,     230,  26.9, , ,   5.1,   3.0,   2.7,  88.7,   0.1,   0.0,   0.4,  49.1,  50.9,     552,13.6,        852,66.5,100.0,     328,99.7,  12.9 to 1,"     $16,375,355","  $78,314",    209.1,82.0,      82, 100.0,   0.0,  97.6,   2.4,   0.0,"          $37,201,364.22","           2,699.8","              $13,779.30","          $40,518,297.71","           2,835.9","              $14,287.63",196.0,93.9,4.1,0.0,0.0,2.0,0.0,     855,2.0,0.2,,,,,,,,,,,187.0,16.0,8.6,160.0,     300,63.0,66.0,22.0,6.0,3.0,15.0,54.0,99.0,73.0,59.0,23.0,77.0,155.0,532.0,544.0,73.0
