School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,Ach. PCTL ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH,Ach. PCTL MATH,School Percentile (1-99)
Brockton: Huntington Therapeutic Day School,00440400,Public School,Brockton,MA,02301,"K,01,02,03,04,05,06,07,08,09,10,11,12",Brockton,00440000,Public School District,       0,       0,       0,       0,       0,       0,       2,       3,       5,       8,       6,      11,       7,       6,       0,      48,       7,14.6,       5,10.4,      48,100.0, , ,      48,100.0,      38,79.2,41.7,0.0,14.6,41.7,0.0,0.0,2.1,66.7,33.3,     116,6.3,         58,13.4,90.3,      84,100.0,3.6,"     $96,802,988","  $89,725","  1,079.0",      24,      16,  66.7,   0.0,  93.8,   6.3,   0.0,"         $241,743,187.00","          16,895.2","              $14,308.39","         $263,839,103.00","          17,994.3","              $14,662.37",        10,30.0,30.0,0.0,10.0,30.0,0.0,      30,3.0,10.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           0,0.0,           0,0.0,           0,0.0,           3,30.0,           7,70.0,          10,465.9,,           8,,           0,0.0,           0,0.0,           0,0.0,           5,50.0,           5,50.0,          10,463.9,,           8,1.0,
Brockton: John F Kennedy,00440017,Public School,Brockton,MA,02301,"K,01,02,03,04,05",Brockton,00440000,Public School District,       0,      92,     100,     108,      92,     117,      96,       0,       0,       0,       0,       0,       0,       0,       0,     605,     165,27.3,     115,19.0,      65,10.7, , ,     329,54.4,     263,43.5,44.6,5.1,11.1,31.4,0.0,0.0,7.8,50.1,49.9,     249,20.7,        618,35.3,100.0,     182,100.0,17.2,"     $96,802,988","  $89,725","  1,079.0",      52,      44,  84.6,   6.8,  93.2,   0.0,   0.0,"         $241,743,187.00","          16,895.2","              $14,308.39","         $263,839,103.00","          17,994.3","              $14,662.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          95,34.0,           8,3.0,          87,31.0,         149,53.0,          39,14.0,         283,492.6,56.0,         178,22.0,          84,30.0,           1,0.0,          83,29.0,         151,53.0,          48,17.0,         283,490.1,42.0,         178,18.0,
Brockton: Louis F Angelo Elementary,00440065,Public School,Brockton,MA,02301,"K,01,02,03,04,05",Brockton,00440000,Public School District,       0,      94,     140,     138,     126,     197,     188,       0,       0,       0,       0,       0,       0,       0,       0,     883,     320,36.2,     186,21.1,     166,18.8, , ,     632,71.6,     485,54.9,53.2,6.3,13.1,22.1,0.8,0.1,4.3,51.8,48.2,     377,20.2,        906,51.5,100.0,     290,100.0,17.1,"     $96,802,988","  $89,725","  1,079.0",      73,      55,  75.3,   7.3,  92.7,   0.0,   0.0,"         $241,743,187.00","          16,895.2","              $14,308.39","         $263,839,103.00","          17,994.3","              $14,662.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         185,39.0,          23,5.0,         162,34.0,         188,39.0,         104,22.0,         477,491.4,37.0,         346,19.0,         187,39.0,          24,5.0,         163,34.0,         187,39.0,         102,21.0,         476,492.1,43.0,         344,24.0,
Brockton: Manthala George Jr. School,00440003,Public School,Brockton,MA,02301,"PK,K,01,02,03,04,05",Brockton,00440000,Public School District,       0,     113,     153,     144,     161,     156,     164,       0,       0,       0,       0,       0,       0,       0,       0,     891,     411,46.1,     300,33.7,     157,17.6, , ,     651,73.1,     492,55.2,36.4,0.4,46.5,11.9,0.8,0.0,4.0,50.5,49.5,     356,21.0,        887,52.7,99.8,     273,100.0,16.9,"     $96,802,988","  $89,725","  1,079.0",      76,      65,  85.5,   3.1,  93.8,   0.0,   3.1,"         $241,743,187.00","          16,895.2","              $14,308.39","         $263,839,103.00","          17,994.3","              $14,662.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          99,22.0,           5,1.0,          94,21.0,         231,52.0,         118,26.0,         448,484.8,46.0,         273,7.0,          93,21.0,           5,1.0,          88,20.0,         219,49.0,         136,30.0,         448,482.5,46.5,         272,7.0,
Brockton: Mary E. Baker School,00440002,Public School,Brockton,MA,02302,"K,01,02,03,04,05",Brockton,00440000,Public School District,       0,     115,     135,     138,     136,     112,     121,       0,       0,       0,       0,       0,       0,       0,       0,     757,     199,26.3,     134,17.7,     103,13.6, , ,     462,61.0,     367,48.5,50.2,1.7,12.9,31.0,0.1,0.0,4.0,51.8,48.2,     340,19.2,        780,43.0,100.0,     259,100.0,17.6,"     $96,802,988","  $89,725","  1,079.0",      61,      47,  77.0,  19.1,  80.9,   0.0,   0.0,"         $241,743,187.00","          16,895.2","              $14,308.39","         $263,839,103.00","          17,994.3","              $14,662.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          88,26.0,           4,1.0,          84,25.0,         190,57.0,          58,17.0,         336,487.9,50.0,         198,12.0,          79,23.0,           0,0.0,          79,23.0,         180,53.0,          80,24.0,         339,485.2,46.0,         200,9.0,
Brockton: North Middle School,00440410,Public School,Brockton,MA,02301,"06,07,08",Brockton,00440000,Public School District,       0,       0,       0,       0,       0,       0,       0,     202,     189,     173,       0,       0,       0,       0,       0,     564,     303,53.7,     189,33.5,      91,16.1, , ,     438,77.7,     341,60.5,70.9,2.1,14.5,8.9,0.2,0.4,3.0,53.0,47.0,     383,19.1,        579,43.1,99.7,     218,99.5,13.1,"     $96,802,988","  $89,725","  1,079.0",      61,      42,  68.9,   2.4,  97.6,   0.0,   0.0,"         $241,743,187.00","          16,895.2","              $14,308.39","         $263,839,103.00","          17,994.3","              $14,662.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         112,22.0,           6,1.0,         106,21.0,         297,58.0,         106,21.0,         515,484.6,53.5,         476,7.0,          75,15.0,           2,0.0,          73,14.0,         312,61.0,         128,25.0,         515,481.9,43.0,         475,6.0,
Brockton: Oscar F Raymond,00440078,Public School,Brockton,MA,02301,"PK,K,01,02,03,04,05",Brockton,00440000,Public School District,       0,     138,     152,     149,     138,     156,     135,       0,       0,       0,       0,       0,       0,       0,       0,     868,     422,48.6,     295,34.0,      75,8.6, , ,     690,79.5,     567,65.3,76.5,0.7,8.9,10.0,0.5,0.0,3.5,53.1,46.9,     292,24.4,        866,44.0,100.0,     214,100.0,19.7,"     $96,802,988","  $89,725","  1,079.0",      56,      43,  76.8,   2.3,  90.7,   4.7,   2.3,"         $241,743,187.00","          16,895.2","              $14,308.39","         $263,839,103.00","          17,994.3","              $14,662.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          61,16.0,           2,1.0,          59,15.0,         228,58.0,         104,26.0,         393,481.2,50.0,         248,4.0,          76,19.0,           3,1.0,          73,19.0,         207,53.0,         109,28.0,         392,482.6,58.0,         247,7.0,
Brockton: PROMISE College and Career Academy,00440525,Public School,Brockton,MA,02302,"09,10,11,12",Brockton,00440000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $96,802,988","  $89,725","  1,079.0",,,,,,,,"         $241,743,187.00","          16,895.2","              $14,308.39","         $263,839,103.00","          17,994.3","              $14,662.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brockton: Plouffe Middle School,00440422,Public School,Brockton,MA,02302,"06,07,08",Brockton,00440000,Public School District,       0,       0,       0,       0,       0,       0,       0,     248,     234,     211,       0,       0,       0,       0,       0,     693,     250,36.1,      88,12.7,      94,13.6, , ,     394,56.9,     315,45.5,39.2,2.6,26.7,25.0,0.4,0.1,5.9,48.2,51.8,     476,23.7,        712,48.2,99.4,     293,78.5,14.4,"     $96,802,988","  $89,725","  1,079.0",      64,      54,  84.4,  14.8,  83.3,   1.9,   0.0,"         $241,743,187.00","          16,895.2","              $14,308.39","         $263,839,103.00","          17,994.3","              $14,662.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         258,39.0,          23,4.0,         235,36.0,         290,44.0,         108,16.0,         656,493.4,40.0,         624,25.0,         239,36.0,          28,4.0,         211,32.0,         289,44.0,         129,20.0,         657,492.3,31.0,         617,24.0,
Brockton: South Middle School,00440415,Public School,Brockton,MA,02301,"06,07,08",Brockton,00440000,Public School District,       0,       0,       0,       0,       0,       0,       0,     171,     166,     176,       0,       0,       0,       0,       0,     513,     169,32.9,      70,13.6,      88,17.2, , ,     326,63.5,     262,51.1,51.3,3.1,16.0,22.8,0.0,0.4,6.4,52.8,47.2,     238,24.4,        526,41.6,100.0,     163,97.5,12.3,"     $96,802,988","  $89,725","  1,079.0",      53,      42,  79.2,  16.7,  81.0,   2.4,   0.0,"         $241,743,187.00","          16,895.2","              $14,308.39","         $263,839,103.00","          17,994.3","              $14,662.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          92,19.0,           0,0.0,          92,19.0,         292,60.0,         104,21.0,         488,485.5,35.0,         455,7.0,          59,12.0,           0,0.0,          59,12.0,         292,60.0,         136,28.0,         487,481.1,21.0,         449,6.0,
Brockton: West Middle School,00440420,Public School,Brockton,MA,02301,"06,07,08",Brockton,00440000,Public School District,       0,       0,       0,       0,       0,       0,       0,     230,     191,     208,       0,       0,       0,       0,       0,     629,     177,28.1,      48,7.6,     115,18.3, , ,     372,59.1,     306,48.6,50.6,3.5,14.9,24.8,0.3,0.5,5.4,49.8,50.2,     379,20.4,        650,45.8,97.8,     225,99.6,13.7,"     $96,802,988","  $89,725","  1,079.0",      58,      48,  82.8,   8.3,  91.7,   0.0,   0.0,"         $241,743,187.00","          16,895.2","              $14,308.39","         $263,839,103.00","          17,994.3","              $14,662.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         157,26.0,           7,1.0,         150,25.0,         353,60.0,          83,14.0,         593,488.7,46.0,         580,13.0,         121,20.0,           6,1.0,         115,19.0,         352,59.0,         119,20.0,         592,484.9,43.0,         578,9.0,
Brooke Charter School (District): Brooke Charter School,04280305,Charter School,Roslindale,MA,02131,"K,01,02,03,04,05,06,07,08,09,10,11,12",Brooke Charter School (District),04280000,Charter District,       0,     178,     182,     183,     191,     191,     184,     187,     139,     105,      68,       0,       0,       0,       0,"   1,608",     594,36.9,     107,6.7,     143,8.9, , ,     903,56.2,     730,45.4,54.5,1.9,35.8,5.4,0.4,0.0,2.0,48.8,51.2,     778,19.0,"      1,611",110.3,0.0,       0,0.0,,,,,,,,,,,,"          $29,949,082.00","           1,599.8","              $18,720.42","          $29,949,082.00","           1,599.8","              $18,720.42",,,,,,,,      68,7.0,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         598,60.0,          89,9.0,         509,51.0,         359,36.0,          36,4.0,         993,504.7,47.0,         754,72.0,         688,69.0,         108,11.0,         580,58.0,         271,27.0,          34,3.0,         993,507.8,44.0,         753,84.0,
Brookfield: Brookfield Elementary,00450005,Public School,Brookfield,MA,01506,"PK,K,01,02,03,04,05,06",Brookfield,00450000,Public School District,      31,      41,      40,      39,      38,      39,      42,      48,       0,       0,       0,       0,       0,       0,       0,     318,       5,1.6,       2,0.6,      24,7.5, , ,      96,30.2,      78,24.5,0.3,0.0,4.1,90.6,0.3,0.0,4.7,49.4,50.6,      80,20.8,        329,24.2,100.0,      93,100.0,13.2,"      $1,560,513","  $64,484",     24.0,      29,      29, 100.0,-,-,-,-,"           $3,668,889.00",             328.0,"              $11,185.64","           $3,773,722.00",             332.8,"              $11,339.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         100,59.0,          11,6.0,          89,52.0,          57,34.0,          13,8.0,         170,503.3,55.5,         124,67.0,          98,58.0,          12,7.0,          86,51.0,          60,35.0,          12,7.0,         170,503.7,66.5,         124,70.0,
Brookline: Brookline Early Education Program at Beacon,00460001,Public School,Brookline,MA,02445,PK,Brookline,00460000,Public School District,      60,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      60,      13,21.7,       8,13.3,       8,13.3, , ,      16,26.7,       4,6.7,3.3,15.0,8.3,58.3,0.0,0.0,15.0,50.0,50.0,       5,15.0,         75,4.2,100.0,      13,100.0,14.5,"     $61,973,456"," $101,413",    611.0,       6,       5,  83.3,-,-,-,-,"         $146,378,463.00","           7,711.6","              $18,981.59","         $151,978,958.00","           7,782.8","              $19,527.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookline: Brookline Early Education Program at Clark Road,00460003,Public School,Brookline,MA,02445,PK,Brookline,00460000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $61,973,456"," $101,413",    611.0,,,,,,,,"         $146,378,463.00","           7,711.6","              $18,981.59","         $151,978,958.00","           7,782.8","              $19,527.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookline: Brookline Early Education Program at Putterham,00460002,Public School,Chestnut Hill,MA,02467,PK,Brookline,00460000,Public School District,      64,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      64,      18,28.1,      10,15.6,      20,31.3, , ,      29,45.3,       6,9.4,4.7,29.7,7.8,42.2,0.0,0.0,15.6,60.9,39.1,       6,13.2,         79,8.3,100.0,      18,100.0,7.7,"     $61,973,456"," $101,413",    611.0,      12,      10,  83.3,-,-,-,-,"         $146,378,463.00","           7,711.6","              $18,981.59","         $151,978,958.00","           7,782.8","              $19,527.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookline: Brookline High,00460505,Public School,Brookline,MA,02445,"09,10,11,12",Brookline,00460000,Public School District,      13,       0,       0,       0,       0,       0,       0,       0,       0,       0,     500,     509,     492,     479,      16,"   2,009",     572,28.5,      75,3.7,     326,16.2, , ,     563,28.0,     235,11.7,7.6,16.7,10.4,57.2,0.0,0.0,8.0,50.2,49.8,"   1,123",15.1,"      2,054",167.6,99.4,     818,100.0,12.0,"     $61,973,456"," $101,413",    611.0,     243,     206,  84.8,   1.5,  96.1,   2.4,   0.0,"         $146,378,463.00","           7,711.6","              $18,981.59","         $151,978,958.00","           7,782.8","              $19,527.54",       473,94.1,3.8,0.0,0.8,1.3,0.0,"   1,980",10.0,0.5,458.0,363.0,79.3,0.2,50.0,3.5,25.5,3.5,1.7,11.6,75.5,458.0,423.0,92.4,     478,     960,190.0,158.0,81.0,36.0,13.0,10.0,69.0,174.0,319.0,388.0,8.2,91.8,515.0,623.0,642.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0
Brookline: Edith C Baker,00460005,Public School,Chestnut Hill,MA,02467,"K,01,02,03,04,05,06,07,08",Brookline,00460000,Public School District,       0,      83,      76,     103,      72,     106,      80,      74,      91,      79,       0,       0,       0,       0,       0,     764,     283,37.0,     100,13.1,     107,14.0, , ,     280,36.6,      62,8.1,5.1,25.4,10.1,51.3,0.0,0.3,7.9,50.8,49.2,     499,18.1,        786,59.9,100.0,     401,100.0,12.7,"     $61,973,456"," $101,413",    611.0,      90,      87,  96.7,   0.0,  98.9,   1.1,   0.0,"         $146,378,463.00","           7,711.6","              $18,981.59","         $151,978,958.00","           7,782.8","              $19,527.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         384,81.0,         118,25.0,         266,56.0,          74,16.0,          17,4.0,         475,515.4,73.0,         382,98.0,         369,79.0,         116,25.0,         253,54.0,          82,17.0,          19,4.0,         470,514.9,74.0,         380,96.0,
Brookline: Florida Ruffin Ridley School,00460015,Public School,Brookline,MA,02446,"PK,K,01,02,03,04,05,06,07,08",Brookline,00460000,Public School District,       0,      91,     101,      93,      97,     100,      92,      77,      72,      75,       0,       0,       0,       0,       0,     798,     323,40.5,     122,15.3,     118,14.8, , ,     300,37.6,      96,12.0,4.9,12.9,13.4,58.8,0.0,0.0,10.0,51.9,48.1,     544,17.3,        817,68.9,98.5,     447,100.0,11.6,"     $61,973,456"," $101,413",    611.0,     110,     105,  95.5,   0.0,  98.1,   1.9,   0.0,"         $146,378,463.00","           7,711.6","              $18,981.59","         $151,978,958.00","           7,782.8","              $19,527.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         303,64.0,          66,14.0,         237,50.0,         154,33.0,          13,3.0,         470,507.6,66.0,         355,82.0,         293,63.0,          79,17.0,         214,46.0,         141,30.0,          31,7.0,         465,507.3,70.0,         353,81.0,
Brookline: Heath,00460025,Public School,Chestnut Hill,MA,02467,"K,01,02,03,04,05,06,07,08",Brookline,00460000,Public School District,      29,      47,      66,      71,      67,      71,      53,      65,      52,      57,       0,       0,       0,       0,       0,     578,     130,22.5,      33,5.7,      53,9.2, , ,     119,20.6,      28,4.8,3.8,17.6,9.0,60.9,0.0,0.0,8.7,49.1,50.7,     323,19.3,        589,41.4,100.0,     272,100.0,13.9,"     $61,973,456"," $101,413",    611.0,      64,      61,  95.3,   0.0,  98.4,   1.6,   0.0,"         $146,378,463.00","           7,711.6","              $18,981.59","         $151,978,958.00","           7,782.8","              $19,527.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         286,80.0,         107,30.0,         179,50.0,          69,19.0,           3,1.0,         358,518.7,73.0,         287,99.0,         283,79.0,         100,28.0,         183,51.0,          67,19.0,           8,2.0,         358,516.5,71.0,         287,97.0,
Brookline: John D Runkle,00460045,Public School,Brookline,MA,02445,"PK,K,01,02,03,04,05,06,07,08",Brookline,00460000,Public School District,      14,      58,      66,      70,      74,      69,      66,      66,      70,      60,       0,       0,       0,       0,       0,     613,     155,25.3,      47,7.7,     118,19.2, , ,     175,28.5,      29,4.7,3.1,15.2,10.1,60.8,0.0,0.0,10.8,51.9,48.1,     357,19.9,        625,49.8,100.0,     284,100.0,12.3,"     $61,973,456"," $101,413",    611.0,      73,      72,  98.6,   0.0,  95.8,   4.2,   0.0,"         $146,378,463.00","           7,711.6","              $18,981.59","         $151,978,958.00","           7,782.8","              $19,527.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         286,74.0,          57,15.0,         229,59.0,          88,23.0,          14,4.0,         388,511.2,75.0,         294,93.0,         290,74.0,          77,20.0,         213,54.0,          76,19.0,          25,6.0,         391,512.3,69.0,         292,93.0,
Brookline: Lawrence,00460030,Public School,Brookline,MA,02446,"K,01,02,03,04,05,06,07,08",Brookline,00460000,Public School District,       0,      80,      89,      88,      85,      88,      79,      62,      79,      61,       0,       0,       0,       0,       0,     711,     281,39.5,     153,21.5,      91,12.8, , ,     298,41.9,      74,10.4,5.8,31.5,8.4,46.1,0.0,0.1,8.0,51.8,48.2,     426,19.6,        739,51.8,100.0,     357,100.0,13.7,"     $61,973,456"," $101,413",    611.0,      85,      78,  91.8,   0.0,  98.7,   1.3,   0.0,"         $146,378,463.00","           7,711.6","              $18,981.59","         $151,978,958.00","           7,782.8","              $19,527.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         293,73.0,          74,18.0,         219,54.0,         102,25.0,           7,2.0,         402,510.0,64.0,         307,89.0,         286,72.0,          79,20.0,         207,52.0,          97,24.0,          17,4.0,         400,511.5,63.0,         307,91.0,
Brookline: Michael Driscoll,00460020,Public School,Brookline,MA,02446,"K,01,02,03,04,05,06,07,08",Brookline,00460000,Public School District,      14,      61,      58,      76,      63,      70,      68,      66,      66,      58,       0,       0,       0,       0,       0,     600,     149,24.8,      55,9.2,      91,15.2, , ,     169,28.2,      36,6.0,5.3,14.7,7.5,57.8,0.2,0.0,14.5,51.2,48.8,     333,20.9,        624,43.3,100.0,     290,100.0,13.9,"     $61,973,456"," $101,413",    611.0,      67,      64,  95.5,   4.7,  92.2,   3.1,   0.0,"         $146,378,463.00","           7,711.6","              $18,981.59","         $151,978,958.00","           7,782.8","              $19,527.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         261,71.0,          66,18.0,         195,53.0,          93,25.0,          14,4.0,         368,509.3,69.0,         289,88.0,         278,76.0,          91,25.0,         187,51.0,          72,20.0,          17,5.0,         367,514.2,75.0,         289,96.0,
Brookline: Pierce,00460040,Public School,Brookline,MA,02446,"K,01,02,03,04,05,06,07,08",Brookline,00460000,Public School District,       0,      96,     113,     106,     111,      91,      83,      88,      86,      80,       0,       0,       0,       0,       0,     854,     258,30.2,     127,14.9,      76,8.9, , ,     262,30.7,      81,9.5,5.2,20.7,10.3,55.5,0.0,0.0,8.3,48.8,51.2,     495,20.2,        891,56.3,100.0,     425,100.0,15.2,"     $61,973,456"," $101,413",    611.0,      89,      86,  96.6,   1.2,  94.2,   4.7,   0.0,"         $146,378,463.00","           7,711.6","              $18,981.59","         $151,978,958.00","           7,782.8","              $19,527.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         349,71.0,         102,21.0,         247,50.0,         131,27.0,          11,2.0,         491,511.6,71.0,         356,93.0,         364,74.0,         104,21.0,         260,53.0,         114,23.0,          14,3.0,         492,512.4,69.5,         358,93.0,
Brookline: The Lynch Center,00460060,Public School,Brookline,MA,02445,PK,Brookline,00460000,Public School District,      68,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      68,      22,32.4,      15,22.1,      17,25.0, , ,      33,48.5,       9,13.2,8.8,17.6,13.2,48.5,0.0,0.0,11.8,60.3,39.7,       6,13.3,         80,5.4,100.0,      10,100.0,12.6,"     $61,973,456"," $101,413",    611.0,      10,       9,  90.0,-,-,-,-,"         $146,378,463.00","           7,711.6","              $18,981.59","         $151,978,958.00","           7,782.8","              $19,527.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookline: William H Lincoln,00460035,Public School,Brookline,MA,02445,"K,01,02,03,04,05,06,07,08",Brookline,00460000,Public School District,       0,      66,      58,      71,      64,      82,      63,      51,      60,      61,       0,       0,       0,       0,       0,     576,     175,30.4,      82,14.2,     106,18.4, , ,     240,41.7,      82,14.2,9.9,22.2,12.0,48.4,0.0,0.0,7.5,49.5,50.5,     393,17.9,        602,53.4,100.0,     321,100.0,10.8,"     $61,973,456"," $101,413",    611.0,      79,      76,  96.2,   0.0,  98.7,   1.3,   0.0,"         $146,378,463.00","           7,711.6","              $18,981.59","         $151,978,958.00","           7,782.8","              $19,527.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         240,67.0,          62,17.0,         178,50.0,          88,25.0,          28,8.0,         356,510.0,64.0,         283,89.0,         248,69.0,          74,21.0,         174,49.0,          87,24.0,          23,6.0,         358,511.6,71.0,         284,91.0,
Burlington: Burlington High,00480505,Public School,Burlington,MA,01803,"PK,09,10,11,12",Burlington,00480000,Public School District,     118,       8,       0,       0,       0,       0,       0,       0,       0,       0,     241,     249,     232,     255,       0,"   1,103",     183,16.6,      15,1.4,     118,10.7, , ,     219,19.9,      91,8.3,4.4,16.4,5.7,70.1,0.5,0.1,2.8,51.4,48.6,     559,14.8,"      1,131",90.5,100.0,     432,99.5,12.2,"     $31,544,308"," $101,854",    310.0,     115,     111,  96.5,   3.6,  94.6,   1.8,   0.0,"          $66,817,171.00","           3,511.7","              $19,027.02","          $74,614,292.00","           3,621.0","              $20,605.99",       257,97.3,0.4,0.0,2.3,0.0,0.0,     977,2.0,0.2,254.0,228.0,89.8,0.0,41.7,11.0,37.0,11.0,9.4,18.1,78.7,254.0,254.0,100.0,     240,     463,113.0,78.0,22.0,11.0,16.0,40.0,95.0,131.0,127.0,70.0,29.2,70.8,313.0,577.0,577.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0
Burlington: Fox Hill,00480007,Public School,Burlington,MA,01803,"K,01,02,03,04,05",Burlington,00480000,Public School District,       0,      80,      68,      68,      49,      66,      57,       0,       0,       0,       0,       0,       0,       0,       0,     388,      84,21.6,      27,7.0,      45,11.6, , ,      93,24.0,      34,8.8,5.7,21.1,4.9,64.4,0.0,0.0,3.9,53.6,46.4,     165,17.0,        388,31.7,100.0,     147,100.0,12.2,"     $31,544,308"," $101,854",    310.0,      42,      41,  97.6,   4.9,  87.8,   7.3,   0.0,"          $66,817,171.00","           3,511.7","              $19,027.02","          $74,614,292.00","           3,621.0","              $20,605.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          78,48.0,           5,3.0,          73,45.0,          78,48.0,           8,5.0,         164,498.7,39.0,         109,45.0,          86,52.0,          13,8.0,          73,44.0,          70,42.0,           9,5.0,         165,501.8,55.0,         111,61.0,
Burlington: Francis Wyman Elementary,00480035,Public School,Burlington,MA,01803,"K,01,02,03,04,05",Burlington,00480000,Public School District,       0,     110,      78,      96,      81,      77,      87,       0,       0,       0,       0,       0,       0,       0,       0,     529,     105,19.8,      39,7.4,      60,11.3, , ,     146,27.6,      67,12.7,9.8,19.8,7.2,60.1,0.2,0.0,2.8,49.1,50.9,     238,16.3,        535,48.5,100.0,     225,100.0,10.9,"     $31,544,308"," $101,854",    310.0,      59,      57,  96.6,  12.3,  80.7,   7.0,   0.0,"          $66,817,171.00","           3,511.7","              $19,027.02","          $74,614,292.00","           3,621.0","              $20,605.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         116,48.0,           9,4.0,         107,44.0,         121,50.0,           6,2.0,         243,499.5,36.0,         158,49.0,         149,62.0,          25,10.0,         124,51.0,          87,36.0,           6,2.0,         242,504.2,49.0,         158,70.0,
