School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Non-Binary,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced
Ayer Shirley School District: Ayer Shirley Regional Middle School,06160305,Public School,Shirley,MA,01464,"06,07,08",Ayer Shirley School District,06160000,Public School District,       0,       0,       0,       0,       0,       0,       0,     140,     141,     126,       0,       0,       0,       0,       0,     407,      32,7.9,       8,2.0,      84,20.6,     166,40.8,     101,24.8,3.4,2.9,13.8,75.4,0.7,0.5,3.2,54.1,45.9,0.0,     221,20.4,        405,32.6,100.0,  12.5 to 1,87.7,93.9,100.0,"      $9,403,905","  $70,600",    133.2,      41,      39,  95.1,-,-,-,-,"          $26,211,086.04","           1,677.5","              $15,625.09","          $30,712,776.30","           1,892.5","              $16,228.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayer Shirley School District: Lura A. White Elementary School,06160001,Public School,Shirley,MA,01464,"K,01,02,03,04,05",Ayer Shirley School District,06160000,Public School District,       0,      64,      48,      46,      66,      57,      62,       0,       0,       0,       0,       0,       0,       0,       0,     343,      17,5.0,       7,2.0,      74,21.6,     131,38.2,      80,23.3,1.5,1.2,7.9,83.4,0.3,0.3,5.5,56.0,44.0,0.0,     180,18.8,        340,28.3,100.0,  12.1 to 1,69.9,93.6,93.3,"      $9,403,905","  $70,600",    133.2,      35,      33,  94.3,   6.1,  87.9,   6.1,   0.0,"          $26,211,086.04","           1,677.5","              $15,625.09","          $30,712,776.30","           1,892.5","              $16,228.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayer Shirley School District: Page Hilltop Elementary School,06160002,Public School,Ayer,MA,01432,"PK,K,01,02,03,04,05",Ayer Shirley School District,06160000,Public School District,      62,      86,      87,      86,      74,      81,      82,       0,       0,       0,       0,       0,       0,       0,       0,     558,      75,13.4,      35,6.3,     110,19.7,     251,45.0,     160,28.7,4.7,4.1,10.4,74.4,0.4,0.2,5.9,52.9,47.1,0.0,     241,20.4,        559,38.8,100.0,  14.4 to 1,82.0,97.4,100.0,"      $9,403,905","  $70,600",    133.2,      46,      43,  93.5,   2.3,  95.3,   2.3,   0.0,"          $26,211,086.04","           1,677.5","              $15,625.09","          $30,712,776.30","           1,892.5","              $16,228.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnstable: Barnstable Community Innovation School,00200012,Public School,Hyannis,MA,02601,"K,01,02,03",Barnstable,00200000,Public School District,       0,      66,      77,      84,      65,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     292,     144,49.3,      85,29.1,      26,8.9,     193,66.1,     138,47.3,11.3,4.1,30.5,48.6,1.4,0.0,4.1,53.1,46.9,0.0,     100,19.6,        304,23.4,100.0,  12.5 to 1,88.9,100.0,100.0,"     $33,421,064","  $85,128",    392.6,      31,      26,  83.9,  26.9,  73.1,   0.0,   0.0,"          $88,538,243.57","           5,075.7","              $17,443.55","          $98,005,720.48","           5,630.9","              $17,404.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnstable: Barnstable High,00200505,Public School,Hyannis,MA,02601,"08,09,10,11,12",Barnstable,00200000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,     406,     332,     338,     367,     351,      13,"   1,807",     359,19.9,     167,9.2,     281,15.6,     851,47.1,     598,33.1,8.5,1.8,16.7,68.0,0.4,0.2,4.4,48.8,51.2,0.1,     918,14.1,"      1,756",144.4,99.3,  12.5 to 1,89.3,90.7,94.1,"     $33,421,064","  $85,128",    392.6,     177,     159,  89.8,  20.1,  78.6,   1.3,   0.0,"          $88,538,243.57","           5,075.7","              $17,443.55","          $98,005,720.48","           5,630.9","              $17,404.98",372.0,86.3,4.0,3.8,1.1,4.8,0.0,"   1,388",27.0,1.9,340.0,216.0,63.5,0.0,31.5,28.2,40.3,27.3,11.6,11.1,340.0,336.0,98.8,     333,     555,196.0,78.0,38.0,17.0,4.0,77.0,133.0,163.0,124.0,58.0,37.8,62.2,204.0,557.0,551.0,         700,         375,53.6
Barnstable: Barnstable Intermediate School,00200315,Public School,Hyannis,MA,02601,"06,07",Barnstable,00200000,Public School District,       0,       0,       0,       0,       0,       0,       0,     375,     381,       0,       0,       0,       0,       0,       0,     756,     186,24.6,      68,9.0,     129,17.1,     432,57.1,     298,39.4,6.9,2.2,17.3,68.3,0.5,0.4,4.4,51.9,48.1,0.0,     414,18.3,        762,57.0,100.0,  13.3 to 1,77.2,93.3,100.0,"     $33,421,064","  $85,128",    392.6,      74,      60,  81.1,  13.3,  86.7,   0.0,   0.0,"          $88,538,243.57","           5,075.7","              $17,443.55","          $98,005,720.48","           5,630.9","              $17,404.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnstable: Barnstable United Elementary School,00200050,Public School,Marston Mills,MA,02648,"04,05",Barnstable,00200000,Public School District,       0,       0,       0,       0,       0,     394,     410,       0,       0,       0,       0,       0,       0,       0,       0,     804,     196,24.4,      84,10.4,     128,15.9,     428,53.2,     278,34.6,8.0,1.4,18.2,66.4,0.4,0.0,5.7,53.2,46.8,0.0,     441,17.9,        814,62.5,99.4,  12.9 to 1,75.7,90.7,95.5,"     $33,421,064","  $85,128",    392.6,      80,      68,  85.0,  16.2,  82.4,   1.5,   0.0,"          $88,538,243.57","           5,075.7","              $17,443.55","          $98,005,720.48","           5,630.9","              $17,404.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnstable: Centerville Elementary,00200010,Public School,Centerville,MA,02632,"K,01,02,03",Barnstable,00200000,Public School District,       0,      55,      71,      60,      57,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     243,      59,24.3,      40,16.5,      38,15.6,     116,47.7,      84,34.6,7.0,1.2,18.1,64.6,0.0,0.0,9.1,53.9,46.1,0.0,      79,20.1,        246,20.9,100.0,  11.7 to 1,92.3,97.1,100.0,"     $33,421,064","  $85,128",    392.6,      30,      26,  86.7,  23.1,  76.9,   0.0,   0.0,"          $88,538,243.57","           5,075.7","              $17,443.55","          $98,005,720.48","           5,630.9","              $17,404.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnstable: Enoch Cobb Early Learning Center,00200001,Public School,Hyannis,MA,02601,PK,Barnstable,00200000,Public School District,     161,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     161,      31,19.3,      17,10.6,      75,46.6,     109,67.7,      66,41.0,5.6,1.9,18.0,58.4,0.0,0.0,16.1,61.5,38.5,0.0,      22,9.6,        211,7.0,100.0,  23.0 to 1,71.4,85.7,100.0,"     $33,421,064","  $85,128",    392.6,      10,       9,  90.0,-,-,-,-,"          $88,538,243.57","           5,075.7","              $17,443.55","          $98,005,720.48","           5,630.9","              $17,404.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnstable: Hyannis West Elementary,00200025,Public School,Hyannis,MA,02601,"K,01,02,03",Barnstable,00200000,Public School District,       0,      72,      72,      84,      81,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     309,     146,47.2,     120,38.8,      43,13.9,     252,81.6,     187,60.5,15.5,1.9,38.5,31.7,0.3,0.3,11.7,43.4,56.6,0.0,     108,20.5,        308,27.5,100.0,  11.2 to 1,98.2,87.3,96.8,"     $33,421,064","  $85,128",    392.6,      42,      39,  92.9,  12.8,  84.6,   2.6,   0.0,"          $88,538,243.57","           5,075.7","              $17,443.55","          $98,005,720.48","           5,630.9","              $17,404.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnstable: West Barnstable Elementary,00200005,Public School,West Barnstable,MA,02668,"K,01,02,03",Barnstable,00200000,Public School District,       0,      58,      62,      62,      63,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     245,      30,12.2,      24,9.8,      29,11.8,     113,46.1,      84,34.3,2.9,2.0,11.0,74.3,0.0,0.0,9.8,55.9,44.1,0.0,      89,19.4,        237,19.0,100.0,  12.9 to 1,88.4,93.7,95.2,"     $33,421,064","  $85,128",    392.6,      29,      23,  79.3,  13.0,  87.0,   0.0,   0.0,"          $88,538,243.57","           5,075.7","              $17,443.55","          $98,005,720.48","           5,630.9","              $17,404.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnstable: West Villages Elementary School,00200045,Public School,Marstons Mills,MA,02648,"K,01,02,03",Barnstable,00200000,Public School District,       0,      92,     105,     115,     112,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     424,      37,8.7,      29,6.8,      71,16.7,     178,42.0,     118,27.8,0.9,1.7,9.0,80.7,0.0,0.0,7.8,51.4,48.3,0.2,     130,20.0,        416,30.9,96.8,  13.7 to 1,83.8,96.8,97.0,"     $33,421,064","  $85,128",    392.6,      38,      32,  84.2,  18.8,  78.1,   3.1,   0.0,"          $88,538,243.57","           5,075.7","              $17,443.55","          $98,005,720.48","           5,630.9","              $17,404.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baystate Academy Charter Public School (District): Baystate Academy Charter Public School,35020405,Charter School,Springfield,MA,01104,"06,07,08,09,10,11,12",Baystate Academy Charter Public School (District),35020000,Charter District,       0,       0,       0,       0,       0,       0,       0,      79,      75,      77,      65,      53,      60,      54,       0,     463,     108,23.3,      41,8.9,      92,19.9,     349,75.4,     307,66.3,27.6,0.6,57.0,12.5,0.0,0.4,1.7,52.3,47.7,0.0,     308,15.0,        462,53.8,68.4,   8.6 to 1,46.7,70.4,47.7,"      $2,709,816","  $53,209",     50.9,,,,,,,,"           $8,382,148.79",             473.7,"              $17,694.68","           $8,382,148.79",             473.7,"              $17,694.68",,,,,,,,     232,4.0,1.7,52.0,28.0,53.8,0.0,42.9,39.3,17.9,39.3,14.3,3.6,52.0,52.0,100.0,      35,      47,26.0,6.0,3.0,0.0,0.0,16.0,19.0,9.0,3.0,0.0,74.5,25.5,27.0,437.0,447.0,         112,         109,97.3
Bedford: Bedford High,00230505,Public School,Bedford,MA,01730,"09,10,11,12",Bedford,00230000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     228,     236,     183,     194,       0,     841,     127,15.1,      12,1.4,     117,13.9,     204,24.3,      72,8.6,7.5,14.1,9.6,64.2,0.1,0.1,4.3,49.5,50.5,0.0,     563,12.8,        836,80.0,95.6,  10.5 to 1,88.3,95.2,90.7,"     $23,190,429","  $97,644",    237.5,     114,     114, 100.0,   0.0,  97.4,   2.6,   0.0,"          $50,196,541.22","           2,688.5","              $18,670.84","          $55,192,858.99","           2,734.5","              $20,183.89",195.0,97.9,1.5,0.0,0.0,0.5,0.0,     841,2.0,0.2,190.0,149.0,78.4,0.0,44.3,11.4,44.3,10.1,3.4,20.8,190.0,190.0,100.0,     158,     299,61.0,63.0,26.0,7.0,1.0,4.0,23.0,76.0,104.0,92.0,9.0,91.0,85.0,609.0,617.0,         372,         242,65.1
Bedford: John Glenn Middle,00230305,Public School,Bedford,MA,01730,"06,07,08",Bedford,00230000,Public School District,       0,       0,       0,       0,       0,       0,       0,     202,     210,     181,       0,       0,       0,       0,       0,     593,     100,16.9,      13,2.2,     104,17.5,     181,30.5,      58,9.8,6.1,18.0,5.6,66.4,0.2,0.0,3.7,54.1,45.9,0.0,     375,18.3,        598,57.2,100.0,  10.4 to 1,93.0,95.5,95.3,"     $23,190,429","  $97,644",    237.5,      78,      78, 100.0,   0.0,  97.4,   2.6,   0.0,"          $50,196,541.22","           2,688.5","              $18,670.84","          $55,192,858.99","           2,734.5","              $20,183.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedford: Lt Eleazer Davis,00230010,Public School,Bedford,MA,01730,"PK,K,01,02",Bedford,00230000,Public School District,      45,     183,     198,     217,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     643,     134,20.8,      81,12.6,      98,15.2,     218,33.9,      64,10.0,5.6,23.8,4.8,58.0,0.0,0.0,7.8,54.1,45.9,0.0,      94,20.1,        647,50.6,100.0,  12.7 to 1,80.2,94.1,100.0,"     $23,190,429","  $97,644",    237.5,      65,      65, 100.0,-,-,-,-,"          $50,196,541.22","           2,688.5","              $18,670.84","          $55,192,858.99","           2,734.5","              $20,183.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedford: Lt Job Lane School,00230012,Public School,Bedford,MA,01730,"03,04,05",Bedford,00230000,Public School District,       0,       0,       0,       0,     197,     202,     213,       0,       0,       0,       0,       0,       0,       0,       0,     612,     139,22.7,      49,8.0,     116,19.0,     215,35.1,      56,9.2,6.4,19.3,5.7,62.4,0.0,0.0,6.2,50.2,49.8,0.0,     167,19.1,        604,49.7,100.0,  12.3 to 1,83.9,100.0,100.0,"     $23,190,429","  $97,644",    237.5,      62,      62, 100.0,-,-,-,-,"          $50,196,541.22","           2,688.5","              $18,670.84","          $55,192,858.99","           2,734.5","              $20,183.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belchertown: Belchertown High,00240505,Public School,Belchertown,MA,01007,"09,10,11,12",Belchertown,00240000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     192,     160,     173,     169,       7,     701,      16,2.3,       2,0.3,     100,14.3,     187,26.7,     115,16.4,2.0,1.4,2.9,90.7,0.1,0.3,2.6,51.9,48.1,0.0,     430,14.3,        694,47.8,99.2,  14.7 to 1,98.7,100.0,87.0,"     $12,575,818","  $74,501",    168.8,      66,      63,  95.5,-,-,-,-,"          $32,308,201.52","           2,244.4","              $14,395.03","          $35,668,291.58","           2,449.7","              $14,560.27",174.0,94.3,2.9,0.0,0.6,2.3,0.0,     694,4.0,0.6,168.0,114.0,67.9,0.0,34.2,33.3,32.5,33.3,9.6,13.2,168.0,74.0,44.0,      72,      99,52.0,15.0,3.0,2.0,0.0,9.0,21.0,28.0,17.0,24.0,30.3,69.7,73.0,567.0,562.0,         342,         214,62.6
Belchertown: Chestnut Hill Community School,00240006,Public School,Belchertown,MA,01007,"04,05,06",Belchertown,00240000,Public School District,       0,       0,       0,       0,       0,     163,     166,     172,       0,       0,       0,       0,       0,       0,       0,     501,       6,1.2,       2,0.4,     117,23.4,     191,38.1,     103,20.6,1.8,1.0,5.2,87.4,0.8,0.0,3.8,52.5,47.5,0.0,     231,20.1,        501,38.0,100.0,  13.2 to 1,94.7,100.0,100.0,"     $12,575,818","  $74,501",    168.8,      51,      48,  94.1,   4.2,  95.8,   0.0,   0.0,"          $32,308,201.52","           2,244.4","              $14,395.03","          $35,668,291.58","           2,449.7","              $14,560.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belchertown: Cold Spring,00240005,Public School,Belchertown,MA,01007,"PK,K",Belchertown,00240000,Public School District,      43,     146,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     189,       9,4.8,       9,4.8,      32,16.9,      59,31.2,      36,19.0,1.1,1.6,7.9,87.3,0.0,0.0,2.1,56.6,43.4,0.0,      36,18.1,        207,13.9,100.0,  13.6 to 1,100.0,100.0,92.9,"     $12,575,818","  $74,501",    168.8,      25,      22,  88.0,  27.3,  72.7,   0.0,   0.0,"          $32,308,201.52","           2,244.4","              $14,395.03","          $35,668,291.58","           2,449.7","              $14,560.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belchertown: Jabish Middle School,00240025,Public School,Belchertown,MA,01007,"07,08",Belchertown,00240000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     184,     188,       0,       0,       0,       0,       0,     372,       8,2.2,       3,0.8,      74,19.9,     121,32.5,      71,19.1,3.0,1.6,4.0,88.4,0.0,0.5,2.4,49.5,50.5,0.0,     294,15.3,        376,33.1,97.0,  11.2 to 1,90.9,100.0,91.4,"     $12,575,818","  $74,501",    168.8,      46,      43,  93.5,-,-,-,-,"          $32,308,201.52","           2,244.4","              $14,395.03","          $35,668,291.58","           2,449.7","              $14,560.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belchertown: Swift River Elementary,00240018,Public School,Belchertown,MA,01007,"01,02,03",Belchertown,00240000,Public School District,       0,       0,     151,     168,     158,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     477,       8,1.7,       7,1.5,      92,19.3,     169,35.4,     102,21.4,0.6,1.0,6.1,86.8,0.0,0.0,5.5,48.2,51.8,0.0,     243,17.8,        480,36.0,100.0,  13.3 to 1,86.1,100.0,100.0,"     $12,575,818","  $74,501",    168.8,      50,      47,  94.0,   6.4,  93.6,   0.0,   0.0,"          $32,308,201.52","           2,244.4","              $14,395.03","          $35,668,291.58","           2,449.7","              $14,560.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellingham: Bellingham Early Childhood Center,00250003,Public School,Bellingham,MA,02019,PK,Bellingham,00250000,Public School District,      98,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      98,       2,2.0,       0,0.0,      27,27.6,      38,38.8,      20,20.4,3.1,10.2,3.1,83.7,0.0,0.0,0.0,53.1,46.9,0.0,       8,13.3,        106,4.8,100.0,  20.3 to 1,100.0,100.0,100.0,"     $13,329,518","  $82,383",    161.8,       6,       6, 100.0,-,-,-,-,"          $36,031,834.54","           2,130.1","              $16,915.56","          $42,475,337.14","           2,410.5","              $17,620.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellingham: Bellingham High School,00250505,Public School,Bellingham,MA,02019,"08,09,10,11,12",Bellingham,00250000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,     182,     126,     141,     151,     146,       0,     746,      32,4.3,       9,1.2,     145,19.4,     238,31.9,     131,17.6,2.9,3.4,5.1,85.4,0.3,0.0,2.9,50.7,49.3,0.0,     346,18.1,        749,58.4,100.0,  12.8 to 1,87.2,91.4,91.2,"     $13,329,518","  $82,383",    161.8,      67,      67, 100.0,   3.0,  97.0,   0.0,   0.0,"          $36,031,834.54","           2,130.1","              $16,915.56","          $42,475,337.14","           2,410.5","              $17,620.97",144.0,95.8,1.4,0.0,1.4,1.4,0.0,     564,3.0,0.5,142.0,85.0,59.9,0.0,36.5,9.4,54.1,8.2,31.8,12.9,142.0,142.0,100.0,      97,     185,39.0,36.0,17.0,4.0,1.0,32.0,44.0,59.0,33.0,17.0,41.1,58.9,73.0,544.0,540.0,         297,         208,70.0
Bellingham: Bellingham Memorial School,00250315,Public School,Bellingham,MA,02019,"04,05,06,07",Bellingham,00250000,Public School District,       0,       0,       0,       0,       0,     141,     164,     185,     165,       0,       0,       0,       0,       0,       0,     655,      41,6.3,      16,2.4,     121,18.5,     233,35.6,     132,20.2,2.3,2.6,5.3,87.6,0.0,0.0,2.1,47.0,53.0,0.0,     311,19.4,        657,47.3,98.9,  13.8 to 1,85.5,95.8,84.3,"     $13,329,518","  $82,383",    161.8,      55,      55, 100.0,   5.5,  94.5,   0.0,   0.0,"          $36,031,834.54","           2,130.1","              $16,915.56","          $42,475,337.14","           2,410.5","              $17,620.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellingham: Joseph F DiPietro Elementary School,00250020,Public School,Bellingham,MA,02019,"K,01,02,03",Bellingham,00250000,Public School District,       0,      77,      87,      84,      85,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     333,       9,2.7,       5,1.5,      41,12.3,     115,34.5,      85,25.5,1.5,3.0,6.3,85.9,0.0,0.6,2.7,47.1,52.9,0.0,      68,19.5,        330,23.4,100.0,  14.2 to 1,91.5,100.0,100.0,"     $13,329,518","  $82,383",    161.8,      28,      28, 100.0,  60.7,  39.3,   0.0,   0.0,"          $36,031,834.54","           2,130.1","              $16,915.56","          $42,475,337.14","           2,410.5","              $17,620.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellingham: Keough Memorial Academy,00250510,Public School,Bellingham,MA,02019,"07,08,09,10,11,12",Bellingham,00250000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       2,       8,       6,       7,       9,       0,      32,       1,3.1,       0,0.0,      29,90.6,      30,93.8,      12,37.5,0.0,0.0,21.9,75.0,0.0,0.0,3.1,43.8,50.0,6.3,      33,6.4,         30,6.9,100.0,   4.6 to 1,71.1,85.5,85.7,"     $13,329,518","  $82,383",    161.8,      11,      11, 100.0,-,-,-,-,"          $36,031,834.54","           2,130.1","              $16,915.56","          $42,475,337.14","           2,410.5","              $17,620.97",7.0,71.4,14.3,14.3,0.0,0.0,0.0,      30,2.0,6.7,7.0,,,,,,,,,,7.0,7.0,100.0,,,,,,,,,,,,,,,1.0,,,          15,           0,0.0
Bellingham: Stall Brook,00250025,Public School,Bellingham,MA,02019,"K,01,02,03",Bellingham,00250000,Public School District,       0,      63,      61,      69,      81,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     274,      14,5.1,      13,4.7,      56,20.4,     112,40.9,      58,21.2,1.8,0.7,8.8,82.1,0.0,2.2,4.4,51.8,48.2,0.0,      76,14.9,        270,20.9,100.0,  13.1 to 1,85.6,100.0,100.0,"     $13,329,518","  $82,383",    161.8,      26,      26, 100.0,  23.1,  76.9,   0.0,   0.0,"          $36,031,834.54","           2,130.1","              $16,915.56","          $42,475,337.14","           2,410.5","              $17,620.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont: Belmont High,00260505,Public School,Belmont,MA,02478,"09,10,11,12",Belmont,00260000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     318,     341,     328,     331,       0,"   1,318",     295,22.4,      22,1.7,      90,6.8,     234,17.8,      96,7.3,3.3,18.3,4.2,68.3,0.0,0.0,5.8,49.3,50.7,0.0,     463,20.7,"      1,327",78.5,100.0,  16.8 to 1,90.6,97.5,96.7,"     $27,455,202","  $96,334",    285.0,     101,     101, 100.0,   0.0,  98.0,   2.0,   0.0,"          $65,303,313.00","           4,717.1","              $13,843.95","          $73,554,813.00","           4,813.8","              $15,279.99",332.0,99.1,0.3,0.0,0.0,0.6,0.0,"   1,318",4.0,0.3,331.0,259.0,78.2,0.0,65.6,3.9,30.5,3.9,0.8,17.8,331.0,331.0,100.0,     488,"   1,087",172.0,148.0,88.0,54.0,26.0,16.0,49.0,181.0,356.0,485.0,6.0,94.0,241.0,622.0,641.0,         661,         572,86.5
Belmont: Daniel Butler,00260015,Public School,Belmont,MA,02478,"K,01,02,03,04",Belmont,00260000,Public School District,       0,      66,      69,      72,      86,      72,       0,       0,       0,       0,       0,       0,       0,       0,       0,     365,     117,32.1,      68,18.6,      30,8.2,     131,35.9,      30,8.2,1.6,27.9,3.6,54.2,0.5,0.0,12.1,51.8,48.2,0.0,     130,22.8,        363,24.0,100.0,  15.2 to 1,84.6,95.8,100.0,"     $27,455,202","  $96,334",    285.0,      33,      33, 100.0,-,-,-,-,"          $65,303,313.00","           4,717.1","              $13,843.95","          $73,554,813.00","           4,813.8","              $15,279.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont: Mary Lee Burbank,00260010,Public School,Belmont,MA,02478,"K,01,02,03,04",Belmont,00260000,Public School District,       0,      85,      86,      88,      89,      87,       0,       0,       0,       0,       0,       0,       0,       0,       0,     435,     103,23.7,      58,13.3,      33,7.6,     131,30.1,      36,8.3,5.7,22.1,2.3,58.9,0.0,0.2,10.8,51.3,48.7,0.0,     162,22.4,        448,26.4,100.0,  16.5 to 1,81.1,100.0,100.0,"     $27,455,202","  $96,334",    285.0,      35,      34,  97.1,-,-,-,-,"          $65,303,313.00","           4,717.1","              $13,843.95","          $73,554,813.00","           4,813.8","              $15,279.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont: Roger E Wellington,00260035,Public School,Belmont,MA,02478,"PK,K,01,02,03,04",Belmont,00260000,Public School District,      66,     110,     108,     112,     119,     113,       0,       0,       0,       0,       0,       0,       0,       0,       0,     628,     154,24.5,      95,15.1,      75,11.9,     212,33.8,      53,8.4,3.0,15.4,1.8,70.7,0.0,0.0,9.1,50.5,49.5,0.0,     208,22.8,        655,39.3,100.0,  16.0 to 1,84.0,94.9,100.0,"     $27,455,202","  $96,334",    285.0,      54,      51,  94.4,-,-,-,-,"          $65,303,313.00","           4,717.1","              $13,843.95","          $73,554,813.00","           4,813.8","              $15,279.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont: Winn Brook,00260005,Public School,Belmont,MA,02478,"K,01,02,03,04",Belmont,00260000,Public School District,       0,      88,      90,      96,      96,      95,       0,       0,       0,       0,       0,       0,       0,       0,       0,     465,     131,28.2,      73,15.7,      31,6.7,     141,30.3,      16,3.4,1.3,29.0,4.5,56.8,0.0,0.0,8.4,51.4,48.6,0.0,     162,23.3,        462,26.9,100.0,  17.3 to 1,77.7,96.3,100.0,"     $27,455,202","  $96,334",    285.0,      37,      36,  97.3,   2.8,  91.7,   5.6,   0.0,"          $65,303,313.00","           4,717.1","              $13,843.95","          $73,554,813.00","           4,813.8","              $15,279.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
