School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Billerica: Frederick J Dutile,00310007,Public School,North Billerica,MA,01862,"K,01,02,03,04",Billerica,00310000,Public School District,       0,      52,      60,      55,      77,      62,      70,       0,       0,       0,       0,       0,       0,       0,0.0,     376,      11,   2.9,       2,   0.5,      68,  18.1,      67,  17.8, , , , ,   2.4,   2.9,   2.1,  90.7,   0.3,   0.0,   1.6,  49.7,  50.3,      83,20.2,        377,24.5,100.0,     119,100.0,15.4,"     $25,362,376","  $63,885",    397.0,"          $68,984,591.87","           5,778.6","              $11,937.94","          $76,831,881.77","           6,084.4","              $12,627.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billerica: Hajjar Elementary,00310026,Public School,Billerica,MA,01862,"K,01,02,03,04",Billerica,00310000,Public School District,       0,      84,      82,      77,     105,      89,      84,       0,       0,       0,       0,       0,       0,       0,0.0,     521,      31,   6.0,      20,   3.8,      99,  19.0,      53,  10.2, , , , ,   3.5,   4.4,   2.3,  87.7,   0.0,   0.2,   1.9,  49.9,  50.1,     114,20.0,        521,35.6,100.0,     169,100.0,14.6,"     $25,362,376","  $63,885",    397.0,"          $68,984,591.87","           5,778.6","              $11,937.94","          $76,831,881.77","           6,084.4","              $12,627.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billerica: John F Kennedy,00310012,Public School,Billerica,MA,01821,"K,01,02,03,04",Billerica,00310000,Public School District,       0,      62,      67,      64,      82,      88,      76,       0,       0,       0,       0,       0,       0,       0,0.0,     439,       3,   0.7,       0,   0.0,      64,  14.6,      42,   9.6, , , , ,   1.4,   1.4,   2.1,  94.3,   0.0,   0.0,   0.9,  51.3,  48.7,      94,20.8,        440,27.9,99.6,     134,100.0,15.7,"     $25,362,376","  $63,885",    397.0,"          $68,984,591.87","           5,778.6","              $11,937.94","          $76,831,881.77","           6,084.4","              $12,627.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billerica: Locke Middle,00310310,Public School,Billerica,MA,01821,"05,06,07",Billerica,00310000,Public School District,       0,       0,       0,       0,       0,       0,       0,     224,     226,     231,       0,       0,       0,       0,0.0,     681,      15,   2.2,       0,   0.0,     129,  18.9,      91,  13.4, , , , ,   0.4,   3.2,   1.5,  94.0,   0.0,   0.1,   0.7,  54.6,  45.4,     256,19.6,        683,56.2,94.7,     244,98.4,12.1,"     $25,362,376","  $63,885",    397.0,"          $68,984,591.87","           5,778.6","              $11,937.94","          $76,831,881.77","           6,084.4","              $12,627.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billerica: Marshall Middle School,00310305,Public School,Billerica,MA,01821,"05,06,07",Billerica,00310000,Public School District,       0,       0,       0,       0,       0,       0,       0,     261,     270,     287,       0,       0,       0,       0,0.0,     818,      23,   2.8,       5,   0.6,     170,  20.8,     107,  13.1, , , , ,   2.2,   2.2,   1.3,  93.3,   0.1,   0.0,   0.9,  51.7,  48.3,     263,23.1,        821,59.7,96.6,     242,94.2,13.7,"     $25,362,376","  $63,885",    397.0,"          $68,984,591.87","           5,778.6","              $11,937.94","          $76,831,881.77","           6,084.4","              $12,627.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billerica: Parker,00310015,Public School,Billerica,MA,01821,"K,01,02,03,04",Billerica,00310000,Public School District,       0,      52,      54,      69,      62,      69,      63,       0,       0,       0,       0,       0,       0,       0,0.0,     369,      23,   6.2,       3,   0.8,      80,  21.7,      38,  10.3, , , , ,   4.1,   8.7,   4.6,  80.2,   0.5,   0.0,   1.9,  52.8,  47.2,      82,20.0,        368,26.6,96.2,     122,100.0,13.8,"     $25,362,376","  $63,885",    397.0,"          $68,984,591.87","           5,778.6","              $11,937.94","          $76,831,881.77","           6,084.4","              $12,627.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billerica: Thomas Ditson,00310005,Public School,Billerica,MA,01821,"K,01,02,03,04",Billerica,00310000,Public School District,       0,      88,     108,     128,     131,     142,     130,       0,       0,       0,       0,       0,       0,       0,0.0,     727,      56,   7.7,      25,   3.4,     129,  17.7,      88,  12.1, , , , ,   2.3,   8.1,   2.9,  84.2,   0.0,   0.3,   2.2,  52.1,  47.9,     148,22.6,        729,47.0,97.9,     218,100.0,15.5,"     $25,362,376","  $63,885",    397.0,"          $68,984,591.87","           5,778.6","              $11,937.94","          $76,831,881.77","           6,084.4","              $12,627.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackstone Valley Regional Vocational Technical: Blackstone Valley,08050605,Public School,Upton,MA,01568,"09,10,11,12",Blackstone Valley Regional Vocational Technical,08050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     300,     287,     283,     276,0.0,"   1,146",      33,   2.9,       7,   0.6,     126,  11.0,     203,  17.7, , , , ,   0.4,   0.6,   2.4,  94.5,   0.1,   0.0,   1.9,  56.2,  43.8,     762,16.8,"      1,132",89.7,95.5,     300,96.7,12.8,"      $6,353,896","  $70,835",     89.7,"          $19,163,467.45","           1,147.1","              $16,706.01","          $19,173,467.45","           1,149.1","              $16,685.64",       273,98.2,0.4,0.0,0.0,1.5,0.0,"   1,146",11.0,1.0,270.0,167.0,61.9,0.0,18.8795,24.450499999999998,18.5081,20.7365,12.256200000000002,4.0854,37.3876,270.0,233.0,86.3,71.0,      84,59.0,11.0,1.0,0.0,0.0,37.0,22.0,18.0,7.0,0.0,70.2,29.8,170.0,460.0,464.0
Blackstone-Millville: A F Maloney,06220015,Public School,Blackstone,MA,01504,"04,05",Blackstone-Millville,06220000,Public School District,       0,       0,       0,       0,       0,     115,     104,       0,       0,       0,       0,       0,       0,       0,0.0,     219,       4,   1.8,       3,   1.4,      47,  21.5,      64,  29.2, , , , ,   0.9,   0.9,   1.8,  95.0,   0.0,   0.0,   1.4,  52.5,  47.5,      96,21.6,        221,16.7,100.0,      71,98.6,13.1,"      $8,658,232","  $61,756",    140.2,"          $20,176,917.00","           2,008.2","              $10,047.26","          $22,048,638.00","           2,081.0","              $10,595.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackstone-Millville: Blackstone Millville RHS,06220505,Public School,Blackstone,MA,01504,"09,10,11,12",Blackstone-Millville,06220000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     162,     160,     120,     110,0.0,     552,      12,   2.2,       2,   0.4,      74,  13.4,     121,  21.9, , , , ,   1.4,   1.3,   2.9,  92.4,   0.0,   0.0,   2.0,  48.0,  52.0,     255,14.2,        553,40.3,100.0,     205,98.5,13.7,"      $8,658,232","  $61,756",    140.2,"          $20,176,917.00","           2,008.2","              $10,047.26","          $22,048,638.00","           2,081.0","              $10,595.21",       115,89.6,1.7,0.0,3.5,5.2,0.0,     552,9.0,1.6,107.0,63.0,58.9,0.0,18.6713,10.3075,29.9212,1.8848000000000003,14.9606,3.7107,48.5925,107.0,107.0,100.0,45.0,      53,37.0,8.0,0.0,0.0,0.0,3.0,14.0,18.0,11.0,7.0,32.1,67.9,73.0,542.0,544.0
Blackstone-Millville: Frederick W. Hartnett Middle School,06220405,Public School,Blackstone,MA,01504,"06,07,08",Blackstone-Millville,06220000,Public School District,       0,       0,       0,       0,       0,       0,       0,     179,     168,     143,       0,       0,       0,       0,0.0,     490,      10,   2.0,       4,   0.8,      71,  14.5,     113,  23.1, , , , ,   1.4,   1.6,   2.4,  91.2,   0.2,   0.0,   3.1,  51.4,  48.6,     168,19.0,        492,34.6,100.0,     181,97.2,14.2,"      $8,658,232","  $61,756",    140.2,"          $20,176,917.00","           2,008.2","              $10,047.26","          $22,048,638.00","           2,081.0","              $10,595.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackstone-Millville: John F Kennedy Elementary,06220008,Public School,Blackstone,MA,01504,3,Blackstone-Millville,06220000,Public School District,       0,      96,     117,     100,     117,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     430,      12,   2.8,       8,   1.9,      63,  14.7,     107,  24.9, , , , ,   1.6,   0.7,   3.7,  90.9,   0.0,   0.2,   2.8,  47.2,  52.8,     180,21.6,        431,28.8,100.0,     141,100.0,14.9,"      $8,658,232","  $61,756",    140.2,"          $20,176,917.00","           2,008.2","              $10,047.26","          $22,048,638.00","           2,081.0","              $10,595.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackstone-Millville: Millville Elementary,06220010,Public School,Millville,MA,01529,"PK,K,01,02",Blackstone-Millville,06220000,Public School District,      63,      46,      41,      48,      40,      44,      40,       0,       0,       0,       0,       0,       0,       0,0.0,     322,       2,   0.6,       0,   0.0,      54,  16.8,      53,  16.5, , , , ,   0.0,   0.3,   0.6,  96.0,   0.3,   0.0,   2.8,  51.2,  48.8,     113,21.6,        324,19.8,100.0,      99,100.0,16.2,"      $8,658,232","  $61,756",    140.2,"          $20,176,917.00","           2,008.2","              $10,047.26","          $22,048,638.00","           2,081.0","              $10,595.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Hills Regional Vocational Technical: Blue Hills Regional Vocational Technical,08060605,Public School,Canton,MA,02021,"09,10,11,12",Blue Hills Regional Vocational Technical,08060000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     222,     220,     210,     197,0.0,     849,      32,   3.8,       7,   0.8,     202,  23.8,     233,  27.4, , , , ,  18.4,   1.2,   6.5,  70.1,   0.1,   0.1,   3.7,  56.8,  43.2,     337,18.3,        849,80.0,98.8,     194,100.0,10.6,"      $6,449,157","  $74,643",     86.4,"          $16,955,137.00",             815.9,"              $20,780.90","          $16,955,137.00",             816.5,"              $20,765.63",       198,93.4,2.0,0.0,0.5,4.0,0.0,     849,5.0,0.6,187.0,117.0,62.6,0.0,18.2166,27.2936,17.1524,26.730200000000004,9.077,6.447800000000001,35.369,187.0,179.0,95.7,,,,,,,,,,,,,,,132.0,414.0,431.0
Boston: Adams Elementary School,00350302,Public School,East Boston,MA,02128,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      48,      45,      46,      51,      40,      27,      25,       0,       0,       0,       0,       0,       0,       0,0.0,     282,     169,  59.9,     131,  46.5,      58,  20.6,     247,  87.6, , , , ,   5.3,   4.3,  66.3,  21.6,   0.0,   0.0,   2.5,  53.2,  46.8,      49,17.0,        306,20.4,100.0,      93,100.0,13.9,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Alighieri Dante Montessori School,00350066,Public School,East Boston,MA,02128,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,       0,      22,      22,      22,      24,      21,      15,       0,       0,       0,       0,       0,       0,       0,0.0,     126,      82,  65.1,      64,  50.8,      16,  12.7,     107,  84.9, , , , ,   7.1,   4.0,  73.0,  12.7,   0.8,   0.0,   2.4,  48.4,  51.6,      10,21.0,        129,6.9,100.0,      31,83.9,18.4,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Another Course To College,00350541,Public School,Hyde Park,MA,02136,"09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      41,      54,      54,      54,0.0,     203,      61,  30.0,       6,   3.0,      51,  25.1,     125,  61.6, , , , ,  44.8,   4.4,  41.9,   8.9,   0.0,   0.0,   0.0,  48.3,  51.7,      83,16.9,        216,16.7,97.0,      73,97.3,12.2,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",        61,70.5,9.8,1.6,4.9,11.5,1.6,     203,11.0,5.4,48.0,37.0,77.1,0.0,27.0621,39.6294,10.408499999999998,39.6294,0.0,10.408499999999998,37.4706,48.0,13.0,27.1,26.0,      30,22.0,4.0,0.0,0.0,0.0,14.0,11.0,3.0,1.0,1.0,83.3,16.7,45.0,401.0,419.0
Boston: Baldwin Early Learning Pilot Academy,00350003,Public School,Brighton,MA,02135,"PK,K,01",Boston,00350000,Public School District,      94,      49,      31,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     174,      80,  46.0,      65,  37.4,      27,  15.5,      95,  54.6, , , , ,  17.8,  16.1,  33.3,  29.3,   0.0,   0.0,   3.4,  54.0,  46.0,      11,17.3,        190,13.5,100.0,      51,100.0,12.9,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Bates Elementary School,00350278,Public School,Roslindale,MA,02131,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      12,      45,      42,      48,      39,      63,      54,       0,       0,       0,       0,       0,       0,       0,0.0,     303,      93,  30.7,      72,  23.8,      42,  13.9,     214,  70.6, , , , ,  38.6,   4.3,  38.3,  14.9,   0.0,   0.0,   4.0,  51.5,  48.5,      15,20.0,        300,20.9,100.0,      80,100.0,14.5,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Beethoven Elementary School,00350021,Public School,West Roxbury,MA,02132,"PK,K,01,02",Boston,00350000,Public School District,      44,      77,      46,      45,      49,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     261,      76,  29.1,      60,  23.0,      34,  13.0,     131,  50.2, , , , ,  21.8,   5.0,  34.1,  36.0,   0.0,   0.0,   3.1,  59.4,  40.6,      47,17.9,        285,19.3,100.0,      88,100.0,13.6,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Blackstone Elementary School,00350390,Public School,Boston,MA,02118,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      78,      84,      95,      84,      88,      87,      72,       0,       0,       0,       0,       0,       0,       0,0.0,     588,     400,  68.0,     346,  58.8,     148,  25.2,     553,  94.0, , , , ,  16.5,   1.0,  80.1,   1.4,   0.0,   0.0,   1.0,  51.7,  48.3,     110,17.5,        603,45.8,83.6,     216,78.2,12.8,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Boston Adult Tech Academy,00350548,Public School,Back Bay,MA,02116,"11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       6,       1,      85,     185,2.0,     279,     169,  60.6,     139,  49.8,      26,   9.3,     136,  48.7, , , , ,  55.9,   6.1,  35.5,   1.8,   0.4,   0.0,   0.4,  55.9,  44.1,      64,18.3,        219,18.0,100.0,      80,87.5,15.5,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",       165,27.9,47.9,14.5,1.2,8.5,0.0,     277,18.0,6.5,111.0,39.0,35.1,0.9126000000000001,7.195500000000001,26.991900000000005,0.0,26.114400000000003,0.0,0.0,7.195500000000001,111.0,37.0,33.3,,,,,,,,,,,,,,,7.0,,
Boston: Boston Arts Academy,00350546,Public School,Boston,MA,02215,"09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     103,     103,      84,      94,0.0,     384,      92,  24.0,      13,   3.4,      59,  15.4,     236,  61.5, , , , ,  38.5,   3.4,  38.8,  14.8,   0.8,   0.5,   3.1,  41.7,  58.3,     264,13.2,        387,40.4,92.6,     255,92.9,9.5,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",        92,85.9,4.3,0.0,2.2,7.6,0.0,     384,6.0,1.6,84.0,71.0,84.5,0.0,51.207,15.463500000000002,17.8295,14.2805,2.366,13.0975,69.0365,84.0,73.0,86.9,,,,,,,,,,,,,,,91.0,424.0,432.0
Boston: Boston Collaborative High School,00350755,Public School,South Boston,MA,02127,"09,10,11,12",Boston,00350000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Boston Community Leadership Academy,00350558,Public School,Hyde Park,MA,02136,"07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     125,     122,     106,      98,0.0,     451,     243,  53.9,     122,  27.1,      70,  15.5,     346,  76.7, , , , ,  43.5,   3.8,  43.2,   8.6,   0.0,   0.4,   0.4,  46.1,  53.9,     200,15.2,        438,38.3,96.1,     143,86.0,11.8,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",        97,86.6,10.3,0.0,0.0,3.1,0.0,     451,4.0,0.9,91.0,59.0,64.8,1.1016,18.6624,20.8656,24.170399999999994,20.8656,10.951199999999998,9.9144,42.83279999999999,91.0,19.0,20.9,96.0,     136,60.0,32.0,4.0,0.0,0.0,58.0,43.0,12.0,11.0,12.0,74.3,25.7,85.0,388.0,416.0
Boston: Boston International High School & Newcomers Academy,00350507,Public School,Dorchester,MA,02124,"09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      92,      48,      54,      53,0.0,     247,     247, 100.0,     246,  99.6,       2,   0.8,     190,  76.9, , , , ,  32.8,   0.4,  60.7,   4.5,   0.0,   0.0,   1.6,  51.8,  48.2,     101,15.0,        265,24.8,89.9,      95,94.7,9.9,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",        68,42.6,38.2,2.9,0.0,14.7,1.5,     247,9.0,3.6,43.0,29.0,67.4,0.0,11.5928,25.5446,30.1952,25.5446,11.5928,18.602400000000003,41.788,43.0,0.0,0.0,,,,,,,,,,,,,,,37.0,321.0,362.0
Boston: Boston Latin Academy,00350545,Public School,Dorchester,MA,02121,"07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     274,     304,     295,     273,     302,     268,0.0,"   1,716",     574,  33.4,      20,   1.2,      32,   1.9,     903,  52.6, , , , ,  28.8,  21.9,  17.8,  29.0,   0.8,   0.1,   1.6,  42.8,  57.2,     413,25.7,"      1,725",78.0,100.0,     370,100.0,22.0,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",       273,96.0,2.9,0.0,0.0,1.1,0.0,"   1,138",5.0,0.4,267.0,228.0,85.4,0.0,44.5788,7.8568,32.964400000000005,7.8568,7.088200000000001,22.1186,77.54320000000001,267.0,3.0,1.1,273.0,     402,163.0,92.0,17.0,1.0,0.0,49.0,107.0,120.0,88.0,38.0,38.8,61.2,260.0,513.0,543.0
Boston: Boston Latin School,00350560,Public School,Boston,MA,02115,"07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     405,     367,     421,     400,     408,     383,0.0,"   2,384",     599,  25.1,      11,   0.5,      26,   1.1,     680,  28.5, , , , ,  12.1,  28.1,   8.8,  48.8,   0.0,   0.0,   2.2,  44.4,  55.6,     681,26.9,"      2,383",103.4,100.0,     535,98.9,23.1,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",       380,98.7,0.8,0.0,0.5,0.0,0.0,"   1,612",1.0,0.1,380.0,344.0,90.5,0.0,59.4585,2.0814999999999997,28.96,2.0814999999999997,3.4389999999999996,22.081999999999997,88.4185,380.0,302.0,79.5,671.0,"   1,550",173.0,240.0,164.0,73.0,21.0,163.0,249.0,432.0,395.0,311.0,26.6,73.4,373.0,617.0,632.0
Boston: Boston Teachers Union K-8 Pilot,00350012,Public School,Jamaica Plain,MA,02130,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,      22,      24,      31,      22,      23,       0,       0,      49,      48,       0,       0,       0,       0,       0,0.0,     219,      57,  26.0,      40,  18.3,      35,  16.0,     134,  61.2, , , , ,  38.4,   1.8,  37.4,  19.6,   0.5,   0.0,   2.3,  56.2,  43.8,      53,25.2,        235,13.7,100.0,      72,95.8,16.0,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Bradley Elementary School,00350215,Public School,East Boston,MA,02128,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      38,      26,      47,      48,      40,      53,      44,       0,       0,       0,       0,       0,       0,       0,0.0,     296,     151,  51.0,      71,  24.0,      52,  17.6,     231,  78.0, , , , ,   5.1,   2.0,  59.1,  31.1,   0.3,   0.0,   2.4,  49.7,  50.3,      25,21.4,        314,18.1,100.0,      71,100.0,16.4,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Brighton High School,00350505,Public School,Brighton,MA,02135,"07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     301,     296,     292,     334,10.0,"   1,233",     660,  53.5,     357,  29.0,     246,  20.0,     980,  79.5, , , , ,  39.4,   3.2,  50.9,   5.1,   0.5,   0.1,   0.8,  54.3,  45.7,     241,20.8,"      1,241",77.1,98.5,     293,94.9,16.0,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",       359,59.6,15.3,0.0,3.9,20.9,0.3,"   1,223",151.0,12.3,240.0,142.0,59.2,0.4144,17.108800000000002,30.428800000000003,11.248,29.6,6.2752,4.558400000000001,28.3568,240.0,54.0,22.5,105.0,     180,52.0,34.0,16.0,3.0,0.0,102.0,53.0,14.0,5.0,6.0,86.1,13.9,150.0,384.0,409.0
Boston: Burke High School,00350525,Public School,Dorchester,MA,02121,"07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     210,     181,     135,     167,4.0,     697,     280,  40.2,     187,  26.8,     159,  22.8,     530,  76.0, , , , ,  68.3,   2.0,  26.1,   0.9,   0.1,   0.6,   2.0,  49.8,  50.2,     284,19.0,        734,56.8,93.5,     223,94.2,12.3,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",       258,43.4,16.7,2.7,3.1,33.7,0.4,     693,87.0,12.6,135.0,67.0,49.6,0.7440000000000001,10.366399999999999,27.3792,11.1104,26.635200000000005,0.7440000000000001,10.366399999999999,21.476799999999997,135.0,28.0,20.7,31.0,      44,18.0,13.0,0.0,0.0,0.0,43.0,1.0,0.0,0.0,0.0,100.0,0.0,77.0,350.0,381.0
Boston: Carter School,00350036,Public School,Dorchester,MA,02121,"07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       1,       1,       1,       2,       3,       2,       1,       5,9.0,      25,      12,  48.0,       9,  36.0,      25, 100.0,      20,  80.0, , , , ,  56.0,   8.0,  24.0,  12.0,   0.0,   0.0,   0.0,  68.0,  32.0,       0,0.0,          0,5.0,100.0,       5,100.0,5.0,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,      11,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Channing Elementary School,00350360,Public School,Hyde Park,MA,02136,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      22,      39,      47,      43,      44,      59,      54,       0,       0,       0,       0,       0,       0,       0,0.0,     308,      91,  29.5,      71,  23.1,      30,   9.7,     243,  78.9, , , , ,  61.7,   1.3,  32.1,   1.9,   0.0,   0.0,   2.9,  49.4,  50.6,      55,16.8,        358,20.8,100.0,     112,100.0,14.8,"    $355,112,043","  $83,354","  4,260.3","         $999,065,602.74","          56,313.3","              $17,741.20","       $1,104,029,586.46","          62,162.5","              $17,760.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
