School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Non-Binary,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Part. Rate % ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Part. Rate % MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH
Boston: McKinley Schools,00350363,Public School,Boston,MA,02116,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       1,       5,       9,      13,      15,      12,      22,      27,      26,      45,      32,      35,      25,     267,      76,  28.5,      57,  21.3,     265,  99.3, , ,     267, 100.0,     233,  87.3,41.9,1.9,43.1,9.0,0.7,0.0,3.4,79.0,21.0,0.0,     477,6.2,        303,58.5,95.6,4.6,78.6,94.9,69.4,"    $481,668,763"," $104,813","  4,595.5",      77,      64,  83.1,  10.9,  89.1,   0.0,   0.0,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",35.0,34.3,45.7,0.0,0.0,20.0,0.0,     138,3.0,2.2,40.0,5.0,12.5,0.0,2.5,10.0,0.0,10.0,0.0,0.0,2.5,40.0,0.0,0.0,,,,,,,,,,,,,,,,,,          74,           1,1.4,           6,9.0,           0,0.0,           6,9.0,          28,40.0,          36,51.0,          70,76.0,471.0,41.0,          37,           2,3.0,           0,0.0,           2,3.0,          25,34.0,          46,63.0,          73,79.0,464.0,29.0,          41
Boston: Mendell Elementary School,00350100,Public School,Roxbury,MA,02119,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      24,      38,      39,      42,      44,      42,      40,       0,       0,       0,       0,       0,       0,       0,       0,     269,      72,  26.8,      60,  22.3,      55,  20.4, , ,     164,  61.0,     130,  48.3,27.9,2.2,27.5,34.2,0.0,0.0,8.2,52.4,47.2,0.4,     117,18.9,        276,26.5,93.2,10.1,65.9,96.2,88.9,"    $481,668,763"," $104,813","  4,595.5",      26,      25,  96.2,   8.0,  88.0,   4.0,   0.0,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          59,50.0,          14,12.0,          45,38.0,          40,34.0,          18,15.0,         117,96.0,499.0,39.0,          31,          34,29.0,          10,9.0,          24,21.0,          46,40.0,          36,31.0,         116,95.0,487.0,24.0,          32
Boston: Mildred Avenue K-8 School,00350378,Public School,Mattapan,MA,02126,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,      37,      42,      40,      40,      46,      91,      76,     112,      94,      91,       0,       0,       0,       0,       0,     669,     243,  36.3,     167,  25.0,     134,  20.0, , ,     571,  85.4,     503,  75.2,63.1,1.6,28.4,2.5,0.7,0.0,3.6,51.7,48.3,0.0,     271,17.9,        686,55.9,94.3,12.0,87.1,91.1,96.2,"    $481,668,763"," $104,813","  4,595.5",      56,      53,  94.6,  11.3,  88.7,   0.0,   0.0,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          79,17.0,           6,1.0,          73,15.0,         210,44.0,         184,39.0,         473,98.0,479.0,29.0,         280,          18,4.0,           1,0.0,          17,4.0,         224,47.0,         230,49.0,         472,98.0,471.0,23.0,         281
Boston: Mozart Elementary School,00350237,Public School,Roslindale,MA,02131,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      28,      24,      23,      23,      24,      23,      23,       0,       0,       0,       0,       0,       0,       0,       0,     168,      41,  24.4,      38,  22.6,      41,  24.4, , ,      89,  53.0,      58,  34.5,26.8,2.4,20.8,41.7,0.6,0.0,7.7,61.3,38.7,0.0,     135,11.1,        170,18.3,94.5,9.2,86.3,100.0,95.0,"    $481,668,763"," $104,813","  4,595.5",      24,      23,  95.8,  26.1,  73.9,   0.0,   0.0,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          30,47.0,           5,8.0,          25,39.0,          26,41.0,           8,13.0,          64,99.0,502.0,,          15,          23,36.0,           4,6.0,          19,30.0,          17,27.0,          24,38.0,          64,99.0,490.0,,          15
Boston: Murphy K-8 School,00350240,Public School,Dorchester,MA,02122,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,      42,      61,      66,      92,      90,     115,     118,     139,      97,      87,       0,       0,       0,       0,       0,     907,     524,  57.8,     288,  31.8,     140,  15.4, , ,     736,  81.1,     492,  54.2,18.7,50.4,16.9,9.8,0.3,0.2,3.6,51.7,48.3,0.0,     467,18.6,        914,70.1,97.1,12.9,96.4,100.0,94.6,"    $481,668,763"," $104,813","  4,595.5",      79,      74,  93.7,   2.7,  97.3,   0.0,   0.0,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         276,47.0,          55,9.0,         221,38.0,         229,39.0,          82,14.0,         587,93.0,499.0,41.0,         353,         212,36.0,          24,4.0,         188,32.0,         253,43.0,         125,21.0,         590,93.0,490.0,29.0,         359
Boston: New Mission High School,00350542,Public School,Hyde Park,MA,02136,"07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,      46,      50,     116,     103,      87,      78,       1,     481,     200,  41.6,      71,  14.8,      77,  16.0, , ,     357,  74.2,     295,  61.3,49.7,2.3,43.5,2.3,0.2,0.0,2.1,48.6,51.1,0.2,     212,16.6,        480,44.9,87.4,10.7,73.5,93.3,80.0,"    $481,668,763"," $104,813","  4,595.5",      47,      40,  85.1,  15.0,  85.0,   0.0,   0.0,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",75.0,94.7,2.7,0.0,0.0,2.7,0.0,     384,2.0,0.5,72.0,49.0,68.1,0.0,18.1,18.1,31.9,18.1,8.3,20.8,50.0,72.0,49.0,68.1,     104,     183,52.0,28.0,21.0,3.0,0.0,132.0,44.0,6.0,1.0,0.0,96.2,3.8,42.0,443.0,465.0,         157,         149,94.9,          17,21.0,           0,0.0,          17,21.0,          41,51.0,          23,28.0,          81,87.0,483.0,31.0,          73,           5,6.0,           0,0.0,           5,6.0,          47,57.0,          30,37.0,          82,88.0,476.0,22.0,          72
Boston: O'Bryant School of Math & Science,00350575,Public School,Roxbury,MA,02120,"07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     158,     169,     323,     357,     285,     332,       0,"   1,624",     842,  51.8,      21,   1.3,      71,   4.4, , ,     993,  61.1,     830,  51.1,32.3,20.2,33.8,11.7,0.1,0.2,1.6,45.3,54.7,0.0,     527,22.5,"      1,615",110.2,93.2,14.7,87.3,94.6,90.7,"    $481,668,763"," $104,813","  4,595.5",     111,     100,  90.1,  31.0,  67.0,   2.0,   0.0,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",332.0,100.0,0.0,0.0,0.0,0.0,0.0,"   1,297",1.0,0.1,332.0,233.0,70.2,0.0,24.1,13.0,33.1,13.0,6.6,24.7,57.2,332.0,283.0,85.2,     685,"   1,213",299.0,273.0,88.0,21.0,4.0,419.0,430.0,234.0,98.0,32.0,70.0,30.0,265.0,524.0,562.0,         615,         600,97.6,         215,68.0,          16,5.0,         199,63.0,          96,31.0,           3,1.0,         314,97.0,508.0,39.0,         298,         218,69.0,          24,8.0,         194,62.0,          92,29.0,           4,1.0,         314,97.0,508.0,43.0,         298
Boston: O'Donnell Elementary School,00350141,Public School,East Boston,MA,02128,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      16,      32,      42,      40,      43,      35,      29,      35,       0,       0,       0,       0,       0,       0,       0,     272,     222,  81.6,     169,  62.1,      30,  11.0, , ,     260,  95.6,     198,  72.8,0.4,2.6,88.6,8.1,0.0,0.0,0.4,50.0,50.0,0.0,     134,18.1,        281,24.5,100.0,11.1,95.9,100.0,100.0,"    $481,668,763"," $104,813","  4,595.5",      25,      25, 100.0,-,-,-,-,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          27,19.0,           3,2.0,          24,17.0,          71,51.0,          41,29.0,         139,99.0,481.0,39.0,          53,          15,11.0,           1,1.0,          14,10.0,          79,58.0,          43,31.0,         137,97.0,477.0,35.0,          53
Boston: Ohrenberger School,00350258,Public School,West Roxbury,MA,02132,"03,04,05,06,07,08",Boston,00350000,Public School District,       0,       0,       0,       0,      88,      89,      94,     118,      81,      70,       0,       0,       0,       0,       0,     540,     212,  39.3,     142,  26.3,     131,  24.3, , ,     390,  72.2,     295,  54.6,29.3,3.0,37.2,26.5,0.2,0.0,3.9,51.1,48.9,0.0,     317,18.4,        539,44.8,97.8,12.0,91.7,97.0,93.8,"    $481,668,763"," $104,813","  4,595.5",      55,      34,  61.8,   2.9,  91.2,   2.9,   2.9,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         172,35.0,          33,7.0,         139,29.0,         192,40.0,         122,25.0,         486,94.0,490.0,33.0,         298,         131,27.0,          23,5.0,         108,22.0,         214,44.0,         137,28.0,         482,93.0,485.0,29.0,         294
Boston: Orchard Gardens K-8 School,00350257,Public School,Roxbury,MA,02119,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,      49,      56,      82,      92,      89,      97,      96,      86,      83,      90,       0,       0,       0,       0,       0,     820,     545,  66.5,     422,  51.5,     138,  16.8, , ,     765,  93.3,     628,  76.6,51.7,1.0,41.8,1.8,1.0,0.7,2.0,50.5,49.5,0.0,     536,18.7,        854,74.1,88.5,11.1,70.2,87.9,87.5,"    $481,668,763"," $104,813","  4,595.5",      88,      76,  86.4,  14.5,  85.5,   0.0,   0.0,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          56,12.0,           4,1.0,          52,11.0,         220,46.0,         205,43.0,         481,91.0,474.0,34.0,         281,          21,4.0,           2,0.0,          19,4.0,         173,37.0,         279,59.0,         473,89.0,467.0,26.0,         274
Boston: Otis Elementary School,00350156,Public School,East Boston,MA,02128,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      39,      57,      56,      62,      60,      55,      41,      40,       0,       0,       0,       0,       0,       0,       0,     410,     303,  73.9,     222,  54.1,      41,  10.0, , ,     353,  86.1,     266,  64.9,4.4,2.4,70.7,20.2,0.2,0.0,2.0,47.3,52.7,0.0,     197,19.1,        408,36.6,91.8,11.2,75.1,92.7,94.4,"    $481,668,763"," $104,813","  4,595.5",      36,      32,  88.9,  21.9,  78.1,   0.0,   0.0,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          65,35.0,           7,4.0,          58,31.0,          81,43.0,          41,22.0,         187,100.0,488.0,32.0,          68,          40,21.0,           1,1.0,          39,21.0,          97,52.0,          50,27.0,         187,100.0,481.0,29.0,          69
Boston: Perkins Elementary School,00350231,Public School,South Boston,MA,02127,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,       4,      22,      21,      24,      17,      37,      24,      17,       0,       0,       0,       0,       0,       0,       0,     166,      65,  39.2,      41,  24.7,      32,  19.3, , ,     150,  90.4,     130,  78.3,39.8,8.4,32.5,15.1,0.0,0.0,4.2,47.6,52.4,0.0,      87,15.1,        174,18.4,89.1,9.0,78.8,100.0,94.7,"    $481,668,763"," $104,813","  4,595.5",      21,      21, 100.0,-,-,-,-,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          29,33.0,           6,7.0,          23,26.0,          49,56.0,          10,11.0,          88,95.0,492.0,31.0,          35,           9,11.0,           0,0.0,           9,11.0,          42,49.0,          34,40.0,          85,92.0,475.0,7.0,          32
Boston: Perry Elementary School,00350255,Public School,South Boston,MA,02127,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      22,      23,      25,      22,      30,      25,      20,      22,       0,      14,       0,       0,       0,       0,       0,     203,      36,  17.7,      31,  15.3,      52,  25.6, , ,     110,  54.2,      90,  44.3,15.8,3.4,18.7,58.1,0.0,0.0,3.9,53.2,46.8,0.0,     101,15.6,        205,23.7,95.8,8.6,91.6,100.0,95.7,"    $481,668,763"," $104,813","  4,595.5",      25,      23,  92.0,  39.1,  60.9,   0.0,   0.0,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          28,30.0,           4,4.0,          24,26.0,          37,40.0,          28,30.0,          93,90.0,493.0,35.0,          37,          17,18.0,           0,0.0,          17,18.0,          39,41.0,          38,40.0,          94,91.0,483.0,26.0,          37
Boston: Philbrick Elementary School,00350172,Public School,Roslindale,MA,02131,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      13,      14,      14,      22,      15,      15,      18,       0,       0,       0,       0,       0,       0,       0,       0,     111,      33,  29.7,      26,  23.4,      13,  11.7, , ,      82,  73.9,      68,  61.3,43.2,2.7,36.0,13.5,1.8,0.0,2.7,54.1,45.9,0.0,      68,14.6,        109,14.9,97.8,7.5,71.5,93.3,88.9,"    $481,668,763"," $104,813","  4,595.5",      22,      20,  90.9,-,-,-,-,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          17,41.0,           2,5.0,          15,37.0,          19,46.0,           5,12.0,          41,91.0,495.0,,          13,           7,18.0,           0,0.0,           7,18.0,          16,40.0,          17,43.0,          40,89.0,474.0,,          12
Boston: Quincy Elementary School,00350286,Public School,Boston,MA,02111,"PK,K,01,02,03,04,05",Boston,00350000,Public School District,      70,      89,     113,     112,     113,     124,     121,       0,       0,       0,       0,       0,       0,       0,       0,     742,     495,  66.7,     337,  45.4,     105,  14.2, , ,     618,  83.3,     385,  51.9,12.1,62.5,8.6,11.6,0.0,0.0,5.1,50.1,49.9,0.0,     632,17.1,        757,65.7,100.0,11.3,87.8,93.5,95.5,"    $481,668,763"," $104,813","  4,595.5",      73,      70,  95.9,   2.9,  97.1,   0.0,   0.0,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         142,46.0,          32,10.0,         110,35.0,         122,39.0,          47,15.0,         311,88.0,498.0,43.0,         103,         145,47.0,          33,11.0,         112,36.0,         120,39.0,          46,15.0,         311,88.0,499.0,46.0,         104
Boston: Quincy Upper School,00350565,Public School,Boston,MA,02116,"06,07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,     136,      82,      76,      67,      36,      56,      65,      17,     535,     341,  63.7,      77,  14.4,     104,  19.4, , ,     445,  83.2,     332,  62.1,21.7,49.7,22.1,3.7,0.2,0.0,2.6,52.1,47.9,0.0,     228,20.7,        536,48.7,89.7,11.0,78.4,93.8,80.0,"    $481,668,763"," $104,813","  4,595.5",      50,      24,  48.0,  45.8,  54.2,   0.0,   0.0,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",59.0,91.5,8.5,0.0,0.0,0.0,0.0,     224,0.0,0.0,64.0,41.0,64.1,0.0,29.7,10.9,23.4,10.9,3.1,18.8,53.099999999999994,64.0,4.0,6.3,       1,,,,,,,,,,,,,,23.0,466.0,464.0,         117,         115,98.3,          70,26.0,          12,4.0,          58,21.0,         129,47.0,          74,27.0,         273,93.0,487.0,36.0,         263,          69,25.0,           8,3.0,          61,22.0,         135,49.0,          70,26.0,         274,93.0,486.0,28.0,         263
Boston: Roosevelt K-8 School,00350116,Public School,Hyde Park,MA,02136,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,      36,      31,      37,      41,      37,      46,      38,      49,      43,      46,       0,       0,       0,       0,       0,     404,     119,  29.5,      79,  19.6,     118,  29.2, , ,     315,  78.0,     228,  56.4,35.6,4.0,38.1,14.6,0.5,0.2,6.9,54.5,45.5,0.0,     159,21.9,        422,36.8,100.0,11.0,97.3,100.0,97.4,"    $481,668,763"," $104,813","  4,595.5",      38,      36,  94.7,-,-,-,-,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          34,19.0,           2,1.0,          32,18.0,          91,51.0,          52,29.0,         177,73.0,483.0,27.0,          97,          16,9.0,           1,1.0,          15,9.0,          83,49.0,          70,41.0,         169,70.0,474.0,28.0,          90
Boston: Russell Elementary School,00350366,Public School,Dorchester,MA,02125,"PK,K,01,02,03,04,05",Boston,00350000,Public School District,      52,      51,      53,      64,      58,      46,      41,       0,       0,       0,       0,       0,       0,       0,       0,     365,     242,  66.3,     199,  54.5,      32,   8.8, , ,     331,  90.7,     264,  72.3,27.7,8.2,57.3,2.7,0.3,1.1,2.7,52.1,47.9,0.0,     178,18.4,        370,34.4,97.1,10.6,85.5,100.0,96.9,"    $481,668,763"," $104,813","  4,595.5",      32,      32, 100.0,   6.3,  93.8,   0.0,   0.0,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          37,31.0,           4,3.0,          33,27.0,          70,58.0,          14,12.0,         121,99.0,491.0,21.0,          37,          23,19.0,           3,3.0,          20,17.0,          69,58.0,          28,23.0,         120,99.0,484.0,12.0,          37
Boston: Shaw Elementary School,00350014,Public School,Dorchester,MA,02124,"PK,K,01,02,03,04",Boston,00350000,Public School District,      31,      37,      25,      35,      34,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     162,      45,  27.8,      40,  24.7,      18,  11.1, , ,     146,  90.1,     134,  82.7,68.5,0.6,26.5,1.2,1.9,0.0,1.2,48.1,51.9,0.0,      85,13.8,        164,15.5,96.8,10.5,93.5,93.5,93.8,"    $481,668,763"," $104,813","  4,595.5",      18,      18, 100.0,-,-,-,-,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           2,10.0,           0,0.0,           2,10.0,          12,60.0,           6,30.0,          20,61.0,480.0,,,           0,0.0,           0,0.0,           0,0.0,           4,20.0,          16,80.0,          20,62.0,461.0,,
Boston: Snowden International High School,00350690,Public School,Boston,MA,02116,"09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     126,     126,     120,     111,       0,     483,     225,  46.6,      78,  16.1,     108,  22.4, , ,     403,  83.4,     350,  72.5,33.7,6.2,52.0,5.8,0.4,0.0,1.9,52.2,47.8,0.0,     197,20.6,        489,44.0,94.3,11.0,84.8,94.5,81.8,"    $481,668,763"," $104,813","  4,595.5",      47,      43,  91.5,   2.3,  95.3,   2.3,   0.0,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",118.0,78.8,12.7,0.0,0.8,7.6,0.0,     483,10.0,2.1,101.0,49.0,48.5,0.0,14.9,18.8,14.9,18.8,1.0,9.9,29.8,101.0,37.0,36.6,,,,,,,,,,,,,,,33.0,452.0,433.0,         218,         178,81.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Sumner Elementary School,00350052,Public School,Roslindale,MA,02131,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      55,      73,      67,      76,      76,      73,      72,       0,       0,       0,       0,       0,       0,       0,       0,     492,     241,  49.0,     197,  40.0,      85,  17.3, , ,     369,  75.0,     287,  58.3,16.7,1.2,56.7,20.3,0.0,0.0,5.1,52.0,48.0,0.0,     350,15.7,        488,42.3,97.6,11.6,92.1,95.3,97.7,"    $481,668,763"," $104,813","  4,595.5",      47,      43,  91.5,-,-,-,-,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          63,33.0,          11,6.0,          52,27.0,          82,43.0,          45,24.0,         190,90.0,488.0,22.0,          60,          33,17.0,           1,1.0,          32,17.0,          76,40.0,          83,43.0,         192,90.0,476.0,22.0,          59
Boston: Taylor Elementary School,00350054,Public School,Mattapan,MA,02126,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      18,      31,      47,      59,      61,      53,      58,       0,       0,       0,       0,       0,       0,       0,       0,     327,     149,  45.6,     119,  36.4,      58,  17.7, , ,     303,  92.7,     262,  80.1,74.9,0.6,19.9,1.8,0.9,0.0,1.8,49.2,50.8,0.0,     265,12.0,        329,37.0,100.0,8.8,83.1,94.6,89.5,"    $481,668,763"," $104,813","  4,595.5",      44,      37,  84.1,   5.4,  91.9,   0.0,   2.7,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          40,24.0,           1,1.0,          39,24.0,          78,48.0,          46,28.0,         164,98.0,483.0,25.0,          45,          15,9.0,           0,0.0,          15,9.0,          61,37.0,          87,53.0,         163,97.0,469.0,20.0,          45
Boston: TechBoston Academy,00350657,Public School,Dorchester,MA,02124,"06,07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,     104,     108,     121,     166,     149,     124,     128,       1,     901,     386,  42.8,     210,  23.3,     202,  22.4, , ,     795,  88.2,     671,  74.5,60.6,2.1,30.5,2.9,0.2,0.1,3.6,56.8,43.1,0.1,     462,15.0,        921,95.0,85.8,9.5,81.6,95.3,74.7,"    $481,668,763"," $104,813","  4,595.5",     101,      83,  82.2,  34.9,  63.9,   1.2,   0.0,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",133.0,88.7,6.8,0.0,0.8,3.8,0.0,     567,9.0,1.6,122.0,64.0,52.5,0.0,14.8,25.4,12.3,25.4,2.5,7.4,27.1,122.0,22.0,18.0,      60,      81,42.0,15.0,3.0,0.0,0.0,55.0,17.0,2.0,5.0,2.0,88.9,11.1,122.0,433.0,418.0,         253,         105,41.5,          20,7.0,           0,0.0,          20,7.0,         130,48.0,         123,45.0,         273,88.0,473.0,23.0,         242,          11,4.0,           0,0.0,          11,4.0,         135,48.0,         136,48.0,         282,91.0,470.0,21.0,         250
Boston: Tobin K-8 School,00350229,Public School,Roxbury,MA,02120,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,      16,      37,      34,      42,      50,      51,      43,      48,      49,      38,       0,       0,       0,       0,       0,     408,     161,  39.5,     114,  27.9,      54,  13.2, , ,     365,  89.5,     332,  81.4,28.9,1.7,62.3,4.9,0.5,0.0,1.7,48.8,51.2,0.0,     247,17.7,        420,35.8,100.0,11.4,89.5,97.2,91.9,"    $481,668,763"," $104,813","  4,595.5",      43,      41,  95.3,  14.6,  82.9,   2.4,   0.0,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          36,14.0,           0,0.0,          36,14.0,         141,54.0,          86,33.0,         263,99.0,478.0,25.0,         158,          13,5.0,           0,0.0,          13,5.0,         139,53.0,         109,42.0,         261,98.0,473.0,21.0,         159
Boston: Trotter Elementary School,00350370,Public School,Dorchester,MA,02121,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      39,      34,      42,      47,      53,      42,      43,      35,      26,      19,       0,       0,       0,       0,       0,     380,      89,  23.4,      49,  12.9,      64,  16.8, , ,     330,  86.8,     310,  81.6,54.5,1.3,38.4,1.1,0.3,1.3,3.2,50.8,49.2,0.0,     250,17.2,        396,31.8,96.9,11.9,78.0,96.9,90.9,"    $481,668,763"," $104,813","  4,595.5",      38,      36,  94.7,   0.0,  88.9,  11.1,   0.0,"       $1,348,915,645.82","          48,747.8","              $27,671.31","       $1,676,837,932.25","          63,064.7","              $26,589.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          24,12.0,           2,1.0,          22,11.0,         112,55.0,          66,33.0,         202,96.0,479.0,21.0,         113,          16,8.0,           0,0.0,          16,8.0,          87,43.0,         101,50.0,         204,96.0,471.0,23.0,         113
