School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,Ach. PCTL ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH,Ach. PCTL MATH,Overall Classification,Reason for Classification,Accountability Percentile (1-99),Overall Improvement Toward Improvement Targets (%)
Blackstone Valley Regional Vocational Technical: Blackstone Valley,08050605,Public School,Upton,MA,01568,"09,10,11,12",Blackstone Valley Regional Vocational Technical,08050000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     311,     311,     305,     296,       0,"   1,223",       9,0.7,       3,0.2,     116,9.5,     227,18.6,     125,10.2,0.4,1.4,3.4,93.0,0.0,0.0,1.8,50.1,49.9,     679,17.2,"      1,219",98.4,96.6,  12.4 to 1,84.5,77.3,"      $7,759,731","  $76,677",    101.0,119.0,117.0,98.3,  24.8,  73.5,   1.7,   0.0,"          $23,729,895.90","           1,232.0","              $19,261.28","          $23,751,401.85","           1,236.0","              $19,216.34",       294,100.0,0.0,0.0,0.0,0.0,0.0,"   1,223",2.0,0.2,296.0,236.0,79.7,0.0,38.1,3.8,58.1,3.4,29.2,15.7,296.0,296.0,100.0,     274,     407,158.0,101.0,13.0,2.0,0.0,99.0,142.0,100.0,49.0,17.0,59.2,40.8,349.0,562.0,552.0,         601,         395,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Partially meeting targets,94.0,60.0
Blackstone-Millville: A F Maloney,06220015,Public School,Blackstone,MA,01504,"04,05",Blackstone-Millville,06220000,Public School District,       0,       0,       0,       0,      92,     107,     100,       0,       0,       0,       0,       0,       0,       0,       0,     299,      31,10.4,      17,5.7,      55,18.4,     119,39.8,      67,22.4,1.7,1.7,6.7,84.6,0.0,0.0,5.4,49.2,50.8,     121,22.9,        297,20.6,100.0,  14.5 to 1,88.6,97.1,"      $9,236,975","  $68,881",    134.0,31.0,31.0,100.0,  19.4,  80.6,   0.0,   0.0,"          $23,353,305.00","           1,694.3","              $13,783.45","          $25,743,434.34","           1,820.6","              $14,140.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         139,48.0,          10,3.0,         129,45.0,         134,47.0,          15,5.0,         288,500.4,39.8,         185,43.0,         135,47.0,          12,4.0,         123,43.0,         123,43.0,          29,10.0,         287,497.7,49.1,         184,44.0,Not requiring assistance or intervention,Partially meeting targets,41.0,50.0
Blackstone-Millville: Blackstone Millville RHS,06220505,Public School,Blackstone,MA,01504,"09,10,11,12",Blackstone-Millville,06220000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     101,     106,     107,      91,       2,     407,      20,4.9,       5,1.2,      63,15.5,     134,32.9,      82,20.1,1.0,1.7,5.9,90.7,0.0,0.0,0.7,51.1,48.9,     205,13.8,        404,38.0,100.0,  10.7 to 1,81.6,84.2,"      $9,236,975","  $68,881",    134.0,46.0,46.0,100.0,  23.9,  76.1,   0.0,   0.0,"          $23,353,305.00","           1,694.3","              $13,783.45","          $25,743,434.34","           1,820.6","              $14,140.08",        98,87.8,2.0,0.0,1.0,9.2,0.0,     405,9.0,2.2,87.0,57.0,65.5,0.0,28.1,17.5,54.4,7.0,24.6,14.0,87.0,87.0,100.0,      96,     154,51.0,34.0,9.0,2.0,0.0,20.0,51.0,42.0,29.0,12.0,46.1,53.9,89.0,537.0,535.0,         194,          99,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Partially meeting targets,36.0,68.0
Blackstone-Millville: Frederick W. Hartnett Middle School,06220405,Public School,Blackstone,MA,01504,"06,07,08",Blackstone-Millville,06220000,Public School District,       0,       0,       0,       0,       0,       0,       0,     130,     141,     155,       0,       0,       0,       0,       0,     426,      19,4.5,       3,0.7,      60,14.1,     128,30.0,      75,17.6,1.9,0.5,3.8,89.9,0.2,0.0,3.8,50.5,49.5,     250,19.5,        427,33.1,100.0,  12.9 to 1,84.9,97.0,"      $9,236,975","  $68,881",    134.0,42.0,41.0,97.6,   9.8,  85.4,   4.9,   0.0,"          $23,353,305.00","           1,694.3","              $13,783.45","          $25,743,434.34","           1,820.6","              $14,140.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         184,44.0,          16,4.0,         168,40.0,         189,45.0,          47,11.0,         420,495.7,43.4,         408,27.0,         172,41.0,           6,1.0,         166,40.0,         217,52.0,          28,7.0,         417,496.1,48.3,         405,38.0,Not requiring assistance or intervention,Partially meeting targets,25.0,33.0
Blackstone-Millville: John F Kennedy Elementary,06220008,Public School,Blackstone,MA,01504,3,Blackstone-Millville,06220000,Public School District,       0,      91,      86,     119,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     296,      37,12.5,      27,9.1,      51,17.2,     132,44.6,      82,27.7,1.7,0.3,9.1,83.1,0.0,0.0,5.7,56.4,43.6,     126,19.9,        278,22.6,100.0,  13.1 to 1,94.0,100.0,"      $9,236,975","  $68,881",    134.0,33.0,33.0,100.0,-,-,-,-,"          $23,353,305.00","           1,694.3","              $13,783.45","          $25,743,434.34","           1,820.6","              $14,140.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,Insufficient data,,
Blackstone-Millville: Millville Elementary,06220010,Public School,Millville,MA,01529,"PK,K,01,02",Blackstone-Millville,06220000,Public School District,      60,      38,      35,      40,      37,      26,      49,       0,       0,       0,       0,       0,       0,       0,       0,     285,      11,3.9,       3,1.1,      57,20.0,     110,38.6,      73,25.6,0.0,1.4,6.0,89.5,0.0,0.0,3.2,49.5,50.5,     107,20.7,        289,20.0,100.0,  14.3 to 1,83.5,100.0,"      $9,236,975","  $68,881",    134.0,25.0,25.0,100.0,  36.0,  64.0,   0.0,   0.0,"          $23,353,305.00","           1,694.3","              $13,783.45","          $25,743,434.34","           1,820.6","              $14,140.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          37,33.0,           4,4.0,          33,29.0,          65,58.0,          10,9.0,         112,495.5,42.0,          69,27.0,          31,28.0,           2,2.0,          29,26.0,          72,65.0,           8,7.0,         111,492.2,56.7,          68,25.0,Not requiring assistance or intervention,Partially meeting targets,25.0,56.0
Blue Hills Regional Vocational Technical: Blue Hills Regional Vocational Technical,08060605,Public School,Canton,MA,02021,"09,10,11,12",Blue Hills Regional Vocational Technical,08060000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     224,     201,     214,     215,       0,     854,      72,8.4,       4,0.5,     227,26.6,     385,45.1,     191,22.4,22.0,0.9,12.4,59.4,0.7,0.1,4.4,55.4,44.6,     427,14.8,        841,82.0,95.1,  10.4 to 1,80.5,87.8,"      $6,982,777","  $81,195",     86.0,92.0,92.0,100.0,   3.3,  95.7,   1.1,   0.0,"          $20,314,304.40",             890.3,"              $22,817.37","          $20,314,306.25",             890.3,"              $22,817.37",       210,97.6,1.9,0.0,0.0,0.5,0.0,     854,1.0,0.1,209.0,123.0,58.9,0.8,28.5,32.5,38.2,31.7,12.2,22.0,209.0,209.0,100.0,      27,      32,22.0,5.0,0.0,0.0,0.0,4.0,16.0,10.0,1.0,1.0,62.5,37.5,117.0,505.0,497.0,         423,         324,76.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Meeting targets,74.0,82.0
Boston: Adams Elementary School,00350302,Public School,East Boston,MA,02128,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      40,      52,      41,      48,      51,      26,      33,       0,       0,       0,       0,       0,       0,       0,       0,     291,     230,79.0,     210,72.2,      55,18.9,     266,91.4,     165,56.7,4.1,1.4,75.6,17.9,0.3,0.0,0.7,49.5,50.5,     144,13.4,        293,24.4,100.0,  11.9 to 1,81.9,87.6,"    $434,326,612"," $101,811","  4,266.0",29.0,29.0,100.0,   6.9,  86.2,   6.9,   0.0,"       $1,215,099,780.00","          53,415.9","              $22,747.90","       $1,473,857,399.82","          67,288.3","              $21,903.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          33,32.0,           0,0.0,          33,32.0,          50,49.0,          19,19.0,         102,490.3,47.0,          52,13.0,          21,20.0,           1,1.0,          20,19.0,          58,56.0,          24,23.0,         103,487.0,44.7,          53,13.0,Not requiring assistance or intervention,Partially meeting targets,13.0,57.0
Boston: Alighieri Dante Montessori School,00350066,Public School,East Boston,MA,02128,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      28,      14,      13,      12,      13,       9,       3,       0,       0,       0,       0,       0,       0,       0,       0,      92,      49,53.3,      47,51.1,       9,9.8,      57,62.0,      35,38.0,2.2,1.1,56.5,35.9,0.0,0.0,4.3,41.3,58.7,      83,6.7,         93,9.8,100.0,   9.4 to 1,86.6,81.3,"    $434,326,612"," $101,811","  4,266.0",13.0,13.0,100.0,  23.1,  76.9,   0.0,   0.0,"       $1,215,099,780.00","          53,415.9","              $22,747.90","       $1,473,857,399.82","          67,288.3","              $21,903.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          11,48.0,           1,4.0,          10,43.0,           9,39.0,           3,13.0,          23,496.6,,          10,30.0,           6,26.0,           1,4.0,           5,22.0,          14,61.0,           3,13.0,          23,490.1,,          10,20.0,Not requiring assistance or intervention,Meeting targets,,100.0
Boston: Another Course To College,00350541,Public School,Hyde Park,MA,02136,"09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      52,      55,      63,      54,       0,     224,     100,44.6,      37,16.5,      52,23.2,     168,75.0,     138,61.6,45.1,4.0,40.2,8.0,0.0,0.4,2.2,54.9,45.1,     145,12.5,        237,22.1,83.5,  10.1 to 1,70.6,88.7,"    $434,326,612"," $101,811","  4,266.0",26.0,15.0,57.7,  33.3,  60.0,   6.7,   0.0,"       $1,215,099,780.00","          53,415.9","              $22,747.90","       $1,473,857,399.82","          67,288.3","              $21,903.62",        67,89.6,4.5,0.0,0.0,6.0,0.0,     224,6.0,2.7,61.0,46.0,75.4,0.0,15.2,52.2,32.6,52.2,0.0,30.4,61.0,5.0,8.2,      26,      30,23.0,2.0,1.0,0.0,0.0,14.0,8.0,5.0,3.0,0.0,73.3,26.7,70.0,428.0,431.0,         112,          61,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Partially meeting targets,19.0,46.0
Boston: Baldwin Early Learning Pilot Academy,00350003,Public School,Brighton,MA,02135,"PK,K,01",Boston,00350000,Public School District,      83,      57,      33,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     173,     118,68.2,     112,64.7,      37,21.4,     140,80.9,      55,31.8,9.2,28.9,31.2,25.4,0.0,0.0,5.2,60.1,39.9,      32,14.2,        167,14.0,100.0,  12.4 to 1,92.9,100.0,"    $434,326,612"," $101,811","  4,266.0",27.0,15.0,55.6,   6.7,  93.3,   0.0,   0.0,"       $1,215,099,780.00","          53,415.9","              $22,747.90","       $1,473,857,399.82","          67,288.3","              $21,903.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,Insufficient data,,
Boston: Bates Elementary School,00350278,Public School,Roslindale,MA,02131,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      20,      37,      40,      38,      37,      49,      41,       0,       0,       0,       0,       0,       0,       0,       0,     262,      88,33.6,      77,29.4,      63,24.0,     172,65.6,     123,46.9,31.7,5.7,37.4,21.8,0.0,0.0,3.4,50.8,49.2,     100,19.9,        269,22.7,100.0,  11.5 to 1,90.6,96.5,"    $434,326,612"," $101,811","  4,266.0",28.0,26.0,92.9,  30.8,  69.2,   0.0,   0.0,"       $1,215,099,780.00","          53,415.9","              $22,747.90","       $1,473,857,399.82","          67,288.3","              $21,903.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          53,44.0,           9,7.0,          44,36.0,          53,44.0,          15,12.0,         121,497.6,50.2,          83,34.0,          40,33.0,           7,6.0,          33,27.0,          55,45.0,          26,21.0,         121,490.2,36.7,          83,20.0,Not requiring assistance or intervention,Partially meeting targets,15.0,57.0
Boston: Beethoven Elementary School,00350021,Public School,West Roxbury,MA,02132,"PK,K,01,02",Boston,00350000,Public School District,      44,      85,      93,      93,       9,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     324,     108,33.3,      99,30.6,      53,16.4,     190,58.6,     129,39.8,27.8,2.5,25.9,40.4,0.0,0.0,3.4,48.5,51.5,     133,19.0,        332,22.4,100.0,  14.5 to 1,95.4,100.0,"    $434,326,612"," $101,811","  4,266.0",27.0,26.0,96.3,   7.7,  92.3,   0.0,   0.0,"       $1,215,099,780.00","          53,415.9","              $22,747.90","       $1,473,857,399.82","          67,288.3","              $21,903.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,Insufficient data,,
Boston: Blackstone Elementary School,00350390,Public School,Boston,MA,02118,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      76,      78,      82,      78,      85,      92,      84,       0,       0,       0,       0,       0,       0,       0,       0,     575,     306,53.2,     268,46.6,     138,24.0,     529,92.0,     435,75.7,25.4,1.7,66.8,3.5,0.2,0.2,2.3,53.2,46.8,     312,16.6,        601,47.9,98.0,  12.0 to 1,67.0,93.7,"    $434,326,612"," $101,811","  4,266.0",53.0,42.0,79.2,   9.5,  88.1,   2.4,   0.0,"       $1,215,099,780.00","          53,415.9","              $22,747.90","       $1,473,857,399.82","          67,288.3","              $21,903.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          52,22.0,           1,0.0,          51,21.0,         132,55.0,          55,23.0,         239,485.7,51.0,         140,7.0,          38,16.0,           0,0.0,          38,16.0,         125,52.0,          79,33.0,         242,480.5,50.3,         142,5.0,Requiring assistance or intervention,In need of focused/targeted support,9.0,70.0
Boston: Boston Adult Tech Academy,00350548,Public School,Back Bay,MA,02116,"11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     121,      33,       0,     154,     136,88.3,     127,82.5,       8,5.2,     150,97.4,      79,51.3,51.3,5.2,40.3,1.9,0.0,0.6,0.6,51.3,48.7,      87,13.5,        198,21.4,84.1,   7.2 to 1,69.8,90.5,"    $434,326,612"," $101,811","  4,266.0",25.0,22.0,88.0,   9.1,  90.9,   0.0,   0.0,"       $1,215,099,780.00","          53,415.9","              $22,747.90","       $1,473,857,399.82","          67,288.3","              $21,903.62",        75,46.7,10.7,12.0,0.0,30.7,0.0,     154,51.0,33.1,101.0,26.0,25.7,7.7,3.8,84.6,3.8,84.6,0.0,3.8,101.0,1.0,1.0,,,,,,,,,,,,,,,16.0,388.0,433.0,         176,           0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,Insufficient data,,
Boston: Boston Arts Academy,00350546,Public School,Boston,MA,02215,"09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     128,     136,     125,      80,       0,     469,     167,35.6,      21,4.5,      67,14.3,     270,57.6,     221,47.1,40.3,4.1,37.5,13.2,0.4,0.2,4.3,33.7,66.3,     293,15.6,        470,47.8,85.4,   9.8 to 1,72.6,89.4,"    $434,326,612"," $101,811","  4,266.0",50.0,39.0,78.0,  43.6,  53.8,   2.6,   0.0,"       $1,215,099,780.00","          53,415.9","              $22,747.90","       $1,473,857,399.82","          67,288.3","              $21,903.62",        82,81.7,9.8,0.0,2.4,6.1,0.0,     469,7.0,1.5,73.0,47.0,64.4,0.0,40.4,25.5,34.0,25.5,8.5,10.6,73.0,3.0,4.1,       2,,,,,,,,,,,,,,161.0,491.0,469.0,         208,          26,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Partially meeting targets,18.0,35.0
Boston: Boston Collaborative High School,00350755,Public School,South Boston,MA,02127,"09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       3,      34,      38,     107,       0,     182,      80,44.0,      41,22.5,      40,22.0,     134,73.6,     112,61.5,44.0,3.8,45.1,5.5,0.5,0.0,1.1,54.9,45.1,      57,15.2,        239,7.0,100.0,  26.0 to 1,70.8,85.1,"    $434,326,612"," $101,811","  4,266.0",9.0,6.0,66.7,   0.0,  83.3,  16.7,   0.0,"       $1,215,099,780.00","          53,415.9","              $22,747.90","       $1,473,857,399.82","          67,288.3","              $21,903.62",        96,38.5,40.6,0.0,2.1,18.8,0.0,     182,44.0,24.2,74.0,22.0,29.7,18.2,31.8,50.0,0.0,50.0,0.0,0.0,74.0,0.0,0.0,,,,,,,,,,,,,,,4.0,,,         178,           9,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requiring assistance or intervention,In need of focused/targeted support,,
Boston: Boston Community Leadership Academy,00350558,Public School,Hyde Park,MA,02136,"07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     120,     131,     116,     107,       0,     474,     304,64.1,     123,25.9,     100,21.1,     373,78.7,     286,60.3,34.8,5.3,52.7,5.1,0.4,0.0,1.7,51.9,48.1,     160,18.2,        470,38.6,88.9,  12.3 to 1,85.3,94.8,"    $434,326,612"," $101,811","  4,266.0",44.0,34.0,77.3,  23.5,  76.5,   0.0,   0.0,"       $1,215,099,780.00","          53,415.9","              $22,747.90","       $1,473,857,399.82","          67,288.3","              $21,903.62",       117,75.2,18.8,0.0,0.0,6.0,0.0,     474,11.0,2.3,93.0,69.0,74.2,1.4,31.9,31.9,34.8,31.9,8.7,24.6,93.0,5.0,5.4,      98,     137,63.0,31.0,4.0,0.0,0.0,63.0,42.0,19.0,7.0,6.0,76.6,23.4,116.0,463.0,476.0,         217,         108,49.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Partially meeting targets,24.0,66.0
Boston: Boston International High School & Newcomers Academy,00350507,Public School,Dorchester,MA,02124,"09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     135,      90,      67,      74,       0,     366,     366,100.0,     338,92.3,      22,6.0,     366,100.0,     242,66.1,43.4,4.1,48.4,2.5,0.0,0.8,0.8,55.5,44.5,     321,14.6,        485,49.5,95.7,   7.4 to 1,78.2,90.8,"    $434,326,612"," $101,811","  4,266.0",53.0,48.0,90.6,   6.3,  93.8,   0.0,   0.0,"       $1,215,099,780.00","          53,415.9","              $22,747.90","       $1,473,857,399.82","          67,288.3","              $21,903.62",        83,53.0,31.3,0.0,0.0,15.7,0.0,     366,23.0,6.3,73.0,43.0,58.9,0.0,30.2,37.2,32.6,37.2,9.3,23.3,73.0,1.0,1.4,      38,      52,25.0,12.0,1.0,0.0,0.0,27.0,12.0,7.0,4.0,2.0,75.0,25.0,56.0,403.0,454.0,         168,          64,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requiring assistance or intervention,In need of focused/targeted support,,54.0
Boston: Boston Latin Academy,00350545,Public School,Dorchester,MA,02121,"07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     300,     257,     372,     285,     285,     282,       0,"   1,781",     747,41.9,      17,1.0,      64,3.6,     707,39.7,     607,34.1,21.8,21.8,23.5,29.4,0.3,0.2,3.1,42.2,57.7,     472,25.8,"      1,761",87.9,96.7,  20.3 to 1,89.4,96.5,"    $434,326,612"," $101,811","  4,266.0",98.0,89.0,90.8,  27.0,  71.9,   1.1,   0.0,"       $1,215,099,780.00","          53,415.9","              $22,747.90","       $1,473,857,399.82","          67,288.3","              $21,903.62",       284,96.5,1.4,0.0,1.1,1.1,0.0,"   1,224",4.0,0.3,280.0,253.0,90.4,0.0,43.9,11.1,45.1,10.7,7.1,35.6,280.0,71.0,25.4,     519,     784,309.0,159.0,47.0,4.0,0.0,186.0,275.0,213.0,86.0,24.0,58.8,41.2,446.0,570.0,598.0,         555,         532,95.9,         355,66.0,          50,9.0,         305,56.0,         174,32.0,          12,2.0,         541,506.9,42.7,         496,71.0,         382,70.0,          18,3.0,         364,67.0,         154,28.0,           7,1.0,         543,506.4,36.6,         498,78.0,Not requiring assistance or intervention,Partially meeting targets,80.0,65.0
Boston: Boston Latin School,00350560,Public School,Boston,MA,02115,"07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     417,     380,     443,     411,     390,     412,       0,"   2,453",     764,31.1,       2,0.1,      49,2.0,     534,21.8,     411,16.8,7.9,29.1,12.7,45.9,0.1,0.2,4.0,44.6,55.4,     796,26.0,"      2,439",117.2,100.0,  20.9 to 1,92.8,91.5,"    $434,326,612"," $101,811","  4,266.0",141.0,138.0,97.9,  44.9,  54.3,   0.7,   0.0,"       $1,215,099,780.00","          53,415.9","              $22,747.90","       $1,473,857,399.82","          67,288.3","              $21,903.62",       410,97.6,1.7,0.0,0.5,0.2,0.0,"   1,656",1.0,0.1,407.0,374.0,91.9,0.0,61.8,1.1,37.2,0.5,2.9,30.2,407.0,288.0,70.8,"   1,095","   2,327",444.0,269.0,233.0,100.0,49.0,76.0,296.0,609.0,735.0,611.0,16.0,84.0,603.0,657.0,678.0,         798,         769,96.4,         711,92.0,         175,23.0,         536,69.0,          61,8.0,           1,0.0,         773,518.9,52.7,         667,98.0,         716,91.0,         139,18.0,         577,74.0,          67,9.0,           0,0.0,         783,517.9,38.8,         676,99.0,Not requiring assistance or intervention,Meeting targets,97.0,90.0
Boston: Boston Teachers Union K-8 Pilot,00350012,Public School,Jamaica Plain,MA,02130,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,      20,      21,      24,      19,      26,      31,      31,      46,      30,      39,       0,       0,       0,       0,       0,     287,      69,24.0,      43,15.0,      70,24.4,     162,56.4,     117,40.8,25.4,1.7,37.6,31.4,0.0,0.0,3.8,55.1,44.9,     124,18.8,        295,22.2,93.4,  12.9 to 1,93.2,100.0,"    $434,326,612"," $101,811","  4,266.0",24.0,22.0,91.7,  27.3,  72.7,   0.0,   0.0,"       $1,215,099,780.00","          53,415.9","              $22,747.90","       $1,473,857,399.82","          67,288.3","              $21,903.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          76,39.0,          15,8.0,          61,31.0,          78,40.0,          43,22.0,         197,496.2,47.0,         148,29.0,          81,41.0,          12,6.0,          69,35.0,          77,39.0,          39,20.0,         197,497.1,59.4,         149,42.0,Not requiring assistance or intervention,Partially meeting targets,28.0,50.0
Boston: Bradley Elementary School,00350215,Public School,East Boston,MA,02128,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      35,      41,      35,      42,      44,      62,      36,       0,       0,       0,       0,       0,       0,       0,       0,     295,     172,58.3,     105,35.6,      51,17.3,     230,78.0,     159,53.9,4.1,6.4,52.2,34.6,0.0,0.0,2.7,53.2,46.8,     107,19.1,        288,21.8,95.6,  13.5 to 1,85.0,100.0,"    $434,326,612"," $101,811","  4,266.0",26.0,26.0,100.0,  23.1,  76.9,   0.0,   0.0,"       $1,215,099,780.00","          53,415.9","              $22,747.90","       $1,473,857,399.82","          67,288.3","              $21,903.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          78,59.0,          10,8.0,          68,52.0,          52,39.0,           2,2.0,         132,505.3,52.5,          91,65.0,          74,56.0,          12,9.0,          62,47.0,          56,42.0,           2,2.0,         132,504.1,49.4,          91,69.0,Not requiring assistance or intervention,Partially meeting targets,49.0,74.0
Boston: Brighton High School,00350505,Public School,Brighton,MA,02135,"07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     132,     141,     204,     205,       0,     682,     412,60.4,     296,43.4,     146,21.4,     602,88.3,     476,69.8,42.2,4.0,47.7,4.4,0.7,0.1,0.9,61.4,38.6,     207,17.7,        665,57.2,93.0,  11.9 to 1,59.5,75.3,"    $434,326,612"," $101,811","  4,266.0",67.0,57.0,85.1,  42.1,  54.4,   3.5,   0.0,"       $1,215,099,780.00","          53,415.9","              $22,747.90","       $1,473,857,399.82","          67,288.3","              $21,903.62",       221,58.8,12.7,0.5,0.5,27.6,0.0,     682,53.0,7.8,142.0,77.0,54.2,1.3,20.8,57.1,20.8,57.1,10.4,9.1,142.0,5.0,3.5,      75,     118,45.0,20.0,7.0,3.0,0.0,82.0,21.0,7.0,7.0,1.0,87.3,12.7,163.0,412.0,426.0,         390,         104,26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requiring assistance or intervention,In need of broad/comprehensive support,2.0,74.0
