School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading / Writing,SAT Math,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,M+E # ELA,M+E % ELA,E # ELA,E % ELA,M # ELA,M % ELA,PM # ELA,PM % ELA,NM # ELA,NM % ELA,No. of Students Included ELA,Avg. Scaled Score ELA,SGP ELA,Included In SGP ELA,Ach. PCTL ELA,M+E # MATH,M+E % MATH,E # MATH,E % MATH,M # MATH,M % MATH,PM # MATH,PM % MATH,NM # MATH,NM % MATH,No. of Students Included MATH,Avg. Scaled Score MATH,SGP MATH,Included In SGP MATH,Ach. PCTL MATH,Overall Classification,Reason for Classification,Accountability Percentile (1-99),Cumulative Progress Toward Improvement Targets (%)
Boston: Adams Elementary School,00350302,Public School,East Boston,MA,02128,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      44,      30,      41,      37,      45,      43,      18,       0,       0,       0,       0,       0,       0,       0,       0,     258,     208,  80.6,     180,  69.8,      54,  20.9, , ,     235,  91.1,     137,  53.1,3.5,2.7,73.6,18.6,0.4,0.0,1.2,52.7,47.3,     163,12.3,        258,26.9,100.0,9.6,92.6,92.6,44.4,"    $451,170,740"," $104,525","  4,316.4",29.0,28.0,96.6,  10.7,  85.7,   3.6,   0.0,"       $1,260,411,345.13","          52,211.4","              $24,140.54","       $1,528,412,495.35","          66,445.7","              $23,002.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          34,34.0,           8,8.0,          26,26.0,          50,51.0,          15,15.0,          99,497.2,52.8,          52,30.0,          35,35.0,           2,2.0,          33,33.0,          40,40.0,          24,24.0,          99,491.7,49.0,          52,22.0,Not requiring assistance or intervention,Substantial progress toward targets,23.0,68.0
Boston: Alighieri Dante Montessori School,00350066,Public School,East Boston,MA,02128,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      26,      15,      14,      13,      10,      12,       3,       4,       0,       0,       0,       0,       0,       0,       0,      97,      57,  58.8,      52,  53.6,      13,  13.4, , ,      63,  64.9,      25,  25.8,2.1,2.1,59.8,32.0,0.0,0.0,4.1,43.3,56.7,      95,7.2,         97,10.9,100.0,8.9,81.5,90.5,92.3,"    $451,170,740"," $104,525","  4,316.4",14.0,14.0,100.0,  21.4,  78.6,   0.0,   0.0,"       $1,260,411,345.13","          52,211.4","              $24,140.54","       $1,528,412,495.35","          66,445.7","              $23,002.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          11,39.0,           2,7.0,           9,32.0,          15,54.0,           2,7.0,          28,496.4,,          17,28.0,          11,39.0,           1,4.0,          10,36.0,          12,43.0,           5,18.0,          28,491.9,,          17,22.0,Not requiring assistance or intervention,Substantial progress toward targets,,67.0
Boston: Another Course To College,00350541,Public School,Hyde Park,MA,02136,"09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      62,      53,      52,      57,       0,     224,      91,  40.6,      30,  13.4,      45,  20.1, , ,     158,  70.5,     128,  57.1,46.0,1.8,42.0,8.5,0.0,0.0,1.8,50.9,49.1,     111,15.0,        226,20.0,77.2,11.2,62.4,91.4,77.3,"    $451,170,740"," $104,525","  4,316.4",24.0,10.0,41.7,  50.0,  40.0,  10.0,   0.0,"       $1,260,411,345.13","          52,211.4","              $24,140.54","       $1,528,412,495.35","          66,445.7","              $23,002.43",        60,78.3,5.0,0.0,0.0,16.7,0.0,     224,11.0,4.9,49.0,38.0,77.6,2.0,20.4,30.6,24.5,30.6,2.0,22.4,44.9,49.0,1.0,2.0,      42,      61,27.0,11.0,4.0,0.0,0.0,44.0,3.0,10.0,4.0,0.0,77.0,23.0,73.0,435.0,436.0,         103,          58,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Moderate progress toward targets,16.0,46.0
Boston: Baldwin Early Learning Pilot Academy,00350003,Public School,Brighton,MA,02135,"PK,K,01",Boston,00350000,Public School District,      82,      42,      35,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     159,     100,  62.9,      93,  58.5,      31,  19.5, , ,     125,  78.6,      48,  30.2,10.1,25.2,29.6,28.9,0.6,0.0,5.7,58.5,41.5,      69,12.5,        153,11.4,88.2,14.0,83.8,100.0,26.9,"    $451,170,740"," $104,525","  4,316.4",28.0,17.0,60.7,-,-,-,-,"       $1,260,411,345.13","          52,211.4","              $24,140.54","       $1,528,412,495.35","          66,445.7","              $23,002.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,Insufficient data,,
Boston: Bates Elementary School,00350278,Public School,Roslindale,MA,02131,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      19,      37,      39,      40,      34,      40,      42,       0,       0,       0,       0,       0,       0,       0,       0,     251,      83,  33.1,      76,  30.3,      72,  28.7, , ,     173,  68.9,     125,  49.8,30.3,4.8,36.3,24.3,0.4,0.0,4.0,48.2,51.8,     109,18.1,        253,22.6,100.0,11.1,87.4,91.2,100.0,"    $451,170,740"," $104,525","  4,316.4",30.0,29.0,96.7,  13.8,  82.8,   3.4,   0.0,"       $1,260,411,345.13","          52,211.4","              $24,140.54","       $1,528,412,495.35","          66,445.7","              $23,002.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          31,28.0,           6,5.0,          25,23.0,          64,58.0,          15,14.0,         110,493.5,46.1,          78,20.0,          38,35.0,           1,1.0,          37,34.0,          57,52.0,          15,14.0,         110,492.6,50.9,          78,24.0,Not requiring assistance or intervention,Substantial progress toward targets,19.0,53.0
Boston: Beethoven Elementary School,00350021,Public School,West Roxbury,MA,02132,"PK,K,01,02",Boston,00350000,Public School District,      44,      82,      87,      94,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     307,     107,  34.9,      94,  30.6,      45,  14.7, , ,     175,  57.0,     105,  34.2,26.7,3.6,26.4,39.4,0.0,0.0,3.9,45.6,54.4,     143,18.5,        331,25.7,95.1,12.0,83.4,98.4,53.6,"    $451,170,740"," $104,525","  4,316.4",31.0,29.0,93.5,-,-,-,-,"       $1,260,411,345.13","          52,211.4","              $24,140.54","       $1,528,412,495.35","          66,445.7","              $23,002.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,Insufficient data,,
Boston: Blackstone Elementary School,00350390,Public School,Boston,MA,02118,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      79,      74,      80,      82,      77,      74,      85,       0,       0,       0,       0,       0,       0,       0,       0,     551,     298,  54.1,     266,  48.3,     136,  24.7, , ,     494,  89.7,     397,  72.1,24.9,2.2,64.4,5.6,0.4,0.0,2.5,53.0,47.0,     291,16.4,        593,46.0,95.7,12.0,62.8,90.1,91.7,"    $451,170,740"," $104,525","  4,316.4",53.0,47.0,88.7,   8.5,  89.4,   2.1,   0.0,"       $1,260,411,345.13","          52,211.4","              $24,140.54","       $1,528,412,495.35","          66,445.7","              $23,002.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          42,20.0,           1,0.0,          41,19.0,         111,53.0,          58,27.0,         211,483.3,34.7,         127,5.0,          40,19.0,           2,1.0,          38,18.0,         108,51.0,          65,31.0,         213,482.6,46.7,         129,7.0,Requiring assistance or intervention,In need of focused/targeted support,4.0,62.0
Boston: Boston Adult Tech Academy,00350548,Public School,Back Bay,MA,02116,"11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     105,      39,       0,     144,     130,  90.3,     122,  84.7,      10,   6.9, , ,     139,  96.5,      77,  53.5,44.4,4.2,47.9,1.4,0.0,0.0,2.1,50.7,49.3,      76,13.7,        214,21.5,82.3,6.7,77.6,90.6,44.0,"    $451,170,740"," $104,525","  4,316.4",28.0,23.0,82.1,  26.1,  73.9,   0.0,   0.0,"       $1,260,411,345.13","          52,211.4","              $24,140.54","       $1,528,412,495.35","          66,445.7","              $23,002.43",        98,60.2,17.3,11.2,0.0,11.2,0.0,     144,15.0,10.4,102.0,28.0,27.5,0.0,4.9,21.6,1.0,20.6,0.0,1.0,5.9,102.0,0.0,0.0,,,,,,,,,,,,,,,4.0,,,         179,           0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,Insufficient data,,
Boston: Boston Arts Academy,00350546,Public School,Boston,MA,02215,"09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     114,     116,     122,     117,       0,     469,     156,  33.3,      31,   6.6,      72,  15.4, , ,     286,  61.0,     228,  48.6,42.0,3.6,38.4,11.1,0.4,0.2,4.3,32.8,67.2,     204,14.5,        447,45.2,90.7,10.4,72.3,85.5,53.1,"    $451,170,740"," $104,525","  4,316.4",52.0,49.0,94.2,  26.5,  71.4,   2.0,   0.0,"       $1,260,411,345.13","          52,211.4","              $24,140.54","       $1,528,412,495.35","          66,445.7","              $23,002.43",       113,83.2,10.6,0.0,2.7,3.5,0.0,     469,1.0,0.2,99.0,75.0,75.8,0.0,30.3,23.2,22.2,22.2,11.1,9.1,52.5,99.0,0.0,0.0,      16,      16,16.0,0.0,0.0,0.0,0.0,6.0,6.0,4.0,0.0,0.0,75.0,25.0,166.0,474.0,468.0,         224,         123,54.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Moderate progress toward targets,18.0,45.0
Boston: Boston Collaborative High School,00350755,Public School,South Boston,MA,02127,"09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       2,      18,      48,      91,       1,     160,      67,  41.9,      42,  26.3,      29,  18.1, , ,     125,  78.1,     107,  66.9,40.0,3.1,42.5,11.9,0.6,0.0,1.9,46.3,53.8,      67,11.0,        233,9.0,100.0,17.8,76.5,100.0,60.0,"    $451,170,740"," $104,525","  4,316.4",13.0,9.0,69.2,  11.1,  55.6,  33.3,   0.0,"       $1,260,411,345.13","          52,211.4","              $24,140.54","       $1,528,412,495.35","          66,445.7","              $23,002.43",       103,20.4,43.7,0.0,1.0,35.0,0.0,     159,40.0,25.2,49.0,16.0,32.7,0.0,16.3,16.3,0.0,16.3,0.0,0.0,16.3,49.0,0.0,0.0,,,,,,,,,,,,,,,4.0,,,         173,          24,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requiring assistance or intervention,In need of focused/targeted support,,
Boston: Boston Community Leadership Academy,00350558,Public School,Hyde Park,MA,02136,"07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     132,     115,     114,     111,      15,     487,     312,  64.1,     150,  30.8,     105,  21.6, , ,     392,  80.5,     297,  61.0,36.1,3.7,54.6,3.9,0.0,0.0,1.6,53.0,47.0,     160,17.4,        466,44.3,87.5,11.0,80.0,91.0,77.8,"    $451,170,740"," $104,525","  4,316.4",48.0,38.0,79.2,  18.4,  78.9,   2.6,   0.0,"       $1,260,411,345.13","          52,211.4","              $24,140.54","       $1,528,412,495.35","          66,445.7","              $23,002.43",       115,72.2,20.0,0.0,0.0,7.8,0.0,     472,14.0,3.0,97.0,72.0,74.2,0.0,17.5,30.9,25.8,30.9,9.3,15.5,43.3,97.0,4.0,4.1,      72,      96,50.0,20.0,2.0,0.0,0.0,44.0,29.0,13.0,8.0,2.0,76.0,24.0,170.0,442.0,451.0,         222,         169,76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Moderate progress toward targets,11.0,30.0
Boston: Boston International High School & Newcomers Academy,00350507,Public School,Dorchester,MA,02124,"09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     133,      94,      69,      73,       0,     369,     369, 100.0,     352,  95.4,      19,   5.1, , ,     369, 100.0,     220,  59.6,37.4,5.7,53.9,2.2,0.0,0.3,0.5,51.8,48.2,     240,13.2,        433,50.3,97.0,7.3,84.6,88.4,64.8,"    $451,170,740"," $104,525","  4,316.4",56.0,35.0,62.5,   8.6,  91.4,   0.0,   0.0,"       $1,260,411,345.13","          52,211.4","              $24,140.54","       $1,528,412,495.35","          66,445.7","              $23,002.43",       112,44.6,33.9,3.6,0.9,17.0,0.0,     369,10.0,2.7,65.0,31.0,47.7,0.0,16.9,16.9,13.8,16.9,4.6,9.2,30.7,65.0,1.0,1.5,      22,      40,9.0,9.0,3.0,1.0,0.0,20.0,12.0,4.0,2.0,2.0,80.0,20.0,69.0,400.0,442.0,         140,          48,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requiring assistance or intervention,In need of focused/targeted support,,26.0
Boston: Boston Latin Academy,00350545,Public School,Dorchester,MA,02121,"07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     283,     298,     298,     362,     260,     266,       0,"   1,767",     735,  41.6,       2,   0.1,      68,   3.8, , ,     751,  42.5,     579,  32.8,20.9,21.0,25.5,29.1,0.2,0.1,3.2,40.8,59.1,     451,24.9,"      1,737",91.2,98.8,19.4,89.8,95.6,92.6,"    $451,170,740"," $104,525","  4,316.4",107.0,87.0,81.3,  31.0,  69.0,   0.0,   0.0,"       $1,260,411,345.13","          52,211.4","              $24,140.54","       $1,528,412,495.35","          66,445.7","              $23,002.43",       263,97.7,1.5,0.0,0.0,0.8,0.0,"   1,186",4.0,0.3,262.0,236.0,90.1,0.0,37.4,9.2,43.5,9.2,6.1,35.1,80.9,262.0,131.0,50.0,     461,     675,294.0,124.0,39.0,4.0,0.0,94.0,183.0,236.0,118.0,44.0,41.0,59.0,407.0,578.0,601.0,         520,         502,96.5,         392,69.0,          62,11.0,         330,58.0,         167,30.0,           6,1.0,         565,508.8,41.9,         507,75.0,         414,73.0,          24,4.0,         390,69.0,         150,27.0,           1,0.0,         565,508.3,41.8,         506,81.0,Not requiring assistance or intervention,Meeting or exceeding targets,84.0,77.0
Boston: Boston Latin School,00350560,Public School,Boston,MA,02115,"07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,     410,     407,     407,     431,     402,     383,       0,"   2,440",     746,  30.6,      10,   0.4,      50,   2.0, , ,     590,  24.2,     409,  16.8,7.5,28.6,12.5,46.8,0.1,0.2,4.3,45.7,54.3,     773,26.5,"      2,444",120.9,100.0,20.2,93.8,94.2,92.6,"    $451,170,740"," $104,525","  4,316.4",146.0,141.0,96.6,  51.8,  46.8,   1.4,   0.0,"       $1,260,411,345.13","          52,211.4","              $24,140.54","       $1,528,412,495.35","          66,445.7","              $23,002.43",       384,97.4,1.8,0.0,0.3,0.5,0.0,"   1,623",1.0,0.1,379.0,350.0,92.3,0.0,59.9,2.9,29.6,2.4,2.4,21.9,89.5,379.0,250.0,66.0,"   1,110","   2,408",445.0,262.0,230.0,124.0,49.0,90.0,259.0,623.0,748.0,688.0,14.5,85.5,559.0,653.0,667.0,         784,         780,99.5,         686,85.0,         171,21.0,         515,64.0,         117,15.0,           1,0.0,         804,517.2,42.3,         675,95.0,         738,91.0,         193,24.0,         545,67.0,          69,9.0,           1,0.0,         808,518.9,34.3,         679,98.0,Not requiring assistance or intervention,Meeting or exceeding targets,94.0,88.0
Boston: Boston Teachers Union K-8 Pilot,00350012,Public School,Jamaica Plain,MA,02130,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,      23,      22,      22,      21,      23,      26,      36,      51,      18,      28,       0,       0,       0,       0,       0,     270,      60,  22.2,      41,  15.2,      67,  24.8, , ,     143,  53.0,      93,  34.4,25.9,0.7,33.7,34.8,0.0,0.0,4.8,51.5,48.5,     118,19.1,        286,22.2,92.9,12.2,100.0,100.0,87.0,"    $451,170,740"," $104,525","  4,316.4",25.0,16.0,64.0,  12.5,  87.5,   0.0,   0.0,"       $1,260,411,345.13","          52,211.4","              $24,140.54","       $1,528,412,495.35","          66,445.7","              $23,002.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          77,45.0,          12,7.0,          65,38.0,          72,42.0,          24,14.0,         173,499.6,46.6,         137,39.0,          90,52.0,          20,12.0,          70,40.0,          60,35.0,          23,13.0,         173,502.6,58.6,         137,62.0,Not requiring assistance or intervention,Substantial progress toward targets,35.0,72.0
Boston: Bradley Elementary School,00350215,Public School,East Boston,MA,02128,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      28,      42,      42,      42,      43,      46,      33,       0,       0,       0,       0,       0,       0,       0,       0,     276,     153,  55.4,      87,  31.5,      56,  20.3, , ,     213,  77.2,     132,  47.8,5.8,6.9,48.6,35.9,0.0,0.0,2.9,52.9,47.1,     119,18.0,        269,23.0,100.0,12.0,87.0,100.0,85.2,"    $451,170,740"," $104,525","  4,316.4",28.0,25.0,89.3,  16.0,  84.0,   0.0,   0.0,"       $1,260,411,345.13","          52,211.4","              $24,140.54","       $1,528,412,495.35","          66,445.7","              $23,002.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          82,69.0,          13,11.0,          69,58.0,          35,30.0,           1,1.0,         118,509.2,61.9,          75,76.0,          73,62.0,          14,12.0,          59,50.0,          39,33.0,           6,5.0,         118,506.6,56.6,          75,76.0,Not requiring assistance or intervention,Meeting or exceeding targets,66.0,85.0
Boston: Brighton High School,00350505,Public School,Brighton,MA,02135,"07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     117,     124,     132,     191,      22,     586,     366,  62.5,     265,  45.2,     119,  20.3, , ,     519,  88.6,     382,  65.2,40.4,4.9,47.8,4.6,0.3,0.2,1.7,63.5,36.5,     219,17.5,        607,48.8,92.6,12.0,52.6,81.6,76.9,"    $451,170,740"," $104,525","  4,316.4",64.0,58.0,90.6,  17.2,  72.4,  10.3,   0.0,"       $1,260,411,345.13","          52,211.4","              $24,140.54","       $1,528,412,495.35","          66,445.7","              $23,002.43",       225,56.4,14.2,0.0,0.0,29.3,0.0,     564,64.0,11.3,139.0,72.0,51.8,0.0,8.6,30.2,12.9,29.5,5.8,6.5,21.5,139.0,4.0,2.9,     104,     160,66.0,25.0,8.0,5.0,0.0,123.0,21.0,12.0,4.0,0.0,90.0,10.0,101.0,425.0,444.0,         329,         159,48.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requiring assistance or intervention,In need of broad/comprehensive support,2.0,43.0
Boston: Burke High School,00350525,Public School,Dorchester,MA,02121,"07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      83,      93,     107,     120,       0,     403,     203,  50.4,     143,  35.5,      52,  12.9, , ,     335,  83.1,     249,  61.8,71.2,0.5,24.3,2.2,0.0,0.5,1.2,54.3,45.7,     145,16.3,        419,34.5,81.7,11.7,60.6,74.1,60.5,"    $451,170,740"," $104,525","  4,316.4",43.0,28.0,65.1,  14.3,  82.1,   3.6,   0.0,"       $1,260,411,345.13","          52,211.4","              $24,140.54","       $1,528,412,495.35","          66,445.7","              $23,002.43",       159,78.6,5.7,0.0,1.3,14.5,0.0,     403,34.0,8.4,128.0,51.0,39.8,0.0,10.2,18.8,10.9,18.8,2.3,7.8,21.1,128.0,1.0,0.8,      37,      58,17.0,19.0,1.0,0.0,0.0,48.0,10.0,0.0,0.0,0.0,100.0,0.0,57.0,414.0,435.0,         231,         123,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not requiring assistance or intervention,Substantial progress toward targets,26.0,58.0
Boston: Carter School,00350036,Public School,Dorchester,MA,02121,"07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       3,       2,       4,       2,       2,       7,       9,      29,      15,  51.7,       8,  27.6,      29, 100.0, , ,      29, 100.0,      21,  72.4,58.6,6.9,17.2,13.8,0.0,3.4,0.0,58.6,41.4,       2,27.0,         27,0.7,0.0,43.9,0.0,100.0,0.0,"    $451,170,740"," $104,525","  4,316.4",6.0,5.0,83.3,-,-,-,-,"       $1,260,411,345.13","          52,211.4","              $24,140.54","       $1,528,412,495.35","          66,445.7","              $23,002.43",         7,0.0,100.0,0.0,0.0,0.0,0.0,      15,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           9,           0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,Insufficient data,,
Boston: Channing Elementary School,00350360,Public School,Hyde Park,MA,02136,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      30,      33,      38,      39,      26,      26,      16,       0,       0,       0,       0,       0,       0,       0,       0,     208,      69,  33.2,      58,  27.9,      22,  10.6, , ,     158,  76.0,     128,  61.5,44.7,1.9,41.8,8.7,0.0,0.5,2.4,51.9,48.1,      98,16.0,        208,19.7,92.4,10.5,63.4,75.9,75.0,"    $451,170,740"," $104,525","  4,316.4",21.0,20.0,95.2,  30.0,  65.0,   5.0,   0.0,"       $1,260,411,345.13","          52,211.4","              $24,140.54","       $1,528,412,495.35","          66,445.7","              $23,002.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          24,38.0,           1,2.0,          23,36.0,          35,55.0,           5,8.0,          64,495.3,48.7,          40,25.0,          11,17.0,           0,0.0,          11,17.0,          41,64.0,          12,19.0,          64,484.4,49.6,          39,9.0,Not requiring assistance or intervention,Substantial progress toward targets,13.0,58.0
Boston: Charlestown High School,00350515,Public School,Charlestown,MA,02129,"07,08,09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     252,     173,     203,     214,      39,     881,     543,  61.6,     375,  42.6,     231,  26.2, , ,     777,  88.2,     565,  64.1,29.6,10.8,53.7,4.5,0.1,0.0,1.2,58.1,41.8,     769,12.7,        909,80.9,95.4,10.9,79.9,86.4,76.6,"    $451,170,740"," $104,525","  4,316.4",101.0,85.0,84.2,  10.6,  87.1,   2.4,   0.0,"       $1,260,411,345.13","          52,211.4","              $24,140.54","       $1,528,412,495.35","          66,445.7","              $23,002.43",       245,58.8,25.7,0.0,0.8,14.7,0.0,     842,77.0,9.1,168.0,94.0,56.0,0.0,20.2,25.0,10.7,23.8,1.2,9.5,30.9,168.0,16.0,9.5,      73,     108,47.0,17.0,9.0,0.0,0.0,40.0,22.0,13.0,17.0,16.0,57.4,42.6,136.0,424.0,481.0,         409,         246,60.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requiring assistance or intervention,In need of focused/targeted support,8.0,49.0
Boston: Chittick Elementary School,00350154,Public School,Mattapan,MA,02126,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      44,      40,      39,      45,      39,      40,      31,       0,       0,       0,       0,       0,       0,       0,       0,     278,      84,  30.2,      79,  28.4,      93,  33.5, , ,     238,  85.6,     194,  69.8,62.2,1.4,27.0,3.6,0.0,0.0,5.8,57.6,42.4,     182,13.0,        273,23.9,100.0,11.6,87.4,78.9,81.5,"    $451,170,740"," $104,525","  4,316.4",28.0,25.0,89.3,-,-,-,-,"       $1,260,411,345.13","          52,211.4","              $24,140.54","       $1,528,412,495.35","          66,445.7","              $23,002.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          30,32.0,           2,2.0,          28,30.0,          52,56.0,          11,12.0,          93,492.1,43.8,          58,17.0,          23,24.0,           1,1.0,          22,23.0,          46,49.0,          25,27.0,          94,485.8,39.4,          58,10.0,Requiring assistance or intervention,In need of focused/targeted support,5.0,51.0
Boston: Clap Elementary School,00350298,Public School,Dorchester,MA,02125,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      15,      18,      16,      20,      29,      27,      12,       0,       0,       0,       0,       0,       0,       0,       0,     137,      55,  40.1,      49,  35.8,      37,  27.0, , ,     117,  85.4,      89,  65.0,38.7,10.9,32.1,16.1,0.0,0.0,2.2,45.3,54.7,      62,13.5,        124,13.0,100.0,10.6,53.7,76.3,43.8,"    $451,170,740"," $104,525","  4,316.4",17.0,17.0,100.0,-,-,-,-,"       $1,260,411,345.13","          52,211.4","              $24,140.54","       $1,528,412,495.35","          66,445.7","              $23,002.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          16,28.0,           3,5.0,          13,22.0,          31,53.0,          11,19.0,          58,488.9,40.8,          34,10.0,          12,21.0,           1,2.0,          11,19.0,          33,57.0,          13,22.0,          58,485.8,53.1,          35,10.0,Requiring assistance or intervention,In need of focused/targeted support,7.0,56.0
Boston: Community Academy,00350518,Public School,Jamaica Plain,MA,02130,"09,10,11,12",Boston,00350000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      11,      12,      15,       7,       0,      45,       8,  17.8,       2,   4.4,      18,  40.0, , ,      38,  84.4,      29,  64.4,62.2,0.0,26.7,6.7,0.0,0.0,4.4,60.0,40.0,      40,12.2,         72,10.2,80.4,4.4,58.4,90.2,41.7,"    $451,170,740"," $104,525","  4,316.4",12.0,7.0,58.3,-,-,-,-,"       $1,260,411,345.13","          52,211.4","              $24,140.54","       $1,528,412,495.35","          66,445.7","              $23,002.43",        42,31.0,16.7,0.0,4.8,47.6,0.0,      45,15.0,33.3,16.0,4.0,25.0,6.3,0.0,18.8,0.0,18.8,0.0,0.0,0.0,16.0,0.0,0.0,,,,,,,,,,,,,,,1.0,,,          20,           5,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insufficient data,Insufficient data,,
