School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math,School Percentile (1-99)
Christa McAuliffe Charter School (District): Christa McAuliffe Charter School,04180305,Charter School,Framingham,MA,01701,"06,07,08",Christa McAuliffe Charter School (District),04180000,Charter District,       0,       0,       0,       0,       0,       0,       0,      85,     105,      79,       0,       0,       0,       0,0.0,     269,       6,   2.2,       5,   1.9,      76,  28.3, , , , ,   5.2,   5.6,  11.2,  76.2,   0.0,   0.0,   1.9,  58.0,  42.0,     104,17.0,        269,26.5,75.2,      90,90.0,  10.2 to 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0
City on a Hill Charter Public School (District): City on a Hill Charter Public School,04370505,Charter School,Roxbury,MA,02119,"09,10,11,12",City on a Hill Charter Public School (District),04370000,Charter District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     113,      84,      56,      38,0.0,     291,      79,  27.1,      16,   5.5,      51,  17.5, , , , ,  69.8,   1.4,  26.5,   1.4,   0.0,   0.0,   1.0,  44.0,  56.0,      95,15.0,        291,21.9,72.6,     114,90.4,  13.3 to 1,,,,,,,,,,        47,66.0,19.1,0.0,0.0,12.8,2.1,     291,5.0,1.7,,,,,,,,,,,38.0,38.0,100.0,32.0,      47,17.0,15.0,0.0,0.0,0.0,40.0,7.0,0.0,0.0,0.0,100.0,0.0,40.0,394.0,458.0,56.0
Clarksburg: Clarksburg Elementary,00630010,Public School,Clarksburg,MA,01247,"PK,K,01,02,03,04,05,06,07,08",Clarksburg,00630000,Public School District,       0,      15,      18,      21,      19,      17,      23,      20,      26,      21,       0,       0,       0,       0,0.0,     180,       0,   0.0,       0,   0.0,      28,  15.6, , , , ,   0.0,   0.0,   1.7,  97.8,   0.0,   0.0,   0.6,  49.4,  50.6,      59,20.4,        180,14.2,100.0,      68,86.8,  12.7 to 1,"        $778,317","  $54,811",     14.2,"           $2,372,407.00",             180.4,"              $13,150.81","           $3,165,348.00",             246.5,"              $12,841.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0
Clinton: Clinton Elementary,00640050,Public School,Clinton,MA,01510,"PK,K,01,02,03,04",Clinton,00640000,Public School District,     104,     181,     140,     129,     162,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     716,     108,  15.1,      79,  11.0,     138,  19.3, , , , ,   3.4,   1.8,  18.3,  75.3,   0.0,   0.0,   1.3,  52.1,  47.9,     158,20.4,        716,46.9,100.0,     187,100.0,  15.3 to 1,"      $8,881,051","  $71,564",    124.1,"          $20,202,366.27","           1,924.6","              $10,496.92","          $24,957,157.29","           2,213.8","              $11,273.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton: Clinton Middle School,00640305,Public School,Clinton,MA,01510,"05,06,07,08",Clinton,00640000,Public School District,       0,       0,       0,       0,       0,     139,     139,     152,     141,     142,       0,       0,       0,       0,0.0,     713,     146,  20.5,      35,   4.9,     136,  19.1, , , , ,   4.3,   1.7,  22.4,  70.5,   0.3,   0.0,   0.7,  52.9,  47.1,     284,22.2,        713,41.9,100.0,     184,97.8,  17.0 to 1,"      $8,881,051","  $71,564",    124.1,"          $20,202,366.27","           1,924.6","              $10,496.92","          $24,957,157.29","           2,213.8","              $11,273.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0
Clinton: Clinton Senior High,00640505,Public School,Clinton,MA,01510,"PK,09,10,11,12",Clinton,00640000,Public School District,      30,       0,       0,       0,       0,       0,       0,       0,       0,       0,     108,     112,     132,     106,4.0,     492,     104,  21.1,      25,   5.1,      83,  16.9, , , , ,   4.7,   1.0,  23.2,  71.1,   0.0,   0.0,   0.0,  53.5,  46.5,     251,12.2,        491,35.3,100.0,     228,100.0,  14.0 to 1,"      $8,881,051","  $71,564",    124.1,"          $20,202,366.27","           1,924.6","              $10,496.92","          $24,957,157.29","           2,213.8","              $11,273.45",       118,80.5,3.4,1.7,7.6,6.8,0.0,     458,8.0,1.7,,,,,,,,,,,100.0,59.0,59.0,40.0,      62,27.0,7.0,4.0,1.0,1.0,19.0,16.0,14.0,10.0,3.0,56.5,43.5,74.0,483.0,502.0,41.0
Codman Academy Charter Public (District): Codman Academy Charter Public School,04380505,Charter School,Dorchester,MA,02124,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",Codman Academy Charter Public (District),04380000,Charter District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      50,      43,      33,      23,0.0,     149,      33,  22.1,       3,   2.0,      34,  22.8, , , , ,  84.6,   1.3,  11.4,   2.0,   0.7,   0.0,   0.0,  44.3,  55.7,      53,16.2,        149,15.3,77.7,      33,81.8,   9.8 to 1,,,,,,,,,,        24,62.5,20.8,0.0,0.0,8.3,8.3,     149,5.0,3.4,,,,,,,,,,,21.0,21.0,100.0,,,,,,,,,,,,,,,22.0,391.0,432.0,46.0
Cohasset: Cohasset High School,00650505,Public School,Cohasset,MA,02025,"09,10,11,12",Cohasset,00650000,Public School District,       0,       0,       0,       0,       0,       0,       0,     110,     116,     121,      84,      98,      87,      95,0.0,     711,       0,   0.0,       0,   0.0,      87,  12.2, , , , ,   4.8,   0.6,   0.7,  94.0,   0.0,   0.0,   0.0,  50.2,  49.8,     286,19.4,        711,58.6,100.0,     328,97.6,  12.1 to 1,"      $8,097,305","  $72,168",    112.2,"          $19,368,396.75","           1,534.3","              $12,623.60","          $21,070,977.73","           1,558.1","              $13,523.51",        94,100.0,0.0,0.0,0.0,0.0,0.0,     364,0.0,0.0,,,,,,,,,,,95.0,95.0,100.0,127.0,     224,61.0,36.0,29.0,1.0,0.0,9.0,29.0,64.0,54.0,68.0,17.0,83.0,93.0,555.0,563.0,96.0
Cohasset: Cohasset Middle School,00650305,Public School,Cohasset,MA,02025,"06,07,08",Cohasset,00650000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $8,097,305","  $72,168",    112.2,"          $19,368,396.75","           1,534.3","              $12,623.60","          $21,070,977.73","           1,558.1","              $13,523.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cohasset: Deer Hill,00650005,Public School,Cohasset,MA,02025,"03,04,05",Cohasset,00650000,Public School District,       0,       0,       0,       0,     144,     126,     144,       0,       0,       0,       0,       0,       0,       0,0.0,     414,       1,   0.2,       1,   0.2,      48,  11.6, , , , ,   2.9,   2.9,   1.7,  92.5,   0.0,   0.0,   0.0,  49.0,  51.0,     216,22.3,        414,27.5,100.0,     124,100.0,  15.0 to 1,"      $8,097,305","  $72,168",    112.2,"          $19,368,396.75","           1,534.3","              $12,623.60","          $21,070,977.73","           1,558.1","              $13,523.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0
Cohasset: Joseph Osgood,00650010,Public School,Cohasset,MA,02025,"PK,K,01,02",Cohasset,00650000,Public School District,      39,     103,     127,     136,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     405,       0,   0.0,       0,   0.0,      45,  11.1, , , , ,   1.2,   1.0,   0.5,  96.3,   0.2,   0.0,   0.7,  54.8,  45.2,     199,20.3,        405,26.1,100.0,     114,100.0,  15.5 to 1,"      $8,097,305","  $72,168",    112.2,"          $19,368,396.75","           1,534.3","              $12,623.60","          $21,070,977.73","           1,558.1","              $13,523.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collegiate Charter School of Lowell (District): Collegiate Charter School of Lowell,35030205,Charter School,Lowell,MA,01851,"K,01,02,03,04,05,06,07,08,09,10,11,12",Collegiate Charter School of Lowell (District),35030000,Charter District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Community Charter School of Cambridge (District): Community Charter School of Cambridge,04360305,Charter School,Cambridge,MA,02141,"06,07,08,09,10,11,12",Community Charter School of Cambridge (District),04360000,Charter District,       0,       0,       0,       0,       0,       0,       0,       0,      72,      70,      78,      47,      37,      26,0.0,     330,      89,  27.0,      10,   3.0,      57,  17.3, , , , ,  67.0,   3.0,  23.6,   1.8,   1.5,   0.0,   3.0,  43.6,  56.4,     289,15.9,        330,31.2,73.8,     242,100.0,  10.6 to 1,,,,,,,,,,        21,85.7,14.3,0.0,0.0,0.0,0.0,     188,1.0,0.5,,,,,,,,,,,23.0,23.0,100.0,24.0,      28,20.0,4.0,0.0,0.0,0.0,0.0,16.0,9.0,2.0,1.0,57.1,42.9,25.0,428.0,464.0,51.0
Community Day Charter Public School (District): Community Day Charter Public School,04400205,Charter School,Lawrence,MA,01841,"PK,K,01,02,03,04,05,06,07,08",Community Day Charter Public School (District),04400000,Charter District,       0,      80,      22,      24,      49,      46,      47,      22,      21,      20,       0,       0,       0,       0,0.0,     331,     272,  82.2,     118,  35.6,      46,  13.9, , , , ,   1.8,   1.2,  89.4,   7.6,   0.0,   0.0,   0.0,  47.7,  52.3,      90,20.8,        331,38.1,67.5,      90,100.0,   8.7 to 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0
Concord: Alcott,00670005,Public School,Concord,MA,01742,"PK,K,01,02,03,04,05",Concord,00670000,Public School District,       3,      53,      62,      73,      83,      79,      63,       0,       0,       0,       0,       0,       0,       0,0.0,     416,      21,   5.0,       7,   1.7,      73,  17.5, , , , ,   6.5,   5.5,   5.3,  76.7,   0.5,   0.0,   5.5,  44.7,  55.3,     113,18.8,        424,33.9,100.0,     161,100.0,  12.3 to 1,"     $13,182,258","  $84,883",    155.3,"          $31,391,086.76","           1,986.0","              $15,806.19","          $34,361,874.39","           2,034.1","              $16,892.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0
Concord: Concord Middle,00670305,Public School,Concord,MA,01742,"06,07,08",Concord,00670000,Public School District,       0,       0,       0,       0,       0,       0,       0,     218,     209,     205,       0,       0,       0,       0,0.0,     632,      23,   3.6,       6,   0.9,     114,  18.0, , , , ,   4.0,   7.0,   3.3,  83.5,   0.2,   0.0,   2.1,  46.4,  53.6,     424,16.1,        632,52.3,100.0,     276,100.0,  12.1 to 1,"     $13,182,258","  $84,883",    155.3,"          $31,391,086.76","           1,986.0","              $15,806.19","          $34,361,874.39","           2,034.1","              $16,892.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0
Concord: Thoreau,00670020,Public School,Concord,MA,01742,"PK,K,01,02,03,04,05",Concord,00670000,Public School District,      32,      72,      75,      76,      86,      55,      85,       0,       0,       0,       0,       0,       0,       0,0.0,     481,      29,   6.0,      12,   2.5,      81,  16.8, , , , ,   4.6,   7.3,   4.6,  76.9,   0.0,   0.0,   6.7,  53.4,  46.6,     126,18.3,        458,33.8,100.0,     172,100.0,  14.2 to 1,"     $13,182,258","  $84,883",    155.3,"          $31,391,086.76","           1,986.0","              $15,806.19","          $34,361,874.39","           2,034.1","              $16,892.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0
Concord: Willard,00670030,Public School,Concord,MA,01742,"PK,K,01,02,03,04,05",Concord,00670000,Public School District,       1,      74,      94,      87,      64,      67,      75,       0,       0,       0,       0,       0,       0,       0,0.0,     462,      14,   3.0,       4,   0.9,      58,  12.6, , , , ,   4.8,   3.5,   5.0,  83.5,   0.2,   0.0,   3.0,  46.3,  53.7,     132,18.0,        477,35.4,100.0,     181,100.0,  13.1 to 1,"     $13,182,258","  $84,883",    155.3,"          $31,391,086.76","           1,986.0","              $15,806.19","          $34,361,874.39","           2,034.1","              $16,892.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0
Concord-Carlisle: Concord Carlisle High,06400505,Public School,Concord,MA,01742,"09,10,11,12",Concord-Carlisle,06400000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     294,     300,     306,     309,0.0,"   1,209",      58,   4.8,       1,   0.1,     178,  14.7, , , , ,   5.8,   7.7,   3.8,  80.8,   0.2,   0.0,   1.7,  47.1,  52.9,     405,19.5,"      1,209",86.4,100.0,     392,99.7,  14.0 to 1,"      $8,096,690","  $93,712",     86.4,"          $21,940,021.39","           1,202.2","              $18,249.89","          $25,503,942.08","           1,242.6","              $20,524.66",       309,95.1,2.6,0.3,0.6,1.3,0.0,"   1,209",3.0,0.2,,,,,,,,,,,296.0,296.0,100.0,156.0,     220,101.0,47.0,7.0,1.0,0.0,1.0,7.0,24.0,54.0,134.0,3.6,96.4,289.0,587.0,601.0,87.0
Conservatory Lab Charter (District): Conservatory Lab Charter School,04390050,Charter School,Dorchester,MA,02125,"PK,K,01,02,03,04,05,06,07,08",Conservatory Lab Charter (District),04390000,Charter District,      23,      26,      26,      25,      21,      23,      15,      12,       0,       0,       0,       0,       0,       0,0.0,     171,      58,  33.9,      36,  21.1,      16,   9.4, , , , ,  37.4,   7.6,  26.3,  24.6,   0.0,   0.0,   4.1,  54.4,  45.6,       9,19.0,        171,9.0,77.8,      45,88.9,  19.0 to 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0
Conway: Conway Grammar,00680005,Public School,Conway,MA,01341,"PK,K,01,02,03,04,05,06",Conway,00680000,Public School District,      20,      16,      24,      23,      24,      23,      28,      23,       0,       0,       0,       0,       0,       0,0.0,     181,       0,   0.0,       0,   0.0,      33,  18.2, , , , ,   0.0,   0.0,   1.7,  97.2,   0.0,   0.0,   1.1,  54.1,  45.9,      40,17.6,        181,11.5,100.0,      63,100.0,  15.7 to 1,"        $758,863","  $65,988",     11.5,"           $2,330,167.00",             181.6,"              $12,831.32","           $2,538,365.00",             200.0,"              $12,691.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0
Danvers: Danvers High,00710505,Public School,Danvers,MA,01923,"09,10,11,12",Danvers,00710000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     281,     240,     262,     234,4.0,"   1,021",      24,   2.4,       5,   0.5,     171,  16.7, , , , ,   1.3,   1.5,   4.8,  90.5,   0.2,   0.0,   1.8,  47.3,  52.7,     370,17.6,"      1,009",72.5,98.6,     358,98.9,  14.1 to 1,"     $18,844,656","  $72,872",    258.6,"          $42,793,372.86","           3,602.4","              $11,879.13","          $48,126,895.87","           3,724.2","              $12,922.75",       231,91.3,3.0,0.0,2.2,3.5,0.0,"   1,017",11.0,1.1,,,,,,,,,,,214.0,214.0,100.0,222.0,     397,103.0,75.0,32.0,12.0,0.0,41.0,97.0,132.0,78.0,49.0,34.8,65.2,193.0,507.0,528.0,63.0
Danvers: Great Oak,00710015,Public School,Danvers,MA,01923,"K,01,02,03,04,05",Danvers,00710000,Public School District,       0,      50,      62,      71,      64,      60,      63,       0,       0,       0,       0,       0,       0,       0,0.0,     370,       9,   2.4,       6,   1.6,      38,  10.3, , , , ,   1.4,   1.6,   7.3,  88.6,   0.0,   0.0,   1.1,  46.2,  53.8,      74,20.7,        369,26.9,96.3,     128,100.0,  13.8 to 1,"     $18,844,656","  $72,872",    258.6,"          $42,793,372.86","           3,602.4","              $11,879.13","          $48,126,895.87","           3,724.2","              $12,922.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0
Danvers: Highlands,00710010,Public School,Danvers,MA,01923,"K,01,02,03,04,05",Danvers,00710000,Public School District,       0,      58,      81,      52,      78,      73,      67,       0,       0,       0,       0,       0,       0,       0,0.0,     409,       9,   2.2,       8,   2.0,      45,  11.0, , , , ,   1.0,   3.7,   5.4,  86.3,   0.2,   0.0,   3.4,  50.1,  49.9,      82,20.8,        409,27.0,99.1,     135,100.0,  15.1 to 1,"     $18,844,656","  $72,872",    258.6,"          $42,793,372.86","           3,602.4","              $11,879.13","          $48,126,895.87","           3,724.2","              $12,922.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0
Danvers: Holten Richmond Middle School,00710305,Public School,Danvers,MA,01923,"06,07,08",Danvers,00710000,Public School District,       0,       0,       0,       0,       0,       0,       0,     287,     310,     293,       0,       0,       0,       0,0.0,     890,      21,   2.4,       4,   0.4,     174,  19.6, , , , ,   1.9,   1.8,   4.4,  90.1,   0.2,   0.0,   1.6,  50.8,  49.2,     385,20.5,        890,65.5,96.6,     364,96.4,  13.6 to 1,"     $18,844,656","  $72,872",    258.6,"          $42,793,372.86","           3,602.4","              $11,879.13","          $48,126,895.87","           3,724.2","              $12,922.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0
Danvers: Ivan G Smith,00710032,Public School,Danvers,MA,01923,"K,01,02,03,04,05",Danvers,00710000,Public School District,       0,      52,      42,      41,      47,      48,      47,       0,       0,       0,       0,       0,       0,       0,0.0,     277,       6,   2.2,       5,   1.8,      35,  12.6, , , , ,   0.0,   4.7,   5.1,  88.8,   0.0,   0.0,   1.4,  50.9,  49.1,      62,19.2,        278,19.9,95.0,     100,100.0,  13.9 to 1,"     $18,844,656","  $72,872",    258.6,"          $42,793,372.86","           3,602.4","              $11,879.13","          $48,126,895.87","           3,724.2","              $12,922.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
Danvers: Riverside,00710030,Public School,Danvers,MA,01923,"PK,K,01,02,03,04,05",Danvers,00710000,Public School District,      59,      39,      42,      49,      41,      43,      54,       0,       0,       0,       0,       0,       0,       0,0.0,     327,       8,   2.4,       3,   0.9,      74,  22.6, , , , ,   2.8,   1.5,   6.7,  85.9,   0.3,   0.0,   2.8,  55.0,  45.0,      76,16.4,        326,25.1,100.0,     122,100.0,  13.0 to 1,"     $18,844,656","  $72,872",    258.6,"          $42,793,372.86","           3,602.4","              $11,879.13","          $48,126,895.87","           3,724.2","              $12,922.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0
Danvers: Willis E Thorpe,00710045,Public School,Danvers,MA,01923,"PK,K,01,02,03,04,05",Danvers,00710000,Public School District,       0,      64,      53,      48,      45,      65,      48,       0,       0,       0,       0,       0,       0,       0,0.0,     323,       6,   1.9,       3,   0.9,      27,   8.4, , , , ,   0.6,   4.3,   3.7,  89.2,   0.0,   0.0,   2.2,  50.5,  49.5,      62,21.9,        323,21.7,100.0,     108,100.0,  14.9 to 1,"     $18,844,656","  $72,872",    258.6,"          $42,793,372.86","           3,602.4","              $11,879.13","          $48,126,895.87","           3,724.2","              $12,922.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.0
Dartmouth: Andrew B. Cushman School,00720005,Public School,Dartmouth,MA,02748,"PK,K",Dartmouth,00720000,Public School District,      59,      74,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     133,       4,   3.0,       4,   3.0,      21,  15.8, , , , ,   3.8,   4.5,   2.3,  85.7,   0.0,   0.0,   3.8,  51.9,  48.1,      48,16.6,        133,10.1,100.0,      44,100.0,  13.2 to 1,"     $18,526,931","  $66,476",    278.7,"          $40,620,635.68","           3,834.2","              $10,594.29","          $43,548,691.61","           3,881.3","              $11,220.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dartmouth: Dartmouth High,00720505,Public School,Dartmouth,MA,02748,"09,10,11,12",Dartmouth,00720000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     273,     307,     270,     283,1.0,"   1,134",      58,   5.1,       4,   0.4,      98,   8.6, , , , ,   2.2,   3.3,   1.5,  91.2,   0.2,   0.2,   1.5,  51.5,  48.5,     273,17.5,"      1,131",82.8,100.0,     354,96.3,  13.7 to 1,"     $18,526,931","  $66,476",    278.7,"          $40,620,635.68","           3,834.2","              $10,594.29","          $43,548,691.61","           3,881.3","              $11,220.13",       270,94.1,1.9,0.0,1.1,3.0,0.0,"   1,133",13.0,1.1,,,,,,,,,,,256.0,225.0,87.9,220.0,     347,121.0,76.0,18.0,5.0,0.0,23.0,50.0,109.0,95.0,70.0,21.0,79.0,213.0,503.0,538.0,48.0
Dartmouth: Dartmouth Middle,00720050,Public School,North Dartmouth,MA,02747,"06,07,08",Dartmouth,00720000,Public School District,       0,       0,       0,       0,       0,       0,       0,     305,     334,     335,       0,       0,       0,       0,0.0,     974,      47,   4.8,       3,   0.3,     136,  14.0, , , , ,   1.4,   3.0,   1.6,  92.0,   0.3,   0.2,   1.4,  49.1,  50.9,     505,21.7,        974,73.4,100.0,     306,100.0,  13.3 to 1,"     $18,526,931","  $66,476",    278.7,"          $40,620,635.68","           3,834.2","              $10,594.29","          $43,548,691.61","           3,881.3","              $11,220.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.0
Dartmouth: George H Potter,00720030,Public School,North Dartmouth,MA,02747,"PK,K,01,02,03,04,05",Dartmouth,00720000,Public School District,       0,       0,      70,      96,      77,      86,      76,       0,       0,       0,       0,       0,       0,       0,0.0,     405,      13,   3.2,       6,   1.5,      36,   8.9, , , , ,   2.7,   2.5,   4.2,  87.7,   0.0,   0.2,   2.7,  51.4,  48.6,     204,20.1,        404,27.7,100.0,     164,100.0,  14.6 to 1,"     $18,526,931","  $66,476",    278.7,"          $40,620,635.68","           3,834.2","              $10,594.29","          $43,548,691.61","           3,881.3","              $11,220.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0
Dartmouth: James M. Quinn School,00720040,Public School,Dartmouth,MA,02747,"K,01,02,03,04,05",Dartmouth,00720000,Public School District,       0,     143,     119,     104,     132,     128,     159,       0,       0,       0,       0,       0,       0,       0,0.0,     785,      50,   6.4,      32,   4.1,     103,  13.1, , , , ,   1.9,   4.3,   1.9,  89.8,   0.3,   0.0,   1.8,  55.2,  44.8,     387,20.8,        783,56.0,98.2,     318,100.0,  14.0 to 1,"     $18,526,931","  $66,476",    278.7,"          $40,620,635.68","           3,834.2","              $10,594.29","          $43,548,691.61","           3,881.3","              $11,220.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0
Dartmouth: Joseph Demello,00720015,Public School,South Dartmouth,MA,02748,"01,02,03,04,05",Dartmouth,00720000,Public School District,       0,       0,      82,      82,      94,      90,      85,       0,       0,       0,       0,       0,       0,       0,0.0,     433,      35,   8.1,      24,   5.5,      41,   9.5, , , , ,   2.8,   2.1,   0.5,  93.3,   0.2,   0.0,   1.2,  52.9,  47.1,     200,21.9,        435,28.8,100.0,     160,100.0,  15.1 to 1,"     $18,526,931","  $66,476",    278.7,"          $40,620,635.68","           3,834.2","              $10,594.29","          $43,548,691.61","           3,881.3","              $11,220.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0
Dedham: Avery,00730010,Public School,Dedham,MA,02026,"01,02,03,04,05",Dedham,00730000,Public School District,       0,       0,      51,      36,      49,      41,      50,       0,       0,       0,       0,       0,       0,       0,0.0,     227,      57,  25.1,      47,  20.7,      52,  22.9, , , , ,   9.3,   5.7,  21.1,  56.4,   1.3,   0.0,   6.2,  48.9,  51.1,      55,18.1,        227,20.3,100.0,      94,100.0,  11.2 to 1,"     $16,214,265","  $69,829",    232.2,"          $41,580,674.63","           2,817.9","              $14,755.91","          $46,895,538.67","           2,923.7","              $16,039.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0
Dedham: Dedham High,00730505,Public School,Dedham,MA,02026,"09,10,11,12",Dedham,00730000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     179,     215,     191,     199,0.0,     784,     102,  13.0,      28,   3.6,     132,  16.8, , , , ,   8.7,   2.9,   9.9,  76.5,   0.3,   0.1,   1.5,  50.1,  49.9,     338,15.4,        781,66.9,99.1,     273,100.0,  11.7 to 1,"     $16,214,265","  $69,829",    232.2,"          $41,580,674.63","           2,817.9","              $14,755.91","          $46,895,538.67","           2,923.7","              $16,039.79",       196,89.3,3.6,1.0,1.0,5.1,0.0,     784,11.0,1.4,,,,,,,,,,,183.0,77.0,42.1,138.0,     271,54.0,46.0,29.0,7.0,2.0,27.0,60.0,89.0,69.0,26.0,32.1,67.9,157.0,494.0,512.0,66.0
Dedham: Dedham Middle School,00730305,Public School,Dedham,MA,02026,"06,07,08",Dedham,00730000,Public School District,       0,       0,       0,       0,       0,       0,       0,     201,     233,     215,       0,       0,       0,       0,0.0,     649,      73,  11.2,      29,   4.5,     143,  22.0, , , , ,   7.6,   3.9,  10.8,  75.5,   0.2,   0.0,   2.2,  52.1,  47.9,     363,17.2,        649,57.4,100.0,     328,100.0,  11.3 to 1,"     $16,214,265","  $69,829",    232.2,"          $41,580,674.63","           2,817.9","              $14,755.91","          $46,895,538.67","           2,923.7","              $16,039.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0
Dedham: Early Childhood Center,00730005,Public School,Dedham,MA,02026,"PK,K",Dedham,00730000,Public School District,     124,     197,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     321,      33,  10.3,      19,   5.9,      76,  23.7, , , , ,   3.1,   2.8,   9.0,  81.3,   0.6,   0.0,   3.1,  53.3,  46.7,      70,17.1,        321,16.3,100.0,      91,100.0,  19.6 to 1,"     $16,214,265","  $69,829",    232.2,"          $41,580,674.63","           2,817.9","              $14,755.91","          $46,895,538.67","           2,923.7","              $16,039.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dedham: Greenlodge,00730025,Public School,Dedham,MA,02026,"01,02,03,04,05",Dedham,00730000,Public School District,       0,       0,      61,      54,      69,      73,      52,       0,       0,       0,       0,       0,       0,       0,0.0,     309,      16,   5.2,       7,   2.3,      62,  20.1, , , , ,   1.6,   1.0,   9.4,  86.7,   0.0,   0.0,   1.3,  53.4,  46.6,      75,18.1,        309,25.4,100.0,     126,100.0,  12.2 to 1,"     $16,214,265","  $69,829",    232.2,"          $41,580,674.63","           2,817.9","              $14,755.91","          $46,895,538.67","           2,923.7","              $16,039.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0
