School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Classes,Average Class Size,Number of Students,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),4Ycollege%,# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math,School Percentile (1-99)
Brockton: Manthala George Jr. School,00440003,Public School,Brockton,MA,02301,"PK,K,01,02,03,04,05",Brockton,00440000,Public School District,       0,     116,     180,     165,     160,     154,     144,       0,       0,       0,       0,       0,       0,       0,       0,     919,     405,44.1,     295,32.1,     130,14.1, , ,     628,68.3,     447,48.6,37.1,0.3,44.6,12.6,0.9,0.0,4.5,48.6,51.4,     344,21.7,        895,55.2,99.7,     263,96.6,16.7,"     $91,426,338","  $79,723","  1,146.8",71.0,      71, 100.0,   2.8,  93.0,   4.2,   0.0,"         $234,018,143.00","          16,858.5","              $13,881.31","         $249,325,909.00","          17,541.3","              $14,213.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
Brockton: Mary E. Baker School,00440002,Public School,Brockton,MA,02302,"K,01,02,03,04,05",Brockton,00440000,Public School District,       0,      94,     121,     125,     137,     120,     122,       0,       0,       0,       0,       0,       0,       0,       0,     719,     208,28.9,     137,19.1,      95,13.2, , ,     405,56.3,     299,41.6,47.0,1.7,12.8,32.8,0.6,0.1,5.0,54.4,45.6,     352,17.3,        720,46.5,99.6,     255,99.6,15.5,"     $91,426,338","  $79,723","  1,146.8",62.0,      62, 100.0,-,-,-,-,"         $234,018,143.00","          16,858.5","              $13,881.31","         $249,325,909.00","          17,541.3","              $14,213.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
Brockton: North Middle School,00440410,Public School,Brockton,MA,02301,"06,07,08",Brockton,00440000,Public School District,       0,       0,       0,       0,       0,       0,       0,     163,     183,     198,       0,       0,       0,       0,       0,     544,     300,55.1,     186,34.2,      83,15.3, , ,     416,76.5,     282,51.8,70.0,1.8,13.1,10.1,0.4,0.4,4.2,52.8,47.2,     411,15.8,        558,45.3,100.0,     218,100.0,12.0,"     $91,426,338","  $79,723","  1,146.8",58.0,      56,  96.6,   1.8,  98.2,   0.0,   0.0,"         $234,018,143.00","          16,858.5","              $13,881.31","         $249,325,909.00","          17,541.3","              $14,213.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0
Brockton: Oscar F Raymond,00440078,Public School,Brockton,MA,02301,"PK,K,01,02,03,04,05",Brockton,00440000,Public School District,       0,     112,     127,     134,     122,     128,     132,      92,      86,     106,       0,       0,       0,       0,       0,"   1,039",     482,46.4,     290,27.9,      68,6.5, , ,     766,73.7,     584,56.2,74.2,1.6,9.7,9.5,0.3,0.2,4.4,52.5,47.5,     392,22.9,"      1,013",63.9,99.7,     274,99.3,16.3,"     $91,426,338","  $79,723","  1,146.8",86.0,      85,  98.8,-,-,-,-,"         $234,018,143.00","          16,858.5","              $13,881.31","         $249,325,909.00","          17,541.3","              $14,213.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
Brockton: PROMISE College and Career Academy,00440525,Public School,Brockton,MA,02302,"09,10,11,12",Brockton,00440000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $91,426,338","  $79,723","  1,146.8",,,,,,,,"         $234,018,143.00","          16,858.5","              $13,881.31","         $249,325,909.00","          17,541.3","              $14,213.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brockton: Plouffe Middle School,00440422,Public School,Brockton,MA,02302,"06,07,08",Brockton,00440000,Public School District,       0,       0,       0,       0,       0,       0,       0,     231,     221,     218,       0,       0,       0,       0,       0,     670,     234,34.9,     103,15.4,     107,16.0, , ,     391,58.4,     287,42.8,39.1,2.7,23.4,29.9,0.4,0.0,4.5,48.2,51.8,     524,20.5,        671,51.3,100.0,     226,97.8,13.1,"     $91,426,338","  $79,723","  1,146.8",64.0,      62,  96.9,   9.7,  88.7,   1.6,   0.0,"         $234,018,143.00","          16,858.5","              $13,881.31","         $249,325,909.00","          17,541.3","              $14,213.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0
Brockton: South Middle School,00440415,Public School,Brockton,MA,02301,"06,07,08",Brockton,00440000,Public School District,       0,       0,       0,       0,       0,       0,       0,     189,     179,     173,       0,       0,       0,       0,       0,     541,     211,39.0,      76,14.0,      84,15.5, , ,     339,62.7,     252,46.6,52.1,3.7,15.0,23.8,0.0,0.4,5.0,53.2,46.8,     414,17.7,        548,42.6,100.0,     198,98.0,12.7,"     $91,426,338","  $79,723","  1,146.8",53.0,      53, 100.0,   5.7,  92.5,   1.9,   0.0,"         $234,018,143.00","          16,858.5","              $13,881.31","         $249,325,909.00","          17,541.3","              $14,213.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0
Brockton: West Middle School,00440420,Public School,Brockton,MA,02301,"06,07,08",Brockton,00440000,Public School District,       0,       0,       0,       0,       0,       0,       0,     219,     215,     217,       0,       0,       0,       0,       0,     651,     188,28.9,      47,7.2,      93,14.3, , ,     363,55.8,     278,42.7,47.5,4.1,13.5,29.5,0.3,0.6,4.5,50.8,49.2,     410,18.2,        665,49.5,100.0,     213,100.0,13.2,"     $91,426,338","  $79,723","  1,146.8",59.0,      58,  98.3,-,-,-,-,"         $234,018,143.00","          16,858.5","              $13,881.31","         $249,325,909.00","          17,541.3","              $14,213.65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0
Brooke Charter School (District): Brooke Charter School,04280305,Charter School,Roslindale,MA,02131,"K,01,02,03,04,05,06,07,08,09,10,11,12",Brooke Charter School (District),04280000,Charter District,       0,      60,      66,      63,      58,      66,      54,      53,      51,      35,       0,       0,       0,       0,       0,     506,      78,15.4,       4,0.8,      36,7.1, , ,     220,43.5,     190,37.5,69.2,1.4,24.1,1.2,0.0,0.0,4.2,48.8,51.2,     225,18.7,        504,41.0,58.5,     202,84.7,12.3,,,,48.0,      40,  83.3,  30.0,  62.5,   0.0,   7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0
Brookfield: Brookfield Elementary,00450005,Public School,Brookfield,MA,01506,"PK,K,01,02,03,04,05,06",Brookfield,00450000,Public School District,      34,      42,      37,      39,      41,      50,      47,      43,       0,       0,       0,       0,       0,       0,       0,     333,       1,0.3,       1,0.3,      42,12.6, , ,     105,31.5,      75,22.5,0.3,0.0,6.0,89.2,0.0,0.0,4.5,50.2,49.8,      80,21.2,        334,25.1,100.0,      92,100.0,13.3,"      $1,572,046","  $62,631",     25.1,30.0,      30, 100.0,   0.0,  93.3,   6.7,   0.0,"           $3,649,658.00",             332.2,"              $10,986.33","           $3,848,005.00",             334.5,"              $11,503.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0
Brookline: Brookline Early Education Program at Beacon,00460001,Public School,Brookline,MA,02445,PK,Brookline,00460000,Public School District,      62,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      62,      21,33.9,      13,21.0,      15,24.2, , ,      25,40.3,       4,6.5,4.8,21.0,12.9,51.6,0.0,0.0,9.7,54.8,45.2,       5,15.2,         76,4.4,100.0,       8,100.0,14.3,"     $53,174,888","  $91,507",    581.1,5.0,       4,  80.0,-,-,-,-,"         $128,747,803.00","           7,500.4","              $17,165.46","         $133,544,403.00","           7,565.2","              $17,652.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookline: Brookline Early Education Program at Clark Road,00460003,Public School,Brookline,MA,02445,PK,Brookline,00460000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $53,174,888","  $91,507",    581.1,,,,,,,,"         $128,747,803.00","           7,500.4","              $17,165.46","         $133,544,403.00","           7,565.2","              $17,652.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookline: Brookline Early Education Program at Putterham,00460002,Public School,Chestnut Hill,MA,02467,PK,Brookline,00460000,Public School District,      64,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      64,      18,28.1,      10,15.6,      24,37.5, , ,      32,50.0,       7,10.9,4.7,15.6,6.3,64.1,0.0,0.0,9.4,59.4,40.6,       6,13.0,         78,8.5,100.0,      15,100.0,7.5,"     $53,174,888","  $91,507",    581.1,9.0,       8,  88.9,-,-,-,-,"         $128,747,803.00","           7,500.4","              $17,165.46","         $133,544,403.00","           7,565.2","              $17,652.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookline: Brookline High,00460505,Public School,Brookline,MA,02445,"09,10,11,12",Brookline,00460000,Public School District,      14,       0,       0,       0,       0,       0,       0,       0,       0,       0,     494,     478,     431,     473,      15,"   1,905",     520,27.3,      55,2.9,     305,16.0, , ,     511,26.8,     183,9.6,7.6,15.2,10.1,59.0,0.0,0.0,8.1,49.7,50.3,"   1,023",14.6,"      1,928",155.9,98.8,     730,99.2,12.2,"     $53,174,888","  $91,507",    581.1,221.0,     180,  81.4,   0.6,  96.1,   3.3,   0.0,"         $128,747,803.00","           7,500.4","              $17,165.46","         $133,544,403.00","           7,565.2","              $17,652.46",469.0,92.5,4.3,0.0,1.5,1.7,0.0,"   1,876",9.0,0.5,451.0,359.0,79.6,0.0,53.0,4.7,22.0,4.0,2.2,11.1,75.0,451.0,404.0,89.6,414.0,     874,162.0,120.0,72.0,46.0,14.0,13.0,54.0,131.0,273.0,403.0,7.7,92.3,420.0,589.0,616.0,80.0
Brookline: Edith C Baker,00460005,Public School,Chestnut Hill,MA,02467,"K,01,02,03,04,05,06,07,08",Brookline,00460000,Public School District,       0,     112,      92,     115,      88,      75,      98,      87,      78,      69,       0,       0,       0,       0,       0,     814,     310,38.1,     121,14.9,     112,13.8, , ,     280,34.4,      31,3.8,4.4,28.0,8.7,51.8,0.0,0.2,6.8,50.4,49.6,     281,19.1,        803,57.8,100.0,     296,100.0,14.1,"     $53,174,888","  $91,507",    581.1,78.0,      44,  56.4,   6.8,  90.9,   2.3,   0.0,"         $128,747,803.00","           7,500.4","              $17,165.46","         $133,544,403.00","           7,565.2","              $17,652.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0
Brookline: Florida Ruffin Ridley School,00460015,Public School,Brookline,MA,02446,"PK,K,01,02,03,04,05,06,07,08",Brookline,00460000,Public School District,       0,     111,     100,     108,     101,      74,      80,      82,      79,      78,       0,       0,       0,       0,       0,     813,     325,40.0,      99,12.2,     139,17.1, , ,     302,37.1,      83,10.2,6.0,12.2,12.2,58.8,0.0,0.0,10.8,50.4,49.6,     325,17.2,        818,64.5,100.0,     316,100.0,12.6,"     $53,174,888","  $91,507",    581.1,91.0,      74,  81.3,   5.4,  94.6,   0.0,   0.0,"         $128,747,803.00","           7,500.4","              $17,165.46","         $133,544,403.00","           7,565.2","              $17,652.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0
Brookline: Heath,00460025,Public School,Chestnut Hill,MA,02467,"K,01,02,03,04,05,06,07,08",Brookline,00460000,Public School District,      31,      65,      66,      69,      60,      64,      70,      55,      41,      46,       0,       0,       0,       0,       0,     567,     115,20.3,      28,4.9,      65,11.5, , ,     117,20.6,      26,4.6,3.7,15.2,9.3,64.7,0.0,0.2,6.9,48.0,52.0,     190,18.2,        567,39.7,97.5,     207,92.8,14.3,"     $53,174,888","  $91,507",    581.1,60.0,      46,  76.7,   2.2,  97.8,   0.0,   0.0,"         $128,747,803.00","           7,500.4","              $17,165.46","         $133,544,403.00","           7,565.2","              $17,652.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0
Brookline: John D Runkle,00460045,Public School,Brookline,MA,02445,"PK,K,01,02,03,04,05,06,07,08",Brookline,00460000,Public School District,      14,      63,      70,      67,      64,      47,      70,      55,      62,      61,       0,       0,       0,       0,       0,     573,     140,24.4,      41,7.2,     116,20.2, , ,     174,30.4,      32,5.6,3.3,16.1,11.7,58.3,0.0,0.2,10.5,53.1,46.9,     217,18.0,        582,46.1,100.0,     232,100.0,12.4,"     $53,174,888","  $91,507",    581.1,65.0,      60,  92.3,-,-,-,-,"         $128,747,803.00","           7,500.4","              $17,165.46","         $133,544,403.00","           7,565.2","              $17,652.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0
Brookline: Lawrence,00460030,Public School,Brookline,MA,02446,"K,01,02,03,04,05,06,07,08",Brookline,00460000,Public School District,       0,      92,      86,      88,      84,      58,      89,      60,      57,      59,       0,       0,       0,       0,       0,     673,     246,36.6,     126,18.7,      95,14.1, , ,     265,39.4,      44,6.5,4.9,28.4,8.8,49.6,0.0,0.1,8.2,50.4,49.6,     234,18.4,        645,48.9,100.0,     271,100.0,13.8,"     $53,174,888","  $91,507",    581.1,76.0,      66,  86.8,   1.5,  97.0,   1.5,   0.0,"         $128,747,803.00","           7,500.4","              $17,165.46","         $133,544,403.00","           7,565.2","              $17,652.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0
Brookline: Michael Driscoll,00460020,Public School,Brookline,MA,02446,"K,01,02,03,04,05,06,07,08",Brookline,00460000,Public School District,      16,      68,      56,      67,      71,      71,      71,      57,      64,      47,       0,       0,       0,       0,       0,     588,     158,26.9,      46,7.8,      99,16.8, , ,     162,27.6,      22,3.7,4.8,16.2,6.0,59.2,0.0,0.0,13.9,51.5,48.5,     216,17.9,        584,43.8,100.0,     218,100.0,13.4,"     $53,174,888","  $91,507",    581.1,63.0,      50,  79.4,   8.0,  90.0,   2.0,   0.0,"         $128,747,803.00","           7,500.4","              $17,165.46","         $133,544,403.00","           7,565.2","              $17,652.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0
Brookline: Pierce,00460040,Public School,Brookline,MA,02446,"K,01,02,03,04,05,06,07,08",Brookline,00460000,Public School District,       0,     108,     112,      91,      88,      84,      89,      82,      71,      90,       0,       0,       0,       0,       0,     815,     216,26.5,     102,12.5,      84,10.3, , ,     232,28.5,      49,6.0,5.6,22.7,9.8,53.7,0.0,0.0,8.1,49.2,50.8,     278,19.8,        825,55.1,100.0,     323,100.0,14.8,"     $53,174,888","  $91,507",    581.1,80.0,      59,  73.8,   0.0,  96.6,   3.4,   0.0,"         $128,747,803.00","           7,500.4","              $17,165.46","         $133,544,403.00","           7,565.2","              $17,652.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0
Brookline: The Lynch Center,00460060,Public School,Brookline,MA,02445,PK,Brookline,00460000,Public School District,      63,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      63,      18,28.6,      15,23.8,      19,30.2, , ,      25,39.7,       6,9.5,7.9,22.2,4.8,44.4,0.0,0.0,20.6,49.2,50.8,       6,12.5,         75,3.9,100.0,      10,100.0,16.0,"     $53,174,888","  $91,507",    581.1,11.0,       9,  81.8,   0.0,  88.9,  11.1,   0.0,"         $128,747,803.00","           7,500.4","              $17,165.46","         $133,544,403.00","           7,565.2","              $17,652.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookline: William H Lincoln,00460035,Public School,Brookline,MA,02445,"K,01,02,03,04,05,06,07,08",Brookline,00460000,Public School District,       0,      66,      63,      80,      64,      57,      67,      63,      54,      57,       0,       0,       0,       0,       0,     571,     172,30.1,      76,13.3,     107,18.7, , ,     235,41.2,      79,13.8,9.8,20.1,13.8,49.9,0.2,0.0,6.1,49.6,50.4,     238,16.4,        574,50.6,100.0,     246,100.0,11.3,"     $53,174,888","  $91,507",    581.1,70.0,      60,  85.7,   1.7,  96.7,   1.7,   0.0,"         $128,747,803.00","           7,500.4","              $17,165.46","         $133,544,403.00","           7,565.2","              $17,652.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0
Burlington: Burlington High,00480505,Public School,Burlington,MA,01803,"PK,09,10,11,12",Burlington,00480000,Public School District,     128,       7,       0,       0,       0,       0,       0,       0,       0,       0,     234,     259,     241,     254,       0,"   1,123",     159,14.2,      15,1.3,     128,11.4, , ,     220,19.6,      92,8.2,4.9,14.2,3.9,73.1,0.4,0.2,3.2,52.2,47.8,     581,14.6,"      1,163",92.8,100.0,     410,92.4,12.1,"     $27,776,064","  $90,475",    307.0,115.0,     109,  94.8,   0.9,  96.3,   2.8,   0.0,"          $60,921,774.00","           3,451.5","              $17,650.81","          $68,300,610.00","           3,550.3","              $19,237.98",258.0,95.7,1.9,0.4,0.4,1.6,0.0,     988,2.0,0.2,254.0,217.0,85.4,0.0,37.8,14.6,33.1,14.2,9.8,13.0,70.9,254.0,254.0,100.0,213.0,     402,101.0,64.0,31.0,9.0,8.0,44.0,65.0,99.0,133.0,61.0,27.1,72.9,216.0,533.0,550.0,64.0
Burlington: Fox Hill,00480007,Public School,Burlington,MA,01803,"K,01,02,03,04,05",Burlington,00480000,Public School District,       0,      47,      43,      55,      50,      58,      70,       0,       0,       0,       0,       0,       0,       0,       0,     323,      52,16.1,      10,3.1,      29,9.0, , ,      64,19.8,      25,7.7,1.9,13.9,6.5,74.9,0.0,0.0,2.8,53.9,46.1,     173,14.3,        334,31.3,100.0,     154,99.4,10.3,"     $27,776,064","  $90,475",    307.0,42.0,      39,  92.9,   5.1,  89.7,   5.1,   0.0,"          $60,921,774.00","           3,451.5","              $17,650.81","          $68,300,610.00","           3,550.3","              $19,237.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlington: Francis Wyman Elementary,00480035,Public School,Burlington,MA,01803,"K,01,02,03,04,05",Burlington,00480000,Public School District,       0,      88,      85,      75,      86,      87,      83,       0,       0,       0,       0,       0,       0,       0,       0,     504,      76,15.1,      25,5.0,      50,9.9, , ,     126,25.0,      59,11.7,7.5,19.2,4.0,65.5,0.6,0.0,3.2,50.0,50.0,     228,16.4,        507,43.7,100.0,     213,97.7,11.5,"     $27,776,064","  $90,475",    307.0,53.0,      51,  96.2,   5.9,  94.1,   0.0,   0.0,"          $60,921,774.00","           3,451.5","              $17,650.81","          $68,300,610.00","           3,550.3","              $19,237.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlington: Marshall Simonds Middle,00480303,Public School,Burlington,MA,01803,"06,07,08",Burlington,00480000,Public School District,       0,       0,       0,       0,       0,       0,       0,     275,     296,     284,       0,       0,       0,       0,       0,     855,      92,10.8,      12,1.4,     112,13.1, , ,     182,21.3,      78,9.1,3.9,11.6,3.5,76.8,0.7,0.0,3.5,51.9,48.1,     716,21.5,        869,69.5,100.0,     319,92.8,12.3,"     $27,776,064","  $90,475",    307.0,85.0,      82,  96.5,   2.4,  96.3,   1.2,   0.0,"          $60,921,774.00","           3,451.5","              $17,650.81","          $68,300,610.00","           3,550.3","              $19,237.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlington: Memorial,00480015,Public School,Burlington,MA,01803,"K,01,02,03,04,05",Burlington,00480000,Public School District,       0,      71,      74,      71,      67,      75,      65,       0,       0,       0,       0,       0,       0,       0,       0,     423,      87,20.6,      21,5.0,      29,6.9, , ,     112,26.5,      61,14.4,8.0,18.2,3.8,65.7,0.7,0.0,3.5,50.1,49.9,     177,17.6,        426,34.4,100.0,     160,100.0,12.3,"     $27,776,064","  $90,475",    307.0,43.0,      38,  88.4,   2.6,  78.9,  18.4,   0.0,"          $60,921,774.00","           3,451.5","              $17,650.81","          $68,300,610.00","           3,550.3","              $19,237.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlington: Pine Glen Elementary,00480020,Public School,Burlington,MA,01803,"K,01,02,03,04,05",Burlington,00480000,Public School District,       0,      42,      38,      58,      39,      41,      53,       0,       0,       0,       0,       0,       0,       0,       0,     271,      30,11.1,      13,4.8,      39,14.4, , ,      73,26.9,      30,11.1,2.6,8.9,5.5,78.2,0.7,0.0,4.1,49.4,50.6,     146,14.0,        276,27.5,100.0,     138,100.0,9.9,"     $27,776,064","  $90,475",    307.0,38.0,      36,  94.7,   2.8,  91.7,   5.6,   0.0,"          $60,921,774.00","           3,451.5","              $17,650.81","          $68,300,610.00","           3,550.3","              $19,237.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambridge: Amigos School,00490006,Public School,Cambridge,MA,02139,"PK,K,01,02,03,04,05,06,07,08",Cambridge,00490000,Public School District,      28,      52,      47,      48,      40,      39,      27,      25,      30,      24,       0,       0,       0,       0,       0,     360,     131,36.4,      17,4.7,      36,10.0, , ,      88,24.4,      51,14.2,5.0,3.1,42.8,38.9,0.0,0.3,10.0,44.7,55.3,     201,17.8,        358,32.8,93.9,     173,93.1,11.0,"     $50,658,612","  $78,456",    645.7,42.0,      40,  95.2,  17.5,  77.5,   5.0,   0.0,"         $168,307,566.00","           6,428.0","              $26,183.50","         $194,321,971.00","           7,048.6","              $27,568.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0
Cambridge: Cambridge Rindge and Latin,00490506,Public School,Cambridge,MA,02138,"09,10,11,12",Cambridge,00490000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     499,     471,     439,     423,       4,"   1,836",     518,28.2,     115,6.3,     279,15.2, , ,     748,40.7,     444,24.2,33.4,11.3,12.7,38.7,0.7,0.1,3.2,51.4,48.6,"   1,030",14.9,"      1,838",177.5,96.3,     681,92.7,10.3,"     $50,658,612","  $78,456",    645.7,224.0,     172,  76.8,  33.1,  60.5,   5.8,   0.6,"         $168,307,566.00","           6,428.0","              $26,183.50","         $194,321,971.00","           7,048.6","              $27,568.87",433.0,93.5,2.8,0.0,0.2,3.5,0.0,"   1,832",18.0,1.0,433.0,332.0,76.7,0.0,43.4,12.5,20.8,12.2,3.0,12.7,64.2,433.0,410.0,94.7,311.0,     511,174.0,88.0,35.0,14.0,0.0,28.0,40.0,110.0,167.0,166.0,13.3,86.7,350.0,539.0,537.0,48.0
Cambridge: Cambridge Street Upper School,00490305,Public School,Cambridge,MA,02141,"06,07,08",Cambridge,00490000,Public School District,       0,       0,       0,       0,       0,       0,       0,      88,      92,      79,       0,       0,       0,       0,       0,     259,      68,26.3,      11,4.2,      70,27.0, , ,     128,49.4,      77,29.7,31.3,7.7,14.7,39.8,0.8,1.2,4.6,54.4,45.6,     145,18.4,        267,28.7,100.0,     118,97.5,9.0,"     $50,658,612","  $78,456",    645.7,37.0,      24,  64.9,  12.5,  70.8,  12.5,   4.2,"         $168,307,566.00","           6,428.0","              $26,183.50","         $194,321,971.00","           7,048.6","              $27,568.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0
Cambridge: Cambridgeport,00490007,Public School,Cambridge,MA,02139,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District,      54,      47,      43,      40,      36,      38,      28,       0,       0,       0,       0,       0,       0,       0,       0,     286,      44,15.4,      18,6.3,      40,14.0, , ,     112,39.2,      74,25.9,21.3,9.1,10.5,52.4,0.3,0.3,5.9,50.3,49.7,     143,14.1,        292,24.0,95.8,     124,100.0,11.9,"     $50,658,612","  $78,456",    645.7,39.0,      39, 100.0,  23.1,  74.4,   2.6,   0.0,"         $168,307,566.00","           6,428.0","              $26,183.50","         $194,321,971.00","           7,048.6","              $27,568.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0
Cambridge: Fletcher/Maynard Academy,00490090,Public School,Cambridge,MA,02139,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District,      54,      42,      40,      45,      22,      30,      30,       0,       0,       0,       0,       0,       0,       0,       0,     263,      61,23.2,      20,7.6,      69,26.2, , ,     180,68.4,     135,51.3,44.5,8.4,19.8,20.9,0.8,0.4,5.3,51.0,49.0,     208,11.1,        257,28.5,100.0,     190,100.0,9.2,"     $50,658,612","  $78,456",    645.7,42.0,      38,  90.5,  23.7,  73.7,   0.0,   2.6,"         $168,307,566.00","           6,428.0","              $26,183.50","         $194,321,971.00","           7,048.6","              $27,568.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0
Cambridge: Graham and Parks,00490080,Public School,Cambridge,MA,02138,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District,      35,      52,      65,      69,      60,      65,      46,       0,       0,       0,       0,       0,       0,       0,       0,     392,     211,53.8,     149,38.0,      63,16.1, , ,     249,63.5,      81,20.7,19.9,24.7,8.2,42.6,0.0,0.0,4.6,51.0,49.0,     177,14.8,        380,31.0,96.8,     170,96.5,12.7,"     $50,658,612","  $78,456",    645.7,42.0,      39,  92.9,  43.6,  51.3,   5.1,   0.0,"         $168,307,566.00","           6,428.0","              $26,183.50","         $194,321,971.00","           7,048.6","              $27,568.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0
Cambridge: Haggerty,00490020,Public School,Cambridge,MA,02138,"PK,K,01,02,03,04,05",Cambridge,00490000,Public School District,      28,      50,      39,      44,      35,      36,      37,       0,       0,       0,       0,       0,       0,       0,       0,     269,      69,25.7,      25,9.3,      64,23.8, , ,     132,49.1,      76,28.3,26.4,12.6,3.7,46.8,0.0,0.4,10.0,46.8,53.2,     120,15.3,        263,25.3,100.0,     103,100.0,10.6,"     $50,658,612","  $78,456",    645.7,35.0,      35, 100.0,  28.6,  68.6,   2.9,   0.0,"         $168,307,566.00","           6,428.0","              $26,183.50","         $194,321,971.00","           7,048.6","              $27,568.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0
