School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Boston: Dever Elementary School,00350268,Public School,Dorchester,MA,02125,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      22,      83,      88,      84,      74,      68,      61,,,,,,,,0.0,     480,     206,  42.9,     147,  30.6,      89,  18.5, , , , ,  36.9,   6.5,  48.5,   5.8,   0.2,   0.0,   2.1,  53.1,  46.9,37.7,97.3,     128,100.0,  12.7 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: East Boston Early Education Center,00350009,Public School,East Boston,MA,02128,"PK,K,01",Boston,00350000,Public School District,      57,      52,      64,,,,,,,,,,,,0.0,     173,     130,  75.1,     113,  65.3,      21,  12.1, , , , ,   3.5,   2.9,  80.3,  13.3,   0.0,   0.0,   0.0,  56.6,  43.4,13.0,100.0,      50,90.0,  13.3 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: East Boston High School,00350530,Public School,East Boston,MA,02128,"07,08,09,10,11,12",Boston,00350000,Public School District,,,,,,,,,,,     387,     488,     349,     252,15.0,"   1,491",     815,  54.7,     374,  25.1,     263,  17.6, , , , ,  17.3,   1.9,  60.6,  19.1,   0.3,   0.0,   0.7,  53.1,  46.9,89.6,97.8,     271,87.1,  16.6 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",       391,55.0,16.4,1.5,2.0,25.1,0.0,"   1,476",138.0,9.3,,,,,,,,,,,92.0,     134,62.0,19.0,10.0,1.0,0.0,82.0,34.0,15.0,2.0,1.0,86.6,13.4,162.0,414.0,420.0
Boston: Edison K-8 School,00350375,Public School,Brighton,MA,02135,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Eliot K-8 Innovation School,00350096,Public School,Boston,MA,02113,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,,      21,      19,      25,      31,      27,      33,      16,      29,,,,,,0.0,     201,      54,  26.9,      30,  14.9,      66,  32.8, , , , ,  19.4,   1.5,  45.3,  30.3,   0.0,   0.0,   3.5,  53.2,  46.8,18.3,100.0,      71,83.1,  11.0 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Ellis Elementary School,00350072,Public School,Roxbury,MA,02119,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      26,      52,      52,      47,      48,      46,      31,,,,,,,,0.0,     302,     128,  42.4,      95,  31.5,      36,  11.9, , , , ,  38.1,   0.7,  56.3,   2.6,   0.3,   0.0,   2.0,  50.7,  49.3,29.0,93.1,     111,91.0,  10.4 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Ellison-Parks Early Education School,00350008,Public School,Mattapan,MA,02126,"PK,K,01,02,03",Boston,00350000,Public School District,      61,      66,      65,,,,,,,,,,,,0.0,     192,      86,  44.8,      82,  42.7,      26,  13.5, , , , ,  51.0,   5.2,  39.6,   1.0,   1.0,   0.0,   2.1,  52.6,  47.4,16.0,100.0,      67,92.5,  12.0 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: English High School,00350535,Public School,Jamaica Plain,MA,02130,"07,08,09,10,11,12",Boston,00350000,Public School District,,,,,,,,,,,     192,     212,     172,     240,4.0,     820,     418,  51.0,     205,  25.0,     192,  23.4, , , , ,  46.0,   1.8,  46.7,   4.0,   0.4,   0.0,   1.1,  55.6,  44.4,70.0,98.6,     218,87.6,  11.7 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",       268,51.9,16.4,0.0,1.9,27.6,2.2,     816,46.0,5.6,,,,,,,,,,,95.0,     153,52.0,29.0,13.0,1.0,0.0,129.0,21.0,2.0,1.0,0.0,98.0,2.0,84.0,368.0,397.0
Boston: Everett Elementary School,00350088,Public School,Dorchester,MA,02125,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      16,      39,      44,      43,      45,      50,      42,,,,,,,,0.0,     279,     101,  36.2,      42,  15.1,      35,  12.5, , , , ,  52.0,  17.6,  18.3,  10.4,   0.4,   0.4,   1.1,  55.2,  44.8,21.0,100.0,     100,95.0,  13.3 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Excel High School,00350522,Public School,South Boston,MA,02127,"09,10,11,12",Boston,00350000,Public School District,,,,,,,,,,,     135,      74,     112,      72,0.0,     393,     160,  40.7,      64,  16.3,      72,  18.3, , , , ,  36.4,  23.2,  21.1,  18.6,   0.3,   0.0,   0.5,  58.3,  41.7,24.0,95.8,      83,90.4,  16.4 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",       108,48.1,13.9,0.9,5.6,30.6,0.9,     393,35.0,8.9,,,,,,,,,,,14.0,      25,6.0,5.0,3.0,0.0,0.0,13.0,8.0,3.0,1.0,0.0,84.0,16.0,39.0,364.0,427.0
Boston: Fenway High School,00350540,Public School,Roxbury,MA,02120,"09,10,11,12",Boston,00350000,Public School District,,,,,,,,,,,      71,      78,      72,      68,1.0,     290,      69,  23.8,       4,   1.4,      52,  17.9, , , , ,  41.4,   1.7,  41.7,  13.4,   1.0,   0.3,   0.3,  46.9,  53.1,19.8,100.0,      52,100.0,  14.6 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",        74,87.8,5.4,0.0,1.4,4.1,1.4,     289,5.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,51.0,430.0,444.0
Boston: Frederick Pilot Middle School,00350383,Public School,Dorchester,MA,02121,"06,07,08",Boston,00350000,Public School District,,,,,,,,     208,     222,     215,,,,,0.0,     645,     220,  34.1,     131,  20.3,     171,  26.5, , , , ,  55.5,   1.6,  38.8,   3.1,   0.5,   0.0,   0.6,  49.6,  50.4,46.4,93.5,     292,89.4,  13.9 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Gardner Pilot Academy,00350326,Public School,Allston,MA,02134,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,      22,      53,      55,      58,      57,      41,      42,,,,,,,,0.0,     328,     176,  53.7,     131,  39.9,      53,  16.2, , , , ,  15.2,  13.1,  59.1,  10.7,   0.3,   0.0,   1.5,  55.2,  44.8,27.7,100.0,     130,100.0,  11.8 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Greater Egleston High School,00350543,Public School,Roxbury,MA,02119,"09,10,11,12",Boston,00350000,Public School District,,,,,,,,,,,      26,      18,      46,      28,0.0,     118,      37,  31.4,       2,   1.7,      23,  19.5, , , , ,  37.3,   0.8,  55.9,   2.5,   1.7,   0.0,   1.7,  30.5,  69.5,7.0,85.7,      21,61.9,  16.9 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",        52,21.2,25.0,1.9,1.9,50.0,0.0,     118,36.0,30.5,,,,,,,,,,,,,,,,,,,,,,,,,14.0,336.0,324.0
Boston: Greenwood Sarah K-8 School,00350308,Public School,Dorchester,MA,02121,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,      49,      45,      46,      52,      46,      37,      33,      21,      30,      16,,,,,0.0,     375,     218,  58.1,     168,  44.8,      69,  18.4, , , , ,  31.5,   0.5,  65.3,   1.1,   0.0,   0.3,   1.3,  50.4,  49.6,24.7,83.6,     200,77.5,  15.2 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Grew Elementary School,00350135,Public School,Hyde Park,MA,02136,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,,      41,      45,      40,      42,      40,      28,,,,,,,,0.0,     236,      50,  21.2,      26,  11.0,      29,  12.3, , , , ,  50.8,   1.7,  35.6,   9.7,   0.4,   0.0,   1.7,  51.7,  48.3,15.4,100.0,      66,100.0,  15.3 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Guild Elementary School,00350062,Public School,East Boston,MA,02128,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,,      51,      51,      53,      51,      39,      30,,,,,,,,0.0,     275,     187,  68.0,     154,  56.0,      46,  16.7, , , , ,   3.6,   2.2,  74.9,  17.8,   0.7,   0.4,   0.4,  51.6,  48.4,17.7,100.0,      67,92.5,  15.5 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Hale Elementary School,00350243,Public School,Roxbury,MA,02119,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,,      21,      28,      40,      22,      25,      26,,,,,,,,0.0,     162,      11,   6.8,       6,   3.7,      29,  17.9, , , , ,  67.3,   0.0,  29.0,   1.9,   0.0,   0.0,   1.9,  48.8,  51.2,10.4,100.0,      46,100.0,  15.6 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Haley Pilot School,00350077,Public School,Roslindale,MA,02131,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,      22,      43,      42,      49,      50,      47,      39,,,,,,,,0.0,     292,      41,  14.0,      17,   5.8,      51,  17.5, , , , ,  48.3,   1.7,  30.8,  16.4,   0.3,   0.0,   2.4,  50.0,  50.0,20.9,100.0,      75,100.0,  14.0 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Harvard-Kent Elementary School,00350200,Public School,Charlestown,MA,02129,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      37,      56,      78,      85,      69,      58,      63,,,,,,,,0.0,     446,     243,  54.5,     187,  41.9,      81,  18.2, , , , ,  20.6,  34.1,  31.2,  11.9,   0.7,   0.0,   1.6,  54.0,  46.0,41.4,97.6,     175,97.1,  10.8 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Haynes Early Education Center,00350010,Public School,Roxbury,MA,02119,"PK,K,01",Boston,00350000,Public School District,      63,      62,      69,,,,,,,,,,,,0.0,     194,      93,  47.9,      84,  43.3,      22,  11.3, , , , ,  35.6,   4.1,  53.1,   2.1,   0.0,   0.5,   4.6,  56.2,  43.8,15.6,100.0,      66,100.0,  12.4 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Henderson K-12 Inclusion School Lower,00350266,Public School,Dorchester,MA,02122,"PK,K,01",Boston,00350000,Public School District,      34,      23,      46,      44,      24,      43,      21,,,,,,,,0.0,     235,      39,  16.6,      20,   8.5,      71,  30.2, , , , ,  39.1,   9.8,   9.8,  31.9,   4.3,   0.4,   4.7,  48.5,  51.5,23.5,100.0,      79,100.0,  10.0 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Henderson K-12 Inclusion School Upper,00350426,Public School,Dorchester,MA,02124,"02,03,04,05,06,07,08,09,10,11,12",Boston,00350000,Public School District,,,,,,,,      89,      85,      87,,,,,0.0,     261,      64,  24.5,      13,   5.0,      71,  27.2, , , , ,  69.0,   4.6,  12.6,   9.2,   0.8,   0.8,   3.1,  51.0,  49.0,20.3,95.1,      18,94.4,  12.9 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Hennigan K-8 School,00350153,Public School,Jamaica Plain,MA,02130,"K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,,      40,      59,      80,      91,      99,      89,,,,,,,,0.0,     458,     250,  54.6,     203,  44.3,      97,  21.2, , , , ,  29.9,   2.6,  59.2,   7.2,   0.0,   0.2,   0.9,  49.6,  50.4,44.0,100.0,     178,94.4,  10.4 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Hernandez K-8 School,00350691,Public School,Roxbury,MA,02119,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,      44,      51,      50,      49,      45,      43,      33,      35,      26,      26,,,,,0.0,     402,     259,  64.4,     178,  44.3,      46,  11.4, , , , ,   3.0,   0.0,  89.8,   6.5,   0.0,   0.0,   0.7,  47.5,  52.5,26.3,100.0,     117,95.7,  15.3 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Higginson Inclusion K0-2 School,00350015,Public School,Roxbury,MA,02119,"PK,K,01,02",Boston,00350000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Higginson-Lewis K-8 School,00350377,Public School,Roxbury,MA,02119,"03,04,05,06,07,08",Boston,00350000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Holmes Elementary School,00350138,Public School,Dorchester,MA,02124,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      19,      24,      29,      34,      30,      30,      27,,,,,,,,0.0,     193,      22,  11.4,      11,   5.7,      64,  33.2, , , , ,  76.7,   1.6,  16.6,   3.1,   0.5,   0.0,   1.6,  54.9,  45.1,19.4,100.0,      83,100.0,   9.9 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Horace Mann School for the Deaf Hard of Hearing,00350750,Public School,Allston,MA,02134,"PK,K,01,02,03,04,05,06,07,08,09,10,11,12",Boston,00350000,Public School District,      11,       9,       8,       8,       8,      12,       9,      18,      11,      11,      13,       7,       9,       6,2.0,     142,      50,  35.2,      20,  14.1,     112,  78.9, , , , ,  28.9,   7.7,  40.8,  20.4,   0.7,   0.0,   1.4,  47.9,  52.1,52.2,98.1,     112,83.9,   2.7 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,      35,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Hurley K-8 School,00350182,Public School,Boston,MA,02118,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,      28,      32,      66,      63,      44,      33,      32,       9,,,,,,,0.0,     307,     129,  42.0,      97,  31.6,      40,  13.0, , , , ,  17.9,   1.3,  68.4,  10.4,   0.3,   0.0,   1.6,  53.1,  46.9,22.1,95.5,      88,94.3,  13.9 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Kennedy John F Elementary School,00350166,Public School,Jamaica Plain,MA,02130,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,,      57,      63,      56,      62,      76,      62,,,,,,,,0.0,     376,     208,  55.3,     159,  42.3,      64,  17.0, , , , ,  18.1,   0.0,  79.0,   2.4,   0.0,   0.0,   0.5,  54.3,  45.7,29.0,100.0,     114,95.6,  13.0 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Kennedy Patrick J Elementary School,00350264,Public School,East Boston,MA,02128,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      28,      46,      43,      42,      38,      25,      24,,,,,,,,0.0,     246,     137,  55.7,      87,  35.4,      43,  17.5, , , , ,   6.1,   1.2,  73.6,  17.5,   0.0,   0.0,   1.6,  54.5,  45.5,17.0,100.0,      75,100.0,  14.5 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Kenny Elementary School,00350328,Public School,Dorchester,MA,02122,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,      35,      18,      24,      35,      32,      44,      40,,,,,,,,0.0,     228,     121,  53.1,      94,  41.2,      32,  14.0, , , , ,  56.6,  14.5,  14.5,  11.0,   1.3,   0.0,   2.2,  61.4,  38.6,19.2,100.0,      78,100.0,  11.9 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Kilmer K-8 School,00350190,Public School,West Roxbury,MA,02132,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,      45,      43,      45,      45,      48,      49,      48,      43,,,,,,,0.0,     366,      52,  14.2,      15,   4.1,      44,  12.0, , , , ,  10.1,   7.9,  20.5,  57.4,   0.0,   0.0,   4.1,  51.9,  48.1,22.9,100.0,      95,100.0,  16.0 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: King Elementary School,00350376,Public School,Dorchester,MA,02121,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Lee Academy,00350001,Public School,Dorchester,MA,02124,"PK,K,01,02,03",Boston,00350000,Public School District,      81,      41,      41,      37,      37,,,,,,,,,,0.0,     237,      31,  13.1,      17,   7.2,      44,  18.6, , , , ,  62.0,   5.9,  20.3,   9.3,   0.0,   0.0,   2.5,  54.9,  45.1,18.0,100.0,      81,100.0,  13.2 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Lee K-8 School,00350183,Public School,Dorchester,MA,02124,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,      14,      34,      48,      53,      49,      78,      67,,,,,,,,0.0,     343,      41,  12.0,      28,   8.2,     122,  35.6, , , , ,  71.1,   2.6,  19.5,   4.1,   0.6,   0.0,   2.0,  56.6,  43.4,36.8,92.9,     172,91.3,   9.3 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Lyndon K-8 School,00350262,Public School,West Roxbury,MA,02132,"PK,K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,      21,      52,      53,      52,      57,      59,      60,      63,      34,      41,,,,,0.0,     492,     118,  24.0,      77,  15.7,      79,  16.1, , , , ,   9.8,   1.6,  35.6,  52.2,   0.0,   0.0,   0.8,  51.8,  48.2,38.5,97.4,     141,98.6,  12.8 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Lyon High School,00350655,Public School,Brighton,MA,02135,"09,10,11,12",Boston,00350000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Lyon K-8 School,00350004,Public School,Brighton,MA,02135,"K,01,02,03,04,05,06,07,08",Boston,00350000,Public School District,,       9,      11,      12,      13,      15,      14,      14,      13,      15,,,,,0.0,     116,      21,  18.1,       4,   3.4,      45,  38.8, , , , ,  18.1,   9.5,  30.2,  39.7,   0.0,   0.0,   2.6,  63.8,  36.2,18.5,100.0,      51,100.0,   6.3 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Madison Park Technical Vocational High School,00350537,Public School,Roxbury,MA,02120,"09,10,11,12",Boston,00350000,Public School District,,,,,,,,,,,     496,     418,     353,     296,11.0,"   1,574",     802,  51.0,     315,  20.0,     474,  30.1, , , , ,  47.6,   1.0,  45.3,   4.5,   0.2,   0.1,   1.2,  54.6,  45.4,152.3,90.8,     382,89.5,  10.3 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",       373,55.8,19.6,0.0,2.1,22.3,0.3,"   1,563",119.0,7.6,,,,,,,,,,,,,,,,,,,,,,,,,114.0,360.0,366.0
Boston: Manning Elementary School,00350184,Public School,Jamaica Plain,MA,02130,"PK,K,01,02,03,04,05,06",Boston,00350000,Public School District,,      22,      29,      27,      34,      20,      15,,,,,,,,0.0,     147,      13,   8.8,       2,   1.4,      55,  37.4, , , , ,  18.4,   7.5,  31.3,  40.1,   0.0,   0.7,   2.0,  55.8,  44.2,13.6,100.0,      36,100.0,  10.8 to 1,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston: Margarita Muniz Academy,00350549,Public School,Boston,MA,02130,"09,10,11,12",Boston,00350000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    $332,743,573","  $76,108","  4,372.0","       $1,020,870,221.05","          56,320.1","              $18,126.21","       $1,111,006,733.05","          61,647.7","              $18,021.87",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
