School Name,School Code,School Type,Town,State,Zip,Grade,District Name,District Code,District Type,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,High Needs #,High Needs #.1,Economically Disadvantaged #,Economically Disadvantaged %,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio,Salary Totals,Average Salary,FTE Count,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded,# Enrolled Grades 09 through 12,# Dropout All Grades,% Dropout All Grades,High School Graduates (#),Attending Coll./Univ. (#),Attending Coll./Univ. (%),Private Two-Year (%),Private Four-Year (%),Public Two-Year (%),Public Four-Year (%),MA Community College (%),MA State University (%),Univ.of Mass. (%),# Graduated,# Completed MassCore,% Completed MassCore,AP Tests Takers,AP Tests Taken,AP One Test,AP Two Tests,AP Three Tests,AP Four Tests,AP Five or More Tests,AP Score=1,AP Score=2,AP Score=3,AP Score=4,AP Score=5,AP % Score 1-2,AP % Score 3-5,SAT Tests Taken,SAT Reading,SAT Math
Fitchburg: McKay Elementary School,00970340,Public School,Fitchburg,MA,01420,"01,02,03,04,05",Fitchburg,00970000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $24,835,984","  $65,525",    379.0,"          $62,664,539.88","           5,058.3","              $12,388.46","          $70,683,636.88","           5,622.0","              $12,572.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitchburg: Memorial Middle School,00970048,Public School,Fitchburg,MA,01420,"06,07,08",Fitchburg,00970000,Public School District,       0,       0,       0,       0,       0,       0,     168,     141,     146,     162,       0,       0,       0,       0,0.0,     617,     220,  35.7,      76,  12.3,     101,  16.4, , , , ,   4.9,   9.1,  39.7,  45.4,   0.2,   0.3,   0.5,  49.8,  50.2,49.3,100.0,     155,98.7,  12.5 to 1,"     $24,835,984","  $65,525",    379.0,"          $62,664,539.88","           5,058.3","              $12,388.46","          $70,683,636.88","           5,622.0","              $12,572.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitchburg: Reingold Elementary,00970043,Public School,Fitchburg,MA,01420,"01,02,03,04,05",Fitchburg,00970000,Public School District,       1,     118,     105,     117,     110,     134,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     585,     168,  28.7,     104,  17.8,      81,  13.8, , , , ,   4.8,   5.6,  38.8,  47.0,   0.0,   0.0,   3.8,  50.4,  49.6,40.5,95.1,     148,96.6,  14.4 to 1,"     $24,835,984","  $65,525",    379.0,"          $62,664,539.88","           5,058.3","              $12,388.46","          $70,683,636.88","           5,622.0","              $12,572.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fitchburg: South Street Early Learning Center,00970060,Public School,Fitchburg,MA,01420,"PK,K",Fitchburg,00970000,Public School District,      59,     117,     114,     136,     138,     123,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     687,     234,  34.1,     110,  16.0,     169,  24.6, , , , ,   4.4,   5.7,  47.6,  38.0,   0.1,   0.3,   3.9,  53.0,  47.0,51.0,100.0,     188,100.0,  13.5 to 1,"     $24,835,984","  $65,525",    379.0,"          $62,664,539.88","           5,058.3","              $12,388.46","          $70,683,636.88","           5,622.0","              $12,572.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida: Abbott Memorial,00980005,Public School,Florida,MA,01247,"PK,K,01,02,03,04,05,06,07,08",Florida,00980000,Public School District,      14,       6,       6,      10,       7,       9,      14,      19,      14,      13,       0,       0,       0,       0,0.0,     112,       0,   0.0,       0,   0.0,      22,  19.6, , , , ,   0.0,   0.0,   0.9,  99.1,   0.0,   0.0,   0.0,  46.4,  53.6,12.4,98.4,      54,96.3,   9.0 to 1,"        $439,761","  $35,465",     12.4,"           $1,280,221.00",             112.8,"              $11,349.48","           $1,543,668.00",             134.4,"              $11,485.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Four Rivers Charter Public (District): Four Rivers Charter Public School,04130505,Charter School,Greenfield,MA,01301,"07,08,09,10,11,12",Four Rivers Charter Public (District),04130000,Charter District,       0,       0,       0,       0,       0,       0,       0,       0,      36,      37,      36,      34,      26,      29,0.0,     198,       0,   0.0,       0,   0.0,      32,  16.2, , , , ,   1.0,   1.0,   2.0,  92.9,   0.0,   0.0,   3.0,  53.5,  46.5,19.7,61.3,      69,91.3,  10.0 to 1,,,,,,,,,,        31,90.3,0.0,0.0,3.2,6.5,0.0,     125,1.0,0.8,,,,,,,,,,,28.0,28.0,100.0,1.0,,,,,,,,,,,,,,18.0,563.0,534.0
Foxborough: Charles Taylor Elementary,00990050,Public School,Foxborough,MA,02035,"K,01,02,03,04",Foxborough,00990000,Public School District,       0,      55,      67,      70,      68,      76,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     336,       2,   0.6,       0,   0.0,      42,  12.5, , , , ,   0.9,   1.5,   1.5,  95.5,   0.0,   0.3,   0.3,  50.9,  49.1,21.4,100.0,      78,100.0,  15.7 to 1,"     $13,424,992","  $65,458",    205.1,"          $31,873,796.00","           2,891.8","              $11,022.05","          $35,112,173.00","           3,058.6","              $11,479.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foxborough: Foxborough High,00990505,Public School,Foxborough,MA,02035,"09,10,11,12",Foxborough,00990000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     200,     228,     219,     238,0.0,     885,      13,   1.5,      10,   1.1,     135,  15.3, , , , ,   4.3,   2.8,   1.9,  90.1,   0.1,   0.8,   0.0,  48.2,  51.8,65.0,100.0,     305,100.0,  13.6 to 1,"     $13,424,992","  $65,458",    205.1,"          $31,873,796.00","           2,891.8","              $11,022.05","          $35,112,173.00","           3,058.6","              $11,479.74",       238,92.0,5.5,0.4,0.0,2.1,0.0,     885,3.0,0.3,,,,,,,,,,,222.0,222.0,100.0,123.0,     212,56.0,47.0,18.0,2.0,0.0,12.0,23.0,68.0,70.0,39.0,16.5,83.5,162.0,526.0,548.0
Foxborough: John J Ahern,00990405,Public School,Foxborough,MA,02035,"05,06,07,08",Foxborough,00990000,Public School District,       0,       0,       0,       0,       0,       0,     239,     234,     212,     232,       0,       0,       0,       0,0.0,     917,      14,   1.5,      10,   1.1,     162,  17.7, , , , ,   3.9,   2.4,   1.4,  91.3,   0.0,   0.8,   0.2,  50.7,  49.3,65.5,98.5,     359,98.6,  14.0 to 1,"     $13,424,992","  $65,458",    205.1,"          $31,873,796.00","           2,891.8","              $11,022.05","          $35,112,173.00","           3,058.6","              $11,479.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foxborough: Mabelle M Burrell,00990015,Public School,Foxborough,MA,02035,"PK,K,01,02,03,04",Foxborough,00990000,Public School District,     104,      61,      46,      61,      63,      61,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     396,       6,   1.5,       5,   1.3,      98,  24.7, , , , ,   0.5,   3.5,   2.3,  92.2,   0.8,   0.3,   0.5,  57.1,  42.9,22.8,100.0,      88,100.0,  17.4 to 1,"     $13,424,992","  $65,458",    205.1,"          $31,873,796.00","           2,891.8","              $11,022.05","          $35,112,173.00","           3,058.6","              $11,479.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foxborough: Vincent M Igo Elementary,00990020,Public School,Foxborough,MA,02035,"K,01,02,03,04",Foxborough,00990000,Public School District,       0,      64,      77,      91,      75,      81,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     388,       3,   0.8,       3,   0.8,      78,  20.1, , , , ,   2.3,   3.9,   1.5,  90.5,   0.3,   1.3,   0.3,  52.3,  47.7,30.4,100.0,     118,100.0,  12.8 to 1,"     $13,424,992","  $65,458",    205.1,"          $31,873,796.00","           2,891.8","              $11,022.05","          $35,112,173.00","           3,058.6","              $11,479.74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foxborough Regional Charter (District): Foxborough Regional Charter School,04460550,Charter School,Foxborough,MA,02035,"K,01,02,03,04,05,06,07,08,09,10,11,12",Foxborough Regional Charter (District),04460000,Charter District,       0,      95,     111,     113,     112,     108,     110,     111,      99,      89,      35,      31,      35,      34,0.0,"   1,083",      70,   6.5,      18,   1.7,     113,  10.4, , , , ,  13.3,   8.3,   3.4,  72.2,   0.2,   0.1,   2.5,  46.9,  53.1,78.0,70.5,     243,89.3,  13.9 to 1,,,,,,,,,,        36,80.6,5.6,0.0,2.8,0.0,11.1,     135,0.0,0.0,,,,,,,,,,,34.0,34.0,100.0,29.0,      52,12.0,11.0,6.0,0.0,0.0,11.0,12.0,14.0,9.0,6.0,44.2,55.8,25.0,555.0,521.0
Framingham: Barbieri Elementary,01000035,Public School,Framingham,MA,01701,"K,01,02,03,04,05",Framingham,01000000,Public School District,       0,      97,      83,      85,      69,      63,      61,       0,       0,       0,       0,       0,       0,       0,0.0,     458,     275,  60.0,     216,  47.2,      37,   8.1, , , , ,   3.1,   1.3,  65.7,  28.2,   0.2,   0.2,   1.3,  46.1,  53.9,37.7,94.7,     142,93.0,  12.1 to 1,"     $46,746,105","  $73,266",    638.0,"         $115,565,261.00","           8,063.5","              $14,331.92","         $130,324,431.00","           8,477.4","              $15,373.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Framingham: Brophy,01000006,Public School,Framingham,MA,01701,"K,01,02,03,04,05",Framingham,01000000,Public School District,       0,      70,      77,      73,      76,      87,      91,       0,       0,       0,       0,       0,       0,       0,0.0,     474,     255,  53.8,     183,  38.6,      85,  17.9, , , , ,   3.0,   4.9,  53.8,  37.1,   0.0,   0.0,   1.3,  50.6,  49.4,35.5,100.0,     120,100.0,  13.4 to 1,"     $46,746,105","  $73,266",    638.0,"         $115,565,261.00","           8,063.5","              $14,331.92","         $130,324,431.00","           8,477.4","              $15,373.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Framingham: Cameron Middle School,01000302,Public School,Framingham,MA,01701,"06,07,08",Framingham,01000000,Public School District,       0,       0,       0,       0,       0,       0,       0,     155,     178,     188,       0,       0,       0,       0,0.0,     521,     158,  30.3,       7,   1.3,     136,  26.1, , , , ,   9.4,   2.9,  14.6,  72.7,   0.4,   0.0,   0.0,  50.5,  49.5,43.2,100.0,     164,100.0,  12.1 to 1,"     $46,746,105","  $73,266",    638.0,"         $115,565,261.00","           8,063.5","              $14,331.92","         $130,324,431.00","           8,477.4","              $15,373.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Framingham: Charlotte A Dunning,01000007,Public School,Framingham,MA,01701,"K,01,02,03,04,05",Framingham,01000000,Public School District,       0,      72,      83,      81,      77,      80,      79,       0,       0,       0,       0,       0,       0,       0,0.0,     472,     174,  36.9,      74,  15.7,      44,   9.3, , , , ,   6.6,  21.4,   8.9,  61.2,   0.2,   0.0,   1.7,  49.6,  50.4,33.1,100.0,     127,100.0,  14.3 to 1,"     $46,746,105","  $73,266",    638.0,"         $115,565,261.00","           8,063.5","              $14,331.92","         $130,324,431.00","           8,477.4","              $15,373.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Framingham: Framingham High School,01000515,Public School,Framingham,MA,01701,"09,10,11,12",Framingham,01000000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     559,     545,     536,     522,0.0,"   2,162",     663,  30.7,     142,   6.6,     359,  16.6, , , , ,   8.5,   5.5,  17.0,  68.5,   0.3,   0.0,   0.3,  49.3,  50.7,155.2,99.4,     539,98.9,  13.9 to 1,"     $46,746,105","  $73,266",    638.0,"         $115,565,261.00","           8,063.5","              $14,331.92","         $130,324,431.00","           8,477.4","              $15,373.18",       592,85.0,3.9,1.0,0.8,9.3,0.0,"   2,162",57.0,2.6,,,,,,,,,,,516.0,3.0,0.6,355.0,     773,130.0,111.0,61.0,33.0,20.0,25.0,71.0,189.0,239.0,249.0,12.4,87.6,376.0,522.0,563.0
Framingham: Fuller Middle,01000305,Public School,Framingham,MA,01701,"06,07,08",Framingham,01000000,Public School District,       0,       0,       0,       0,       0,       0,       0,     155,     164,     171,       0,       0,       0,       0,0.0,     490,     262,  53.5,     147,  30.0,     123,  25.1, , , , ,   8.0,   3.7,  30.6,  57.6,   0.0,   0.0,   0.2,  49.2,  50.8,54.6,100.0,     197,100.0,   9.0 to 1,"     $46,746,105","  $73,266",    638.0,"         $115,565,261.00","           8,063.5","              $14,331.92","         $130,324,431.00","           8,477.4","              $15,373.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Framingham: Harmony Grove Elementary,01000055,Public School,Framingham,MA,01702,"K,01,02,03,04,05",Framingham,01000000,Public School District,       0,      85,      87,      88,      81,      90,      75,       0,       0,       0,       0,       0,       0,       0,0.0,     506,     368,  72.7,     254,  50.2,     104,  20.6, , , , ,   6.9,   1.0,  12.1,  78.3,   0.0,   0.0,   1.8,  51.8,  48.2,44.1,100.0,     153,100.0,  11.5 to 1,"     $46,746,105","  $73,266",    638.0,"         $115,565,261.00","           8,063.5","              $14,331.92","         $130,324,431.00","           8,477.4","              $15,373.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Framingham: Hemenway,01000015,Public School,Framingham,MA,01701,"K,01,02,03,04,05",Framingham,01000000,Public School District,       0,     101,      90,      98,      99,      94,      95,       0,       0,       0,       0,       0,       0,       0,0.0,     577,      77,  13.3,       9,   1.6,     125,  21.7, , , , ,   2.1,  10.9,   7.1,  76.9,   0.0,   0.0,   2.9,  53.6,  46.4,40.0,100.0,     151,100.0,  14.4 to 1,"     $46,746,105","  $73,266",    638.0,"         $115,565,261.00","           8,063.5","              $14,331.92","         $130,324,431.00","           8,477.4","              $15,373.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Framingham: Juniper Hill School,01000001,Public School,Framingham,MA,01701,PK,Framingham,01000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $46,746,105","  $73,266",    638.0,"         $115,565,261.00","           8,063.5","              $14,331.92","         $130,324,431.00","           8,477.4","              $15,373.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Framingham: King Elementary School,01000005,Public School,Framingham,MA,01701,"K,01,02,03,04,05",Framingham,01000000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     $46,746,105","  $73,266",    638.0,"         $115,565,261.00","           8,063.5","              $14,331.92","         $130,324,431.00","           8,477.4","              $15,373.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Framingham: Mary E Stapleton Elementary,01000045,Public School,Framingham,MA,01701,"K,01,02,03,04,05",Framingham,01000000,Public School District,       0,      50,      62,      76,      56,      71,      75,       0,       0,       0,       0,       0,       0,       0,0.0,     390,      34,   8.7,       5,   1.3,      93,  23.8, , , , ,   5.9,   3.3,  12.8,  75.1,   0.3,   0.0,   2.6,  51.8,  48.2,31.7,96.8,     122,95.9,  12.3 to 1,"     $46,746,105","  $73,266",    638.0,"         $115,565,261.00","           8,063.5","              $14,331.92","         $130,324,431.00","           8,477.4","              $15,373.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Framingham: Miriam F McCarthy School,01000050,Public School,Framingham,MA,01701,"K,01,02,03,04,05",Framingham,01000000,Public School District,       0,      84,      88,      99,     105,     103,      93,       0,       0,       0,       0,       0,       0,       0,0.0,     572,      81,  14.2,       4,   0.7,     179,  31.3, , , , ,  11.7,   4.7,  19.2,  61.0,   0.0,   0.0,   3.3,  52.3,  47.7,43.9,100.0,     157,100.0,  13.0 to 1,"     $46,746,105","  $73,266",    638.0,"         $115,565,261.00","           8,063.5","              $14,331.92","         $130,324,431.00","           8,477.4","              $15,373.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Framingham: Potter Road,01000039,Public School,Framingham,MA,01701,"K,01,02,03,04,05",Framingham,01000000,Public School District,       0,      95,      85,      79,      76,      65,      58,       0,       0,       0,       0,       0,       0,       0,0.0,     458,     164,  35.8,     106,  23.1,      40,   8.7, , , , ,   2.0,   2.4,   4.6,  88.9,   0.0,   0.0,   2.2,  50.7,  49.3,31.2,96.8,     120,95.8,  14.7 to 1,"     $46,746,105","  $73,266",    638.0,"         $115,565,261.00","           8,063.5","              $14,331.92","         $130,324,431.00","           8,477.4","              $15,373.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Framingham: Walsh Middle,01000310,Public School,Framingham,MA,01701,"06,07,08",Framingham,01000000,Public School District,       0,       0,       0,       0,       0,       0,       0,     293,     251,     273,       0,       0,       0,       0,0.0,     817,     217,  26.6,       6,   0.7,     179,  21.9, , , , ,   4.3,   8.1,  20.9,  66.3,   0.2,   0.0,   0.1,  52.8,  47.2,68.8,98.5,     260,100.0,  11.9 to 1,"     $46,746,105","  $73,266",    638.0,"         $115,565,261.00","           8,063.5","              $14,331.92","         $130,324,431.00","           8,477.4","              $15,373.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francis W. Parker Charter Essential (District): Francis W. Parker Charter Essential School,04780505,Charter School,Devens,MA,01434,"07,08,09,10,11,12",Francis W. Parker Charter Essential (District),04780000,Charter District,       0,       0,       0,       0,       0,       0,       0,       0,      72,      69,      72,      62,      60,      49,0.0,     384,       7,   1.8,       0,   0.0,      47,  12.2, , , , ,   0.8,   2.9,   2.3,  90.6,   0.0,   0.3,   3.1,  56.0,  44.0,43.9,68.3,      94,92.6,   8.7 to 1,,,,,,,,,,        51,94.1,5.9,0.0,0.0,0.0,0.0,     243,0.0,0.0,,,,,,,,,,,49.0,49.0,100.0,9.0,,,,,,,,,,,,,,41.0,595.0,578.0
Franklin: Annie Sullivan Middle School,01010040,Public School,Franklin,MA,02038,"06,07,08",Franklin,01010000,Public School District,       0,       0,       0,       0,       0,       0,       0,     134,     164,     160,       0,       0,       0,       0,0.0,     458,       5,   1.1,       0,   0.0,      79,  17.2, , , , ,   0.9,   2.2,   2.2,  93.9,   0.2,   0.2,   0.4,  45.2,  54.8,33.2,97.0,     116,89.7,  13.8 to 1,"     $28,516,182","  $71,503",    398.8,"          $57,872,586.20","           6,254.4","               $9,253.16","          $67,253,926.20","           6,718.7","              $10,010.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin: Franklin Early Childhood Development Center,01010003,Public School,Franklin,MA,02038,PK,Franklin,01010000,Public School District,     198,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,0.0,     198,       8,   4.0,       0,   0.0,      79,  39.9, , , , ,   0.0,   5.1,   1.0,  90.4,   1.0,   0.5,   2.0,  60.1,  39.9,5.0,100.0,       0,0.0,  39.6 to 1,"     $28,516,182","  $71,503",    398.8,"          $57,872,586.20","           6,254.4","               $9,253.16","          $67,253,926.20","           6,718.7","              $10,010.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin: Franklin High,01010505,Public School,Franklin,MA,02038,"09,10,11,12",Franklin,01010000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     417,     417,     403,     374,0.0,"   1,611",      35,   2.2,       5,   0.3,     259,  16.1, , , , ,   1.1,   2.5,   1.1,  93.9,   0.6,   0.0,   0.8,  47.9,  52.1,104.0,97.1,     407,92.6,  15.5 to 1,"     $28,516,182","  $71,503",    398.8,"          $57,872,586.20","           6,254.4","               $9,253.16","          $67,253,926.20","           6,718.7","              $10,010.02",       383,94.8,2.1,0.3,0.8,2.1,0.0,"   1,611",5.0,0.3,,,,,,,,,,,372.0,1.0,0.3,161.0,     303,83.0,35.0,28.0,10.0,5.0,22.0,54.0,73.0,77.0,77.0,25.1,74.9,282.0,542.0,561.0
Franklin: Helen Keller Elementary,01010012,Public School,Franklin,MA,02038,"K,01,02,03,04,05",Franklin,01010000,Public School District,       0,     103,     120,     100,     114,      94,     108,       0,       0,       0,       0,       0,       0,       0,0.0,     639,      18,   2.8,       1,   0.2,      71,  11.1, , , , ,   0.8,   3.1,   2.5,  92.5,   0.2,   0.0,   0.9,  57.0,  43.0,33.1,100.0,     213,100.0,  19.3 to 1,"     $28,516,182","  $71,503",    398.8,"          $57,872,586.20","           6,254.4","               $9,253.16","          $67,253,926.20","           6,718.7","              $10,010.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin: Horace Mann,01010405,Public School,Franklin,MA,02038,"06,07,08",Franklin,01010000,Public School District,       0,       0,       0,       0,       0,       0,       0,     173,     171,     188,       0,       0,       0,       0,0.0,     532,      17,   3.2,       2,   0.4,      83,  15.6, , , , ,   1.1,   3.6,   1.5,  91.7,   0.4,   0.4,   1.3,  54.1,  45.9,39.0,97.4,     135,91.1,  13.6 to 1,"     $28,516,182","  $71,503",    398.8,"          $57,872,586.20","           6,254.4","               $9,253.16","          $67,253,926.20","           6,718.7","              $10,010.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin: J F Kennedy Memorial,01010013,Public School,Franklin,MA,02038,"K,01,02,03,04,05",Franklin,01010000,Public School District,       0,      77,      77,      86,     101,      87,     103,       0,       0,       0,       0,       0,       0,       0,0.0,     531,      27,   5.1,       6,   1.1,      77,  14.5, , , , ,   1.1,   7.0,   2.4,  86.6,   0.8,   0.0,   2.1,  53.5,  46.5,31.5,100.0,     198,87.9,  16.8 to 1,"     $28,516,182","  $71,503",    398.8,"          $57,872,586.20","           6,254.4","               $9,253.16","          $67,253,926.20","           6,718.7","              $10,010.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin: Jefferson Elementary,01010010,Public School,Franklin,MA,02038,"K,01,02,03,04,05",Franklin,01010000,Public School District,       0,      67,      72,      84,      87,     105,      86,       0,       0,       0,       0,       0,       0,       0,0.0,     501,      15,   3.0,       4,   0.8,      67,  13.4, , , , ,   1.2,   2.6,   2.4,  91.0,   0.2,   0.4,   2.2,  47.1,  52.9,32.0,100.0,     193,100.0,  15.6 to 1,"     $28,516,182","  $71,503",    398.8,"          $57,872,586.20","           6,254.4","               $9,253.16","          $67,253,926.20","           6,718.7","              $10,010.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin: Oak Street Elementary,01010030,Public School,Franklin,MA,02038,"K,01,02,03,04,05",Franklin,01010000,Public School District,       0,      77,      87,      72,      87,      75,      96,       0,       0,       0,       0,       0,       0,       0,0.0,     494,      18,   3.6,       2,   0.4,      64,  13.0, , , , ,   0.6,   3.4,   1.2,  92.5,   0.6,   0.2,   1.4,  49.6,  50.4,32.8,100.0,     192,97.4,  15.0 to 1,"     $28,516,182","  $71,503",    398.8,"          $57,872,586.20","           6,254.4","               $9,253.16","          $67,253,926.20","           6,718.7","              $10,010.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin: Parmenter,01010032,Public School,Franklin,MA,02038,"K,01,02,03,04,05",Franklin,01010000,Public School District,       0,      73,      80,      67,      78,      71,      76,       0,       0,       0,       0,       0,       0,       0,0.0,     445,      17,   3.8,       9,   2.0,      67,  15.1, , , , ,   1.1,   3.1,   3.4,  89.0,   0.7,   0.0,   2.7,  48.8,  51.2,27.5,100.0,     170,94.1,  16.2 to 1,"     $28,516,182","  $71,503",    398.8,"          $57,872,586.20","           6,254.4","               $9,253.16","          $67,253,926.20","           6,718.7","              $10,010.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin: Remington Middle,01010310,Public School,Franklin,MA,02038,"06,07,08",Franklin,01010000,Public School District,       0,       0,       0,       0,       0,       0,       0,     177,     178,     181,       0,       0,       0,       0,0.0,     536,      13,   2.4,       4,   0.7,      96,  17.9, , , , ,   0.6,   2.4,   4.1,  91.0,   0.0,   0.0,   1.9,  51.7,  48.3,39.6,92.4,     128,86.7,  13.6 to 1,"     $28,516,182","  $71,503",    398.8,"          $57,872,586.20","           6,254.4","               $9,253.16","          $67,253,926.20","           6,718.7","              $10,010.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin County Regional Vocational Technical: Franklin County Technical,08180605,Public School,Turners Falls,MA,01376,"09,10,11,12",Franklin County Regional Vocational Technical,08180000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     141,     132,     125,     119,0.0,     517,       0,   0.0,       0,   0.0,     130,  25.1, , , , ,   1.0,   0.0,   4.3,  93.0,   0.0,   0.4,   1.4,  66.0,  34.0,53.0,98.1,     164,100.0,   9.8 to 1,"      $3,259,844","  $61,536",     53.0,"          $10,184,249.95",             502.7,"              $20,258.70","          $10,198,312.95",             505.2,"              $20,186.28",       121,87.6,4.1,0.8,0.8,6.6,0.0,     517,7.0,1.4,,,,,,,,,,,108.0,0.0,0.0,,,,,,,,,,,,,,,8.0,,
Freetown-Lakeville: Apponequet Regional High,06650505,Public School,Lakeville,MA,02347,"09,10,11,12",Freetown-Lakeville,06650000,Public School District,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     201,     223,     211,     216,0.0,     851,       3,   0.4,       0,   0.0,     126,  14.8, , , , ,   1.3,   0.2,   1.9,  95.5,   0.2,   0.1,   0.7,  48.8,  51.2,58.3,100.0,     218,99.5,  14.6 to 1,"      $8,619,569","  $62,317",    138.3,"          $20,503,621.00","           1,919.6","              $10,681.03","          $20,583,904.00","           1,955.3","              $10,527.07",       219,90.4,1.8,0.5,2.7,4.6,0.0,     851,14.0,1.6,,,,,,,,,,,204.0,93.0,45.6,96.0,     134,70.0,17.0,6.0,3.0,0.0,8.0,23.0,41.0,33.0,29.0,23.1,76.9,139.0,527.0,532.0
Freetown-Lakeville: Assawompset Elementary School,06650002,Public School,Lakeville,MA,02347,"K,01,02,03",Freetown-Lakeville,06650000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $8,619,569","  $62,317",    138.3,"          $20,503,621.00","           1,919.6","              $10,681.03","          $20,583,904.00","           1,955.3","              $10,527.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freetown-Lakeville: Freetown Elementary School,06650001,Public School,East Freetown,MA,02717,"PK,K,01,02,03",Freetown-Lakeville,06650000,Public School District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"      $8,619,569","  $62,317",    138.3,"          $20,503,621.00","           1,919.6","              $10,681.03","          $20,583,904.00","           1,955.3","              $10,527.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
